index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
0,1782588357659,0,0,0
1,1782588358474,0,0,0
2,1782588359291,0,0,0
3,1782588359374,0,0,0
4,1782588360190,0,0,0
5,1782588362954,0,0,0
6,1782588363121,0,0,0
7,1782588363305,0,0,0
8,1782588363921,0,0,0
9,1782588364288,0,0,0
10,1782588364637,0,0,0
11,1782588366102,0,0,0
12,1782588368650,0,0,0
13,1782588369466,0,0,0
14,1782588370381,0,0,0
15,1782588371214,0,0,0
16,1782588371930,0,0,0
17,1782588372663,0,0,0
18,1782588373379,0,0,0
19,1782588374062,0,0,0
20,1782588374827,0,0,0
21,1782588375111,0,0,0
22,1782588375429,0,0,0
23,1782588375977,0,0,0
24,1782588376344,0,0,0
25,1782588383037,0,0,0
26,1782588383353,0,0,0
27,1782588383754,0,0,0
28,1782588383854,0,0,0
29,1782588384187,0,0,0
30,1782588384453,0,0,0
31,1782588384969,0,0,0
32,1782588385086,0,0,0
33,1782588385518,0,0,0
34,1782588386652,0,0,0
35,1782588390448,0,0,0
36,1782588390798,0,0,0
37,1782588392796,0,0,0
38,1782588393113,0,0,0
39,1782588393428,0,0,0
40,1782588394561,0,0,0
41,1782588394877,0,0,0
42,1782588395128,0,0,0
43,1782588395510,0,0,0
44,1782588395994,0,0,0
45,1782588396093,0,0,0
46,1782588396376,0,0,0
47,1782588396726,0,0,0
48,1782588397042,0,0,0
49,1782588397343,0,0,0
50,1782588397675,0,0,0
51,1782588398991,0,0,0
52,1782588399258,0,0,0
53,1782588399507,0,0,0
54,1782588399790,0,0,0
55,1782588400156,0,0,0
56,1782588400423,0,0,0
57,1782588400689,0,0,0
58,1782588403521,0,0,0
59,1782588403754,0,0,0
60,1782588404053,0,0,0
61,1782588404386,0,0,0
62,1782588404619,0,0,0
63,1782588405535,0,0,0
64,1782588406285,0,0,0
65,1782588406385,0,0,0
66,1782588407234,0,0,0
67,1782588408000,0,0,0
68,1782588408117,0,0,0
69,1782588408916,0,0,0
70,1782588409731,0,0,0
71,1782588410631,0,0,0
72,1782588411480,0,0,0
73,1782588412247,0,0,0
74,1782588412396,0,0,0
75,1782588413196,0,0,0
76,1782588413961,0,0,0
77,1782588414112,0,0,0
78,1782588414877,0,0,0
79,1782588415710,0,0,0
80,1782588418541,0,0,0
81,1782588419641,0,0,0
82,1782588420090,0,0,0
83,1782588421556,0,0,0
84,1782588423387,0,0,0
85,1782588423620,0,0,0
86,1782588425934,0,0,0
87,1782588428333,0,0,0
88,1782588428582,0,0,0
89,1782588429049,0,0,0
90,1782588429398,0,0,0
91,1782588429748,0,0,0
92,1782588430298,0,0,0
93,1782588430982,0,0,0
94,1782588431546,0,0,0
95,1782588432912,0,0,0
96,1782588433512,0,0,0
97,1782588433795,0,0,0
98,1782588434777,0,0,0
