index,date,ECU_MODE
0,1782588357692,1
1,1782588358508,1
2,1782588359424,1
3,1782588360225,1
4,1782588362122,1
5,1782588362422,1
6,1782588362954,1
7,1782588363154,1
8,1782588363355,1
9,1782588363587,1
10,1782588363987,1
11,1782588364338,1
12,1782588368700,1
13,1782588369516,1
14,1782588369583,1
15,1782588370415,1
16,1782588371248,1
17,1782588371315,1
18,1782588371980,1
19,1782588372713,1
20,1782588373395,1
21,1782588374111,1
22,1782588374578,1
23,1782588374845,1
24,1782588375144,1
25,1782588376027,1
26,1782588376411,1
27,1782588380989,1
28,1782588381239,1
29,1782588383087,1
30,1782588383404,1
31,1782588383821,1
32,1782588383887,1
33,1782588384220,1
34,1782588384470,1
35,1782588384969,1
36,1782588385152,1
37,1782588388417,1
38,1782588390182,1
39,1782588390481,1
40,1782588390865,1
41,1782588391049,1
42,1782588391913,1
43,1782588392213,1
44,1782588392479,1
45,1782588392846,1
46,1782588393162,1
47,1782588393478,1
48,1782588393962,1
49,1782588394594,1
50,1782588394927,1
51,1782588395210,1
52,1782588395561,1
53,1782588395994,1
54,1782588396144,1
55,1782588396393,1
56,1782588396760,1
57,1782588397076,1
58,1782588397375,1
59,1782588398541,1
60,1782588398624,1
61,1782588399057,1
62,1782588399290,1
63,1782588399590,1
64,1782588399840,1
65,1782588400456,1
66,1782588400722,1
67,1782588403571,1
68,1782588403804,1
69,1782588404103,1
70,1782588404403,1
71,1782588404669,1
72,1782588405552,1
73,1782588405637,1
74,1782588406318,1
75,1782588406451,1
76,1782588407267,1
77,1782588408034,1
78,1782588408149,1
79,1782588408950,1
80,1782588409782,1
81,1782588409898,1
82,1782588410681,1
83,1782588411498,1
84,1782588412313,1
85,1782588412412,1
86,1782588413246,1
87,1782588414011,1
88,1782588414162,1
89,1782588414927,1
90,1782588415743,1
91,1782588415876,1
92,1782588418191,1
93,1782588418574,1
94,1782588419707,1
95,1782588420140,1
96,1782588421589,1
97,1782588423004,1
98,1782588423437,1
99,1782588423653,1
100,1782588424502,1
101,1782588425635,1
102,1782588425968,1
103,1782588428616,1
104,1782588429099,1
105,1782588429465,1
106,1782588430332,1
107,1782588430748,1
108,1782588431031,1
109,1782588431630,1
110,1782588432529,1
111,1782588433545,1
112,1782588433845,1
113,1782588434811,1
114,1782588436659,1
115,1782588437975,1
116,1782588438208,1
117,1782588438890,1
118,1782588440023,1
119,1782588440256,1
120,1782588440807,1
121,1782588441155,1
122,1782588442071,1
123,1782588443937,1
124,1782588444386,1
125,1782588445285,1
126,1782588445785,1
127,1782588446084,1
128,1782588446534,1
129,1782588447400,1
130,1782588447733,1
131,1782588448666,1
132,1782588449582,1
133,1782588449964,1
134,1782588450298,1
135,1782588451047,1
136,1782588452429,1
137,1782588453512,1
138,1782588460939,1
139,1782588499473,1
140,1782588500272,1
141,1782588500355,1
142,1782588501188,1
143,1782588501988,1
144,1782588502087,1
145,1782588503837,1
146,1782588504169,1
147,1782588504502,1
148,1782588504818,1
149,1782588507100,1
150,1782588507333,1
151,1782588508532,1
152,1782588511746,1
153,1782588512046,1
154,1782588513494,1
155,1782588513794,1
156,1782588514077,1
157,1782588514444,1
158,1782588514727,1
159,1782588515559,1
160,1782588515859,1
161,1782588516325,1
162,1782588518907,1
163,1782588519290,1
164,1782588519606,1
165,1782588519757,1
166,1782588520040,1
167,1782588520439,1
168,1782588520688,1
169,1782588521121,1
170,1782588524385,1
171,1782588525850,1
172,1782588526167,1
173,1782588527332,1
174,1782588527732,1
175,1782588529382,1
176,1782588530597,1
177,1782588530864,1
178,1782588531213,1
179,1782588531912,1
180,1782588534627,1
181,1782588534926,1
182,1782588535259,1
183,1782588537074,1
184,1782588537324,1
185,1782588541121,2
186,1782588541421,3
187,1782588541670,3
188,1782588542537,4
189,1782588542969,4
190,1782588543302,4
191,1782588543603,4
192,1782588544202,4
193,1782588544319,4
194,1782588544701,4
195,1782588545068,4
196,1782588547133,4
197,1782588547716,4
198,1782588549381,4
199,1782588549764,4
200,1782588550030,4
201,1782588551795,4
202,1782588555892,4
203,1782588556408,4
204,1782588559322,4
205,1782588559655,4
206,1782588559922,0
207,1782588559938,4
208,1782588560222,4
209,1782588561587,4
210,1782588562137,4
211,1782588562271,4
212,1782588562536,4
213,1782588564018,4
214,1782588564286,4
215,1782588564635,4
216,1782588564869,4
217,1782588565517,4
218,1782588566600,4
219,1782588570847,4
220,1782588571262,4
221,1782588571347,4
222,1782588572428,4
223,1782588573444,4
224,1782588573978,4
225,1782588575659,4
226,1782588576608,4
227,1782588577674,4
228,1782588579322,4
229,1782588579956,4
230,1782588580389,4
231,1782588581921,4
232,1782588582837,4
233,1782588583269,4
234,1782588584186,4
235,1782588585484,4
236,1782588586300,4
237,1782588588848,4
238,1782588589281,4
239,1782588589980,4
240,1782588590664,4
241,1782588590796,4
242,1782588591479,4
243,1782588592478,4
244,1782588592994,4
245,1782588593095,4
246,1782588593460,4
247,1782588594110,4
248,1782588594543,4
249,1782588595159,4
250,1782588596075,4
251,1782588597092,4
252,1782588598606,4
253,1782588599039,4
254,1782588599672,4
255,1782588600388,4
256,1782588600638,4
257,1782588601271,4
258,1782588601687,4
259,1782588602303,4
260,1782588602636,4
261,1782588603252,4
262,1782588603869,4
263,1782588604302,4
264,1782588604867,4
265,1782588606183,4
266,1782588606849,4
267,1782588607782,4
268,1782588609813,4
269,1782588610612,4
270,1782588611045,4
271,1782588611695,4
272,1782588612561,4
273,1782588614542,4
274,1782588616141,4
275,1782588618124,4
276,1782588619156,4
277,1782588619555,4
278,1782588619755,4
279,1782588620038,4
280,1782588621004,4
281,1782588621670,4
282,1782588621953,4
283,1782588622652,4
284,1782588623685,4
285,1782588625184,4
286,1782588625650,4
287,1782588626183,4
288,1782588626582,4
289,1782588626833,4
290,1782588627082,4
291,1782588627532,4
292,1782588628181,4
293,1782588629114,4
294,1782588629713,4
295,1782588630845,4
296,1782588632411,4
297,1782588632827,4
298,1782588633710,4
299,1782588634126,4
300,1782588634592,4
301,1782588634992,4
302,1782588635908,4
303,1782588636591,4
304,1782588636707,4
305,1782588637124,4
306,1782588637722,4
