index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
0,1782588357626,0,0,0
1,1782588358442,0,0,0
2,1782588359291,0,0,0
3,1782588360174,0,0,0
4,1782588362954,0,0,0
5,1782588363088,0,0,0
6,1782588363305,0,0,0
7,1782588363921,0,0,0
8,1782588364255,0,0,0
9,1782588364637,0,0,0
10,1782588366052,0,0,0
11,1782588368633,0,0,0
12,1782588369466,0,0,0
13,1782588370231,0,0,0
14,1782588370364,0,0,0
15,1782588371181,0,0,0
16,1782588371914,0,0,0
17,1782588372646,0,0,0
18,1782588373346,0,0,0
19,1782588374045,0,0,0
20,1782588375394,0,0,0
21,1782588376311,0,0,0
22,1782588383020,0,0,0
23,1782588383337,0,0,0
24,1782588383720,0,0,0
25,1782588384153,0,0,0
26,1782588384969,0,0,0
27,1782588385052,0,0,0
28,1782588385503,0,0,0
29,1782588386636,0,0,0
30,1782588390781,0,0,0
31,1782588392779,0,0,0
32,1782588393062,0,0,0
33,1782588393428,0,0,0
34,1782588394861,0,0,0
35,1782588395110,0,0,0
36,1782588395494,0,0,0
37,1782588395993,0,0,0
38,1782588396076,0,0,0
39,1782588396327,0,0,0
40,1782588396709,0,0,0
41,1782588397009,0,0,0
42,1782588397326,0,0,0
43,1782588397642,0,0,0
44,1782588397958,0,0,0
45,1782588398491,0,0,0
46,1782588398924,0,0,0
47,1782588399258,0,0,0
48,1782588399774,0,0,0
49,1782588400123,0,0,0
50,1782588400406,0,0,0
51,1782588403387,0,0,0
52,1782588403504,0,0,0
53,1782588403736,0,0,0
54,1782588404053,0,0,0
55,1782588404353,0,0,0
56,1782588404603,0,0,0
57,1782588405485,0,0,0
58,1782588406268,0,0,0
59,1782588406385,0,0,0
60,1782588407200,0,0,0
61,1782588407983,0,0,0
62,1782588408800,0,0,0
63,1782588408900,0,0,0
64,1782588409715,0,0,0
65,1782588410531,0,0,0
66,1782588410631,0,0,0
67,1782588411447,0,0,0
68,1782588412247,0,0,0
69,1782588412363,0,0,0
70,1782588413179,0,0,0
71,1782588413961,0,0,0
72,1782588414096,0,0,0
73,1782588414778,0,0,0
74,1782588414877,0,0,0
75,1782588415693,0,0,0
76,1782588416776,0,0,0
77,1782588418524,0,0,0
78,1782588420024,0,0,0
79,1782588420422,0,0,0
80,1782588421522,0,0,0
81,1782588421888,0,0,0
82,1782588423370,0,0,0
83,1782588423603,0,0,0
84,1782588425901,0,0,0
85,1782588427999,0,0,0
86,1782588428317,0,0,0
87,1782588428549,0,0,0
88,1782588429016,0,0,0
89,1782588429365,0,0,0
90,1782588429715,0,0,0
91,1782588430631,0,0,0
92,1782588430981,0,0,0
93,1782588431531,0,0,0
94,1782588431929,0,0,0
95,1782588432879,0,0,0
96,1782588433478,0,0,0
97,1782588433778,0,0,0
98,1782588434760,0,0,0
99,1782588435127,0,0,0
100,1782588436559,0,0,0
101,1782588437025,0,0,0
102,1782588437924,0,0,0
103,1782588438791,0,0,0
104,1782588440156,0,0,0
105,1782588440556,0,0,0
106,1782588440756,0,0,0
107,1782588441072,0,0,0
108,1782588442004,0,0,0
109,1782588442388,0,0,0
110,1782588443886,0,0,0
111,1782588444286,0,0,0
112,1782588446468,0,0,0
113,1782588446834,0,0,0
114,1782588447683,0,0,0
115,1782588448582,0,0,0
116,1782588448998,0,0,0
117,1782588449881,0,0,0
118,1782588450247,0,0,0
119,1782588451081,0,0,0
120,1782588451497,0,0,0
121,1782588452347,0,0,0
122,1782588460440,0,0,0
123,1782588460838,0,0,0
124,1782588499406,0,0,0
125,1782588500205,0,0,0
