index,ELETROBUILD_TEMPERATURE,1,2,3,4,5,6,7
0,-600,0,0,0,0,0,0,0
1,-596,-9,-2,0,0,0,0,0
2,-594,0,0,0,0,0,0,0
3,-598,-4,-2,0,76,254,0,0
4,-592,0,0,0,0,0,0,0
5,-594,-7,-2,0,88,254,0,0
6,-590,0,0,0,0,0,0,0
7,-586,-8,-2,0,0,0,0,0
8,-594,0,0,0,0,0,0,0
9,-588,0,0,0,0,0,0,0
10,-588,-9,-2,0,0,0,0,0
11,-583,0,0,0,0,0,0,0
12,-583,0,0,0,253,255,0,0
13,-571,0,0,0,0,0,0,0
14,-572,10,0,0,0,0,0,0
15,-569,0,0,0,0,0,0,0
16,-563,0,0,0,254,255,0,0
17,-563,0,0,0,0,0,0,0
18,-582,0,0,0,0,0,0,0
19,-571,0,0,0,253,255,0,0
20,-571,-7,-1,0,81,254,0,0
21,-559,0,0,0,253,255,0,0
22,-555,0,0,0,255,255,0,0
23,-559,0,0,0,254,255,0,0
24,-563,0,0,0,0,0,0,0
25,-559,0,0,0,255,255,0,0
26,-571,0,0,0,0,0,0,0
27,-548,-7,0,0,84,254,0,0
28,-555,0,0,0,0,0,0,0
29,-557,0,0,0,0,0,0,0
30,-551,0,0,0,0,0,0,0
31,-551,0,0,0,0,0,0,0
32,-555,-4,-1,0,0,0,0,0
33,-552,10,0,0,0,0,0,0
34,-530,0,0,0,0,0,0,0
35,-537,0,0,0,0,0,0,0
36,-558,0,0,0,0,0,0,0
37,-549,0,0,0,0,0,0,0
38,-542,0,0,0,0,255,0,0
39,-542,0,0,0,254,255,0,0
40,-542,0,0,0,0,0,0,0
41,-558,-9,0,0,0,0,0,0
42,-547,0,0,0,0,0,0,0
43,-553,0,0,0,0,0,0,0
44,-542,0,0,0,0,0,0,0
45,-536,0,0,0,0,0,0,0
46,-544,0,0,0,254,255,0,0
47,-542,0,0,0,0,0,0,0
48,-538,0,0,0,0,0,0,0
49,-540,0,0,0,254,255,0,0
50,-532,0,0,0,0,0,0,0
51,-542,-8,-1,0,0,0,0,0
52,-540,0,0,0,0,0,0,0
53,-542,0,0,0,255,255,0,0
54,-540,0,0,0,0,0,0,0
55,-551,0,0,0,255,255,0,0
56,-544,0,0,0,0,0,0,0
57,-542,0,0,0,0,0,0,0
58,-540,0,0,0,0,0,0,0
59,-549,0,0,0,0,0,0,0
60,-538,0,0,0,0,0,0,0
61,-536,0,0,0,0,0,0,0
62,-532,0,0,0,0,0,0,0
63,-540,0,0,0,255,255,0,0
64,-528,-4,-3,0,0,0,0,0
65,-542,0,0,0,254,255,0,0
66,-532,0,0,0,255,255,0,0
67,-538,0,0,0,90,254,0,0
68,-540,0,0,0,0,0,0,0
69,-534,0,0,0,254,255,0,0
70,-534,-6,-2,0,0,0,0,0
71,-532,0,0,0,255,255,0,0
72,-544,0,0,0,78,254,0,0
73,-540,-5,-1,0,0,0,0,0
74,-534,-7,-1,0,0,0,0,0
75,-534,10,0,0,0,0,0,0
76,-536,-5,-2,0,0,0,0,0
77,-530,0,0,0,0,0,0,0
78,-534,0,0,0,0,0,0,0
79,-534,0,0,0,252,255,0,0
80,-534,0,0,0,0,0,0,0
81,-534,0,0,0,0,0,0,0
82,-538,0,0,0,0,0,0,0
83,-530,0,0,0,0,0,0,0
84,-528,0,0,0,253,255,0,0
85,-532,0,0,0,0,0,0,0
86,-540,0,0,0,0,0,0,0
87,-530,0,0,0,253,255,0,0
88,-536,0,0,0,0,0,0,0
89,-534,-8,-2,0,0,0,0,0
90,-532,0,0,0,0,0,0,0
91,-538,-8,-1,0,0,0,0,0
92,-522,0,0,0,0,0,0,0
93,-544,0,0,0,96,254,0,0
94,-532,-7,-3,0,0,0,0,0
95,-530,0,0,0,0,0,0,0
96,-534,0,0,0,254,0,0,0
97,-532,-7,-2,0,79,254,0,0
98,-532,0,0,0,0,0,0,0
99,-530,0,0,0,255,255,0,0
100,-536,0,0,0,255,255,0,0
101,-524,0,0,0,0,0,0,0
102,-532,8086,-454,0,0,0,0,0
103,-534,0,0,0,254,255,0,0
104,-538,0,0,0,0,0,0,0
105,-534,-7,-2,0,0,0,0,0
106,-538,-6,1,0,85,254,0,0
107,-532,0,0,0,0,0,0,0
108,-528,0,0,0,255,255,0,0
109,-532,0,0,0,0,0,0,0
110,-528,-7,-2,0,74,254,0,0
111,-526,0,0,0,0,0,0,0
112,-530,-7,-1,0,66,254,0,0
113,-536,0,0,0,254,255,0,0
114,-528,0,0,0,255,255,0,0
115,-530,-7,-1,0,66,254,0,0
116,-532,0,0,0,0,0,0,0
117,-536,0,0,0,255,255,0,0
118,-528,0,0,0,0,0,0,0
119,-522,0,0,0,255,255,0,0
120,-530,0,0,0,255,255,0,0
121,-536,0,0,0,0,0,0,0
122,-524,0,0,0,0,0,0,0
123,-532,0,0,0,0,0,0,0
124,-536,0,0,0,0,0,0,0
125,-530,0,0,0,0,0,0,0
126,-524,0,0,0,255,0,0,0
127,-532,0,0,0,0,0,0,0
128,-524,0,0,0,0,0,0,0
129,-530,10,0,0,0,0,0,0
130,-530,-7,0,0,0,0,0,0
131,-528,10,0,0,0,0,0,0
132,-524,0,0,0,255,255,0,0
133,-526,10,0,0,0,0,0,0
134,-526,-6,-2,0,0,0,0,0
135,-528,0,0,0,0,0,0,0
136,-526,0,0,0,255,255,0,0
137,-526,0,0,0,0,0,0,0
138,-526,-8,-1,0,0,0,0,0
139,-526,0,0,0,0,0,0,0
140,-520,0,0,0,0,0,0,0
141,-534,-9,-1,0,0,0,0,0
142,-519,0,0,0,0,0,0,0
143,-517,-8,-2,0,0,0,0,0
144,-528,0,0,0,254,255,0,0
145,-526,0,0,0,254,255,0,0
146,-528,0,0,0,0,0,0,0
147,-520,-7,-3,0,92,254,0,0
148,-520,0,0,0,0,0,0,0
149,-520,-6,0,0,70,254,0,0
150,-524,0,0,0,0,0,0,0
151,-532,0,0,0,253,255,0,0
152,-526,0,0,0,0,0,0,0
153,-528,-8,-2,0,74,254,0,0
154,-524,0,0,0,0,0,0,0
155,-524,0,0,0,255,255,0,0
156,-532,0,0,0,0,0,0,0
157,-524,0,0,0,255,255,0,0
158,-524,0,0,0,0,0,0,0
159,-519,-13,-1,0,152,254,0,0
160,-524,0,0,0,254,255,0,0
161,-524,-10,-1,0,28,254,0,0
162,-526,0,0,0,254,255,0,0
163,-519,0,0,0,0,0,0,0
164,-524,-7,-2,0,88,254,0,0
165,-522,0,0,0,255,255,0,0
166,-533,0,0,0,255,255,0,0
167,-526,0,0,0,0,0,0,0
168,-527,0,0,0,0,0,0,0
169,-526,0,0,0,0,0,0,0
170,-524,0,0,0,0,0,0,0
171,-528,0,0,0,0,0,0,0
172,-526,0,0,0,0,0,0,0
173,-528,0,0,0,254,255,0,0
174,-530,10,0,0,0,0,0,0
175,-532,-7,0,0,0,0,0,0
176,-530,10,0,0,0,0,0,0
177,-519,0,0,0,255,255,0,0
178,-524,0,0,0,0,0,0,0
179,-532,-7,-1,0,0,0,0,0
180,-522,0,0,0,0,0,0,0
181,-530,0,0,0,254,255,0,0
182,-519,0,0,0,0,0,0,0
183,-528,0,0,0,254,255,0,0
184,-528,0,0,0,0,0,0,0
185,-530,0,0,0,71,254,0,0
186,-522,0,0,0,0,0,0,0
187,-528,0,0,0,254,255,0,0
188,-519,0,0,0,0,0,0,0
189,-526,0,0,0,255,255,0,0
190,-524,0,0,0,0,0,0,0
191,-520,-7,-1,0,69,254,0,0
192,-524,0,0,0,254,255,0,0
193,-524,-6,-1,0,85,254,0,0
194,-528,0,0,0,0,0,0,0
195,-526,-7,0,0,90,254,0,0
196,-525,0,0,0,0,0,0,0
197,-524,0,0,0,255,255,0,0
198,-524,0,0,0,0,0,0,0
199,-520,-7,-1,0,76,254,0,0
200,-517,0,0,0,0,0,0,0
201,-524,-6,-1,0,94,254,0,0
202,-524,0,0,0,0,0,0,0
203,-521,0,0,0,0,0,0,0
204,-524,0,0,0,0,0,0,0
205,-530,0,0,0,0,0,0,0
206,-517,0,0,0,0,0,0,0
207,-524,10,0,0,0,0,0,0
208,-522,-5,3,0,0,0,0,0
209,-520,0,0,0,0,0,0,0
210,-520,0,0,0,0,0,0,0
211,-520,0,0,0,0,0,0,0
212,-520,-6,-4,0,0,0,0,0
213,-520,0,0,0,2,0,0,0
214,-517,0,0,0,255,255,0,0
215,-516,0,0,0,0,0,0,0
216,-524,-7,-1,0,0,0,0,0
217,-520,0,0,0,0,0,0,0
218,-525,-6,0,0,60,254,0,0
219,-522,0,0,0,0,0,0,0
220,-519,0,0,0,253,255,0,0
221,-518,0,0,0,0,0,0,0
222,-519,0,0,0,0,0,0,0
223,-523,0,0,0,0,0,0,0
224,-524,-7,-2,0,72,254,0,0
225,-517,0,0,0,0,0,0,0
226,-527,0,0,0,255,255,0,0
