index,TEMPERATURE,1,2,3,4,5,6,7
0,-67,0,349,0,0,0,0,0
1,-69,0,0,0,0,0,0,0
2,-72,0,0,0,0,0,0,0
3,-58,0,0,0,0,0,0,0
4,-44,0,0,0,0,0,0,0
5,-45,0,0,0,0,0,0,0
6,-49,0,0,0,0,0,0,0
7,-45,8039,372,0,0,0,0,0
8,-43,0,0,0,0,0,0,0
9,-52,10,0,0,0,0,0,0
10,-49,-8,0,0,0,0,0,0
11,-54,0,0,0,0,0,0,0
12,-54,0,0,0,0,0,0,0
13,-49,4,0,0,0,0,0,0
14,-52,4,0,0,0,0,0,0
15,-43,0,0,0,0,0,0,0
16,-41,0,0,0,0,0,0,0
17,-36,0,289,0,0,0,0,0
18,-43,0,0,0,0,0,0,0
19,-56,0,0,0,0,0,0,0
20,-47,-8,0,0,0,0,0,0
21,-47,0,0,0,0,0,0,0
22,-49,8043,360,0,0,0,0,0
23,-49,0,0,0,0,0,0,0
24,-45,0,0,0,0,0,0,0
25,-41,-7,1,0,0,0,0,0
26,-49,0,0,0,0,0,0,0
27,-47,-6,1,0,0,0,0,0
28,-52,10,0,0,0,0,0,0
29,-54,0,0,0,0,0,0,0
30,-52,0,2,0,0,0,0,0
31,-45,0,0,0,0,0,0,0
32,-54,-7,0,0,0,0,0,0
33,-40,-7,0,0,0,0,0,0
34,-45,-8,0,0,0,0,0,0
35,-49,0,359,0,0,0,0,0
36,-46,0,2,0,0,0,0,0
37,-45,0,0,0,0,0,0,0
38,-52,0,34,0,0,0,0,0
39,-41,0,0,0,0,0,0,0
40,-239,0,0,0,0,0,0,0
41,-234,0,-1,0,0,0,0,0
42,-222,0,0,0,0,0,0,0
43,-234,0,-1,0,0,0,0,0
44,-219,10,0,0,0,0,0,0
45,-212,-7,-1,0,0,0,0,0
46,-210,0,0,0,0,0,0,0
47,-210,-7,-2,0,0,0,0,0
48,-181,0,0,0,0,0,0,0
49,-186,0,-1,0,0,0,0,0
50,-165,0,-1,0,0,0,0,0
51,-168,0,0,0,0,0,0,0
52,-159,-6,-2,0,0,0,0,0
53,-170,0,0,0,0,0,0,0
54,-159,0,-1,0,0,0,0,0
55,-162,0,0,0,0,0,0,0
56,-167,-7,-1,0,0,0,0,0
57,-155,0,0,0,0,0,0,0
58,-151,0,-1,0,0,0,0,0
59,-163,0,0,0,0,0,0,0
60,-161,-6,0,0,0,0,0,0
61,-159,0,79,0,0,0,0,0
62,-157,0,2,0,0,0,0,0
63,-167,-7,0,0,0,0,0,0
64,-155,0,2,0,0,0,0,0
65,-163,0,-1,0,0,0,0,0
66,-167,0,2,0,0,0,0,0
67,-170,-7,0,0,0,0,0,0
68,-161,0,2,0,0,0,0,0
69,-161,0,-1,0,0,0,0,0
70,-165,0,0,0,0,0,0,0
71,-165,-8,-1,0,0,0,0,0
72,-165,0,2,0,0,0,0,0
73,-163,0,1,0,0,0,0,0
74,-165,-7,-2,0,0,0,0,0
75,-169,0,0,0,0,0,0,0
76,-153,0,0,0,0,0,0,0
77,-161,0,2,0,0,0,0,0
78,-167,0,-1,0,0,0,0,0
79,-170,0,0,0,0,0,0,0
80,-159,0,0,0,0,0,0,0
81,-161,0,0,0,0,0,0,0
82,-170,8075,600,0,0,0,0,0
83,-163,0,80,0,0,0,0,0
84,-167,0,0,0,0,0,0,0
85,-167,0,80,0,0,0,0,0
86,-166,-7,0,0,0,0,0,0
87,-166,0,80,0,0,0,0,0
88,-157,0,0,0,0,0,0,0
89,-157,0,80,0,0,0,0,0
90,-159,-7,-1,0,0,0,0,0
91,-156,0,2,0,0,0,0,0
92,-155,0,0,0,0,0,0,0
93,-146,-7,0,0,0,0,0,0
94,-151,0,2,0,0,0,0,0
95,-159,0,0,0,0,0,0,0
96,-161,-7,-1,0,0,0,0,0
97,-159,0,0,0,0,0,0,0
98,-157,0,2,0,0,0,0,0
99,-155,-8,0,0,0,0,0,0
100,-146,0,2,0,0,0,0,0
101,-163,0,0,0,0,0,0,0
102,-148,-7,0,0,0,0,0,0
103,-161,0,597,0,0,0,0,0
104,-167,0,-1,0,0,0,0,0
105,-151,0,0,0,0,0,0,0
106,-140,0,0,0,0,0,0,0
107,-159,0,0,0,0,0,0,0
108,-153,0,2,0,0,0,0,0
109,-155,10,0,0,0,0,0,0
110,-159,0,1,0,0,0,0,0
111,-146,10,0,0,0,0,0,0
112,-161,-8,0,0,0,0,0,0
113,-148,0,0,0,0,0,0,0
114,-163,-6,-1,0,0,0,0,0
115,-155,0,0,0,0,0,0,0
116,-163,0,0,0,0,0,0,0
117,-163,-7,-1,0,0,0,0,0
118,-155,10,0,0,0,0,0,0
119,-167,0,0,0,0,0,0,0
120,-155,-8,-1,0,0,0,0,0
121,-161,0,80,0,0,0,0,0
122,-159,0,-1,0,0,0,0,0
123,-148,0,2,0,0,0,0,0
124,-146,-7,-1,0,0,0,0,0
125,-155,0,2,0,0,0,0,0
126,-168,-7,-256,0,0,0,0,0
127,-161,0,0,0,0,0,0,0
128,-144,0,0,0,0,0,0,0
129,-165,0,0,0,0,0,0,0
130,-162,0,0,0,0,0,0,0
131,-151,0,0,0,0,0,0,0
132,-157,-7,-1,0,0,0,0,0
133,-157,0,0,0,0,0,0,0
134,-159,0,0,0,0,0,0,0
135,-157,0,0,0,0,0,0,0
136,-155,-6,1,0,0,0,0,0
137,-157,0,0,0,0,0,0,0
138,-165,0,0,0,0,0,0,0
139,-163,0,0,0,0,0,0,0
140,-148,-8,-1,0,0,0,0,0
141,-158,10,0,0,0,0,0,0
142,-155,0,1,0,0,0,0,0
143,-144,10,0,0,0,0,0,0
144,-161,-8,-1,0,0,0,0,0
145,-155,0,0,0,0,0,0,0
146,-155,0,-1,0,0,0,0,0
