index,date,SPEED,STEERING_WHEEL,THROTTLE,BRAKE
0,1780264173885,0,0,0,0
1,1780264173885,0,0,0,0
2,1780264173885,0,0,0,0
3,1780264173885,0,0,0,0
4,1780264175995,0,0,0,0
5,1780264177265,0,0,0,0
6,1780264178546,0,0,0,0
7,1780264178712,0,0,0,0
8,1780264178832,0,0,0,0
9,1780264179946,0,0,0,0
10,1780264180111,0,0,0,0
11,1780264181595,0,0,0,0
12,1780264182145,0,0,0,0
13,1780264182544,0,0,0,0
14,1780264183378,0,0,0,0
15,1780264183745,0,0,0,0
16,1780264184862,0,0,0,0
17,1780264186262,0,0,0,0
18,1780264186629,0,0,0,0
19,1780264192278,0,0,0,0
20,1780264192495,0,0,36,0
21,1780264192945,0,0,709,0
22,1780264193478,0,0,1000,0
23,1780264193612,0,0,1000,0
24,1780264196161,0,0,1000,0
25,1780264198761,0,0,1000,0
26,1780264199962,0,0,1000,0
27,1780264200161,0,0,1000,0
28,1780264200578,0,0,1000,0
29,1780264201393,0,0,1000,0
30,1780264201811,0,0,1000,0
31,1780264203794,0,0,0,1
32,1780264204944,0,0,0,1
