timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t,LEFT_MOTOR_RPM,RIGHT_MOTOR_RPM
1765225605019,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014152,-0.002806,0.99186,-0.6300000000000001,0.35000000000000003,0.0,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7099993,0.0,0.0
1765225605036,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014152,-0.002806,0.99186,-0.6300000000000001,0.35000000000000003,0.0,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100010,0.0,0.0
1765225605052,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014152,-0.002806,0.99186,-0.6300000000000001,0.35000000000000003,0.0,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100026,0.0,0.0
1765225605087,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018666,0.00061,0.9891759999999999,-0.6300000000000001,0.35000000000000003,0.0,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100061,0.0,0.0
1765225605135,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018666,0.00061,0.9891759999999999,-0.56,0.28,-0.14,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100109,0.0,0.0
1765225605151,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018666,0.00061,0.9891759999999999,-0.56,0.28,-0.14,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100125,0.0,0.0
1765225605252,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100226,0.0,0.0
1765225605302,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100276,0.0,0.0
1765225605318,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100292,0.0,0.0
1765225605337,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100311,0.0,0.0
1765225605370,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.29,3.32,3.28,3.28,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100344,0.0,0.0
1765225605401,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.29,3.27,3.28,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100375,0.0,0.0
1765225605434,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.29,3.28,3.29,3.28,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100408,0.0,0.0
1765225605451,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.29,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.27,3.28,3.27,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100425,0.0,0.0
1765225605469,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.29,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.28,3.29,3.28,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100443,0.0,0.0
1765225605501,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.29,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.31,3.31,3.31,3.3,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100475,0.0,0.0
1765225605518,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.29,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100492,0.0,0.0
1765225605553,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.29,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100527,0.0,0.0
1765225605585,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100559,0.0,0.0
1765225605618,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100592,0.0,0.0
1765225605651,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017079999999999998,-0.00366,0.99674,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100625,0.0,0.0
1765225605667,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015738,-0.000244,0.990762,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100641,0.0,0.0
1765225605685,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015738,-0.000244,0.990762,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100659,0.0,0.0
1765225605719,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015738,-0.000244,0.990762,-0.6300000000000001,0.28,0.07,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100693,0.0,0.0
1765225605751,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015738,-0.000244,0.990762,-0.6300000000000001,0.28,0.07,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100725,0.0,0.0
1765225605785,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015738,-0.000244,0.990762,-0.6300000000000001,0.28,0.07,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100759,0.0,0.0
1765225605801,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015738,-0.000244,0.990762,-0.6300000000000001,0.28,0.07,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100775,0.0,0.0
1765225605818,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017324,0.000366,0.994178,-0.6300000000000001,0.28,0.07,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100792,0.0,0.0
1765225605836,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017324,0.000366,0.994178,-0.6300000000000001,0.28,0.07,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100810,0.0,0.0
1765225605886,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017324,0.000366,0.994178,-0.56,0.42000000000000004,0.0,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100860,0.0,0.0
1765225605902,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017324,0.000366,0.994178,-0.56,0.42000000000000004,0.0,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100876,0.0,0.0
1765225605983,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018422,0.00183,0.997594,-0.56,0.42000000000000004,0.0,3.3,3.32,3.31,3.3,3.28,3.29,3.28,3.28,3.32,3.32,3.32,3.31,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.29,3.32,3.32,3.32,3.31,3.32,3.27,78.9,-1.0,1.0,0.0,1.0,1.0,7100957,0.0,0.0
