index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
0,1782666859017,0,0,0
1,1782666859699,0,0,0
2,1782666860064,0,0,0
3,1782666860382,0,0,0
4,1782666861297,0,0,0
5,1782666861466,0,0,0
6,1782666862180,0,0,0
7,1782666863914,0,0,0
8,1782666864164,0,0,0
9,1782666865932,0,0,0
10,1782666866764,0,0,0
11,1782666867180,0,0,0
12,1782666867432,0,0,0
13,1782666867832,0,0,0
14,1782666868098,0,0,0
15,1782666868432,0,0,0
16,1782666868615,0,0,0
17,1782666869782,0,0,0
18,1782666870115,0,0,0
19,1782666870465,0,0,0
20,1782666870781,0,0,0
21,1782666871066,0,0,0
22,1782666871449,0,0,0
23,1782666871749,0,0,0
24,1782666872066,0,0,0
25,1782666872432,0,0,0
26,1782666873065,0,0,0
27,1782666873285,0,0,0
28,1782666874082,0,0,0
29,1782666874399,0,0,0
30,1782666874816,0,0,0
31,1782666875116,0,0,0
32,1782666876033,0,0,0
33,1782666876232,0,0,0
34,1782666876581,0,0,0
35,1782666876864,0,0,0
36,1782666877197,0,0,0
37,1782666880414,0,0,0
38,1782666880665,0,0,0
39,1782666881232,0,0,0
40,1782666881849,0,0,0
41,1782666882148,0,0,0
42,1782666882549,0,0,0
43,1782666882866,0,0,0
44,1782666883348,0,0,0
45,1782666883749,0,0,0
46,1782666885165,0,0,0
47,1782666885481,0,0,0
48,1782666886348,0,0,0
49,1782666886982,0,0,0
50,1782666887281,0,0,0
51,1782666887532,0,0,0
52,1782666887948,0,0,0
53,1782666888082,0,0,0
54,1782666888382,0,0,0
55,1782666888731,0,0,0
56,1782666889067,0,0,0
57,1782666889398,0,0,0
58,1782666889715,0,0,0
59,1782666890815,0,0,0
60,1782666892349,0,0,0
61,1782666892648,0,0,0
62,1782666892915,0,0,0
63,1782666894981,0,0,0
64,1782666895265,0,0,0
65,1782666900833,0,0,0
66,1782666902565,0,0,0
67,1782666902832,0,0,0
68,1782666903715,0,0,0
69,1782666904102,0,0,0
70,1782666904498,0,0,0
71,1782666904767,0,0,0
72,1782666905550,0,0,0
73,1782666909115,0,0,0
74,1782666909432,0,0,0
75,1782666909749,0,0,0
76,1782666910050,0,0,0
77,1782666911449,0,0,0
78,1782666911833,0,0,0
79,1782666912166,0,0,0
80,1782666912465,0,0,0
81,1782666912715,0,0,0
82,1782666913249,0,0,0
83,1782666913648,0,0,0
84,1782666913966,0,0,0
85,1782666917132,0,0,0
86,1782666917484,0,0,0
87,1782666919499,0,0,0
88,1782666922751,0,0,0
89,1782666923018,0,0,0
90,1782666923332,0,0,0
91,1782666923515,0,0,0
92,1782666923882,0,0,0
93,1782666924099,0,0,0
94,1782666924449,0,0,0
95,1782666924815,0,0,0
96,1782666925099,0,0,0
97,1782666925268,0,0,0
98,1782666925666,0,0,0
99,1782666925916,0,0,0
100,1782666929399,0,0,0
101,1782666929700,0,0,0
102,1782666931749,0,0,0
103,1782666933499,0,0,0
104,1782666933800,0,0,0
105,1782666934099,0,0,0
106,1782666934433,0,0,0
107,1782666934749,0,0,0
108,1782666935582,0,0,0
109,1782666935816,0,0,0
110,1782666936133,0,0,0
111,1782666936450,0,0,0
112,1782666936783,0,0,0
113,1782666937116,0,0,0
114,1782666937916,0,0,0
