index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
264,1782667484374,0,0
265,1782667484626,0,0
266,1782667485041,0,0
267,1782667485275,0,0
268,1782667485774,0,0
269,1782667486208,0,0
270,1782667486542,0,0
271,1782667486874,0,0
272,1782667489724,0,0
273,1782667490041,0,0
274,1782667491542,0,0
275,1782667491874,0,0
276,1782667492224,0,0
277,1782667492575,0,0
278,1782667492774,0,0
279,1782667492957,0,0
280,1782667493358,0,0
281,1782667493608,0,0
282,1782667494008,0,0
283,1782667495758,0,0
284,1782667500442,0,0
285,1782667501308,0,0
286,1782667502508,0,0
287,1782667502559,0,0
288,1782667502941,0,0
289,1782667503258,0,0
290,1782667503641,0,0
291,1782667505042,0,0
292,1782667505374,0,0
293,1782667509476,0,0
294,1782667510308,0,0
295,1782667511225,0,0
296,1782667511991,0,0
297,1782667512241,0,0
298,1782667512458,0,0
299,1782667512808,0,0
300,1782667516042,0,0
301,1782667516441,0,0
302,1782667516774,0,0
303,1782667517109,0,0
304,1782667517242,0,0
305,1782667517659,0,0
306,1782667519342,0,0
307,1782667520824,0,0
308,1782667521141,0,0
309,1782667521475,0,0
310,1782667521808,0,0
311,1782667522026,0,0
312,1782667523458,0,0
313,1782667523874,0,0
314,1782667524074,0,0
315,1782667524392,0,0
316,1782667526392,0,0
317,1782667529560,0,0
318,1782667529894,0,0
319,1782667532491,0,0
320,1782667532860,0,0
321,1782667533193,0,0
322,1782667533843,0,0
323,1782667534158,0,0
324,1782667534395,0,0
325,1782667534843,0,0
326,1782667535476,0,0
327,1782667537075,0,0
328,1782667538493,1,0
329,1782667538993,1,0
330,1782667539141,1,0
331,1782667539575,1,0
332,1782667540192,2,0
333,1782667541242,3,0
334,1782667541475,3,0
335,1782667541743,4,0
336,1782667542827,6,0
337,1782667543509,7,0
338,1782667543861,8,0
339,1782667544508,9,0
340,1782667545092,12,0
341,1782667545543,13,0
342,1782667546141,15,0
343,1782667546658,17,0
344,1782667547142,18,0
345,1782667547726,20,0
346,1782667548158,21,0
347,1782667548976,23,0
348,1782667551010,29,0
349,1782667551809,32,0
350,1782667553560,36,0
351,1782667554141,37,0
352,1782667555008,39,0
353,1782667555475,40,0
354,1782667556975,42,0
355,1782667558043,43,0
356,1782667558442,43,0
357,1782667558559,43,0
