index,date,NTC_1,NTC_2,NTC_3
132,1782666922465,25.5,25.5,-0.01
133,1782666923399,25.5,25.5,-0.01
134,1782666923832,25.5,25.5,-0.01
135,1782666924149,25.5,25.5,-0.01
136,1782666924866,25.5,25.5,-0.01
137,1782666925599,25.5,25.5,-0.01
138,1782666925950,25.5,25.5,-0.01
139,1782666926383,25.5,25.5,-0.01
140,1782666926716,25.5,25.5,-0.01
141,1782666927199,25.5,25.57,-0.01
142,1782666927416,25.5,25.57,-0.01
143,1782666928083,25.5,25.57,-0.01
144,1782666928500,25.5,25.57,-0.01
145,1782666928900,25.5,25.57,-0.01
146,1782666929282,25.5,25.57,-0.01
147,1782666929966,25.5,25.57,-0.01
148,1782666930133,25.5,25.57,-0.01
149,1782666930549,25.5,25.5,-0.01
150,1782666931050,25.5,25.57,-0.01
151,1782666931416,25.5,25.5,-0.01
152,1782666931717,25.5,25.5,-0.01
153,1782666932049,25.5,25.5,-0.01
154,1782666932349,25.5,25.57,-0.01
155,1782666933083,25.5,25.57,-0.01
156,1782666933850,25.5,25.57,-0.01
157,1782666934199,25.5,25.57,-0.01
158,1782666935199,25.5,25.57,-0.01
159,1782666935599,25.5,25.57,-0.01
160,1782666935983,25.5,25.57,-0.01
161,1782666936367,25.5,25.57,-0.01
162,1782666937632,25.5,25.57,-0.01
163,1782666938083,25.5,25.57,-0.01
164,1782666938449,25.5,25.5,-0.01
165,1782666938849,25.5,25.5,-0.01
166,1782666939285,25.5,25.5,-0.01
167,1782666939599,25.5,25.5,-0.01
168,1782666940199,25.5,25.57,-0.01
169,1782666940667,25.5,25.57,-0.01
170,1782666941400,25.5,25.5,-0.01
171,1782666941833,25.5,25.57,-0.01
172,1782666942133,25.5,25.57,-0.01
173,1782666942833,25.5,25.5,-0.01
174,1782666943251,25.5,25.5,-0.01
175,1782666943533,25.5,25.5,-0.01
176,1782666943916,25.5,25.5,-0.01
177,1782666944366,25.5,25.5,-0.01
178,1782666944683,25.5,25.5,-0.01
179,1782666944833,25.5,25.57,-0.01
180,1782666945233,25.5,25.5,-0.01
181,1782666945532,25.5,25.5,-0.01
182,1782666945883,25.5,25.5,-0.01
183,1782666946617,25.5,25.5,-0.01
184,1782666946966,25.5,25.5,-0.01
185,1782666947467,25.5,25.5,-0.01
186,1782666947850,25.5,25.5,-0.01
187,1782666949316,25.5,25.5,-0.01
188,1782666950233,25.5,25.5,-0.01
189,1782666950633,25.5,25.5,-0.01
190,1782666951317,25.5,25.5,-0.01
191,1782666951750,25.5,25.5,-0.01
192,1782666952083,25.5,25.5,-0.01
193,1782666953166,25.5,25.5,-0.01
194,1782666953617,25.5,25.5,-0.01
195,1782666954000,25.5,25.5,-0.01
196,1782666954616,25.5,25.5,-0.01
197,1782666954983,25.5,25.5,-0.01
198,1782666955450,25.5,25.5,-0.01
199,1782666956133,25.5,25.5,-0.01
200,1782666956550,25.5,25.5,-0.01
201,1782666956950,25.5,25.5,-0.01
202,1782666957917,25.5,25.5,-0.01
203,1782666958400,25.5,25.5,-0.01
204,1782666959116,25.5,25.5,-0.01
205,1782666959366,25.5,25.5,-0.01
206,1782666959799,25.5,25.5,-0.01
207,1782666960833,25.5,25.5,-0.01
208,1782666961150,25.5,25.5,-0.01
209,1782666961600,25.5,25.5,-0.01
210,1782666962517,25.5,25.5,-0.01
211,1782666962900,25.5,25.5,-0.01
212,1782666963400,25.5,25.5,-0.01
213,1782666963683,25.5,25.5,-0.01
214,1782666964117,25.5,25.5,-0.01
215,1782666964350,25.5,25.57,-0.01
216,1782666965133,25.5,25.57,-0.01
217,1782666965583,25.5,25.57,-0.01
218,1782666965866,25.5,25.5,-0.01
219,1782666966301,25.5,25.5,-0.01
220,1782666966968,25.5,25.57,-0.01
221,1782666968102,25.5,25.5,-0.01
222,1782666968850,25.5,25.5,-0.01
223,1782666969183,25.5,25.5,-0.01
224,1782666969399,25.5,25.5,-0.01
225,1782666969917,25.5,25.5,-0.01
226,1782666970651,25.5,25.57,-0.01
227,1782666971400,25.5,25.57,-0.01
228,1782666972269,25.5,25.57,-0.01
229,1782666972650,25.5,25.5,-0.01
230,1782666973052,25.5,25.5,-0.01
231,1782666973788,25.5,25.57,-0.01
232,1782666974084,25.5,25.57,-0.01
233,1782666974702,25.5,25.57,-0.01
234,1782666975117,25.5,25.57,-0.01
235,1782666976167,25.5,25.5,-0.01
236,1782666976550,25.5,25.57,-0.01
237,1782666976786,25.5,25.5,-0.01
238,1782666977218,25.5,25.5,-0.01
239,1782666977869,25.5,25.57,-0.01
240,1782666978333,25.5,25.57,-0.01
241,1782666978986,25.5,25.57,-0.01
242,1782666979667,25.5,25.57,-0.01
243,1782666980134,25.5,25.57,-0.01
244,1782666980466,25.5,25.57,-0.01
245,1782666980867,25.5,25.57,-0.01
246,1782666981535,25.5,25.57,-0.01
247,1782666981917,25.5,25.5,-0.01
248,1782666982335,25.5,25.57,-0.01
249,1782666983534,25.5,25.57,-0.01
250,1782666983867,25.5,25.57,-0.01
251,1782666984433,25.5,25.57,-0.01
252,1782666984950,25.5,25.5,-0.01
253,1782666985266,25.5,25.57,-0.01
254,1782666985650,25.5,25.57,-0.01
255,1782666986116,25.5,25.57,-0.01
256,1782666986435,25.5,25.5,-0.01
257,1782666987067,25.5,25.5,-0.01
258,1782666987483,25.5,25.5,-0.01
259,1782666987950,25.5,25.5,-0.01
260,1782666989201,25.5,25.5,-0.01
261,1782666989651,25.5,25.5,-0.01
262,1782666990069,25.5,25.5,-0.01
263,1782666990785,25.5,25.5,-0.01
264,1782666991217,25.5,25.5,-0.01
265,1782666993002,25.5,25.5,-0.01
266,1782666993317,25.5,25.5,-0.01
267,1782666993952,25.5,25.5,-0.01
268,1782666994335,25.5,25.5,-0.01
269,1782666995403,25.5,25.5,-0.01
270,1782666995851,25.5,25.5,-0.01
271,1782666996151,25.5,25.5,-0.01
272,1782666996451,25.5,25.5,-0.01
273,1782666996751,25.5,25.5,-0.01
274,1782666997788,25.5,25.5,-0.01
275,1782666998200,25.5,25.5,-0.01
276,1782666999100,25.5,25.5,-0.01
277,1782666999786,25.5,25.5,-0.01
278,1782667000101,25.5,25.5,-0.01
279,1782667000533,25.5,25.5,-0.01
280,1782667001418,25.5,25.5,-0.01
281,1782667002251,25.5,25.5,-0.01
282,1782667002667,25.5,25.5,-0.01
283,1782667002951,25.5,25.5,-0.01
284,1782667003402,25.5,25.5,-0.01
285,1782667003700,25.5,25.5,-0.01
286,1782667004051,25.5,25.5,-0.01
287,1782667004417,25.5,25.5,-0.01
288,1782667004783,25.5,25.5,-0.01
289,1782667005585,25.5,25.5,-0.01
290,1782667005900,25.5,25.5,-0.01
291,1782667006471,25.5,25.5,-0.01
292,1782667006852,25.5,25.5,-0.01
293,1782667007289,25.5,25.5,-0.01
294,1782667007618,25.5,25.5,-0.01
295,1782667008035,25.5,25.5,-0.01
296,1782667009067,25.5,25.5,-0.01
297,1782667009484,25.5,25.5,-0.01
298,1782667009818,25.5,25.5,-0.01
299,1782667010283,25.5,25.5,-0.01
300,1782667010685,25.440000000000001,25.5,-0.01
301,1782667011334,25.5,25.5,-0.01
302,1782667011751,25.5,25.5,-0.01
303,1782667012084,25.5,25.440000000000001,-0.01
304,1782667012771,25.440000000000001,25.440000000000001,-0.01
305,1782667013219,25.5,25.440000000000001,-0.01
306,1782667433842,25.5,25.440000000000001,-0.01
307,1782667434524,25.5,25.440000000000001,-0.01
308,1782667435074,25.5,25.440000000000001,-0.01
309,1782667435241,25.5,25.440000000000001,-0.01
310,1782667435974,25.5,25.440000000000001,-0.01
311,1782667436557,25.5,25.440000000000001,-0.01
312,1782667436758,25.5,25.440000000000001,-0.01
313,1782667436992,25.5,25.440000000000001,-0.01
314,1782667437557,25.5,25.440000000000001,-0.01
315,1782667437756,25.5,25.440000000000001,-0.01
316,1782667438525,25.5,25.440000000000001,-0.01
317,1782667438690,25.5,25.440000000000001,-0.01
318,1782667439274,25.5,25.440000000000001,-0.01
319,1782667439474,25.5,25.440000000000001,-0.01
320,1782667440056,25.5,25.440000000000001,-0.01
321,1782667440190,25.5,25.440000000000001,-0.01
322,1782667440459,25.5,25.440000000000001,-0.01
323,1782667440875,25.5,25.440000000000001,-0.01
324,1782667441290,25.5,25.440000000000001,-0.01
325,1782667441673,25.5,25.440000000000001,-0.01
326,1782667442074,25.5,25.440000000000001,-0.01
327,1782667442573,25.5,25.440000000000001,-0.01
328,1782667442873,25.5,25.440000000000001,-0.01
329,1782667443024,25.5,25.440000000000001,-0.01
330,1782667443490,25.5,25.440000000000001,-0.01
331,1782667443806,25.5,25.440000000000001,-0.01
332,1782667444173,25.5,25.440000000000001,-0.01
333,1782667444623,25.5,25.440000000000001,-0.01
334,1782667445590,25.440000000000001,25.57,-0.01
335,1782667445973,25.5,25.370000000000001,-0.01
336,1782667446741,25.440000000000001,25.440000000000001,-0.01
337,1782667447192,25.440000000000001,25.440000000000001,-0.01
338,1782667448540,25.5,25.440000000000001,-0.01
339,1782667449008,25.5,25.440000000000001,-0.01
340,1782667449457,25.5,25.440000000000001,-0.01
341,1782667449824,25.5,25.440000000000001,-0.01
342,1782667450207,25.5,25.440000000000001,-0.01
343,1782667450823,25.5,25.440000000000001,-0.01
344,1782667451274,25.5,25.5,-0.01
345,1782667452024,25.5,25.440000000000001,-0.01
346,1782667453708,25.5,25.440000000000001,-0.01
347,1782667454891,25.5,25.5,-0.01
348,1782667455241,25.5,25.5,-0.01
349,1782667455424,25.440000000000001,25.5,-0.01
350,1782667455808,25.440000000000001,25.440000000000001,-0.01
351,1782667456858,25.5,25.5,-0.01
352,1782667457291,25.57,25.440000000000001,-0.01
353,1782667457858,25.440000000000001,25.5,-0.01
354,1782667458241,25.440000000000001,25.5,-0.01
355,1782667459007,25.5,25.440000000000001,-0.01
356,1782667459708,25.5,25.5,-0.01
357,1782667460657,25.5,25.5,-0.01
358,1782667461057,25.57,25.440000000000001,-0.01
359,1782667461807,25.5,25.440000000000001,-0.01
360,1782667462207,25.5,25.5,-0.01
361,1782667463574,25.5,25.440000000000001,-0.01
362,1782667463975,25.5,25.5,-0.01
363,1782667464424,25.5,25.5,-0.01
364,1782667464807,25.5,25.5,-0.01
365,1782667465091,25.5,25.5,-0.01
366,1782667465757,25.5,25.5,-0.01
367,1782667474891,25.5,25.440000000000001,-0.01
368,1782667475574,25.5,25.440000000000001,-0.01
369,1782667476090,25.5,25.440000000000001,-0.01
370,1782667476708,25.5,25.440000000000001,-0.01
371,1782667477492,25.5,25.440000000000001,-0.01
372,1782667478641,25.5,25.5,-0.01
373,1782667479457,25.5,25.440000000000001,-0.01
374,1782667479875,25.5,25.440000000000001,-0.01
375,1782667480591,25.5,25.440000000000001,-0.01
376,1782667480891,25.5,25.440000000000001,-0.01
377,1782667481175,25.5,25.440000000000001,-0.01
378,1782667481625,25.5,25.440000000000001,-0.01
379,1782667482341,25.5,25.5,-0.01
380,1782667482825,25.5,25.440000000000001,-0.01
381,1782667482974,25.5,25.440000000000001,-0.01
382,1782667483341,25.5,25.440000000000001,-0.01
383,1782667484141,25.5,25.440000000000001,-0.01
384,1782667484543,25.5,25.440000000000001,-0.01
385,1782667484976,25.5,25.440000000000001,-0.01
386,1782667485291,25.5,25.440000000000001,-0.01
387,1782667485574,25.5,25.440000000000001,-0.01
388,1782667485924,25.5,25.440000000000001,-0.01
389,1782667486374,25.5,25.440000000000001,-0.01
390,1782667486774,25.5,25.440000000000001,-0.01
391,1782667487575,25.5,25.440000000000001,-0.01
392,1782667487791,25.5,25.440000000000001,-0.01
393,1782667488225,25.5,25.440000000000001,-0.01
394,1782667488974,25.5,25.440000000000001,-0.01
395,1782667489324,25.5,25.440000000000001,-0.01
396,1782667489775,25.5,25.440000000000001,-0.01
397,1782667490158,25.5,25.440000000000001,-0.01
398,1782667491108,25.5,25.440000000000001,-0.01
399,1782667491558,25.440000000000001,25.440000000000001,-0.01
400,1782667491975,25.5,25.370000000000001,-0.01
