index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECRASE_L
225,1782580578761,0,0,0
226,1782580579694,0,0,0
227,1782580580077,0,0,0
228,1782580580460,0,0,0
229,1782580580910,0,0,0
230,1782580581843,0,0,0
231,1782580582592,0,0,0
232,1782580583574,0,0,0
233,1782580584190,0,0,0
234,1782580585789,0,0,0
235,1782580586240,0,0,0
236,1782580586789,0,0,0
237,1782580587203,182,182,0
238,1782580587843,614,614,0
239,1782580588737,954,954,0
240,1782580589902,884,887,160
241,1782580590151,837,837,0
242,1782580590384,805,805,0
243,1782580591383,775,775,0
244,1782580593264,961,961,0
245,1782580594297,959,959,0
246,1782580595962,828,828,0
247,1782580596645,819,819,0
248,1782580597061,762,762,0
249,1782580597577,813,813,0
250,1782580598593,756,756,0
251,1782580599625,783,783,0
252,1782580600142,741,741,0
253,1782580601141,754,754,0
254,1782580601574,785,785,0
255,1782580603155,837,837,0
256,1782580604188,880,880,0
257,1782580604754,777,777,0
258,1782580605654,624,624,0
259,1782580606103,634,634,0
260,1782580607919,967,967,0
261,1782580608901,421,421,0
262,1782580609301,428,428,0
263,1782580609734,269,269,0
264,1782580610084,271,271,0
265,1782580611099,970,970,0
266,1782580612681,779,779,0
267,1782580613847,761,761,0
268,1782580615445,525,525,0
269,1782580616444,646,646,0
270,1782580616695,413,413,0
271,1782580616995,423,423,0
272,1782580618060,880,880,0
273,1782580618676,385,385,0
274,1782580619076,302,302,0
275,1782580619659,674,674,0
276,1782580620357,694,694,0
277,1782580621324,889,889,0
278,1782580622274,302,302,0
279,1782580623272,676,676,0
280,1782580624205,660,660,0
281,1782580625220,697,697,0
282,1782580625836,900,900,0
283,1782580626453,906,906,0
284,1782580626819,877,877,0
285,1782580627469,832,832,0
286,1782580628584,843,843,0
287,1782580628834,926,926,0
288,1782580629117,898,898,0
289,1782580630083,885,885,0
290,1782580630466,787,787,0
291,1782580631948,759,759,0
292,1782580633230,750,750,0
293,1782580634496,729,729,0
294,1782580635795,737,737,0
295,1782580636627,0,0,0
296,1782580637027,818,818,0
297,1782580638026,771,771,0
298,1782580638575,750,750,0
299,1782580639508,632,632,0
300,1782580641473,0,0,0
301,1782580642556,0,0,0
302,1782580644121,582,582,0
303,1782580645120,536,536,0
304,1782580645837,467,467,0
305,1782580646752,342,342,0
306,1782580647768,353,353,0
307,1782580648168,331,331,0
308,1782580649317,179,179,0
309,1782580650417,304,304,0
310,1782580651332,336,336,0
311,1782580651931,566,566,0
312,1782580653713,446,446,0
313,1782580654279,0,0,0
314,1782580655878,0,0,0
315,1782580656328,0,0,0
316,1782580656927,0,0,0
317,1782580657327,0,0,0
318,1782580657926,0,0,0
319,1782580658192,0,0,0
320,1782580658776,0,0,0
321,1782580659259,0,0,0
322,1782580661324,0,0,0
323,1782580662322,0,0,0
324,1782580663222,0,0,0
325,1782580664587,0,0,0
326,1782580665186,0,0,0
327,1782580665522,0,0,0
328,1782580666153,0,0,0
329,1782580666552,0,0,0
330,1782580667135,0,0,0
331,1782580667385,0,0,0
332,1782580668085,0,0,0
333,1782580669117,0,0,0
334,1782580670615,0,0,0
335,1782580671665,0,0,0
336,1782580672414,0,0,0
337,1782580672681,0,0,0
338,1782580673680,0,0,0
339,1782580674297,0,0,0
340,1782580674696,0,0,0
341,1782580674845,0,0,0
342,1782580675311,0,0,0
343,1782580675894,0,0,0
344,1782580676927,0,0,0
345,1782580677477,0,0,0
346,1782580678592,0,0,0
347,1782580679242,0,0,0
348,1782580680091,0,0,0
349,1782580680823,0,0,0
350,1782580681939,0,0,0
351,1782580682589,0,0,0
352,1782580683222,0,0,0
353,1782580684205,0,0,0
354,1782580684788,0,0,0
355,1782580685836,0,0,0
356,1782580686202,0,0,0
357,1782580687019,0,0,0
358,1782580688068,0,0,0
359,1782580688401,0,0,0
360,1782580690216,0,0,0
361,1782580690599,0,0,0
362,1782580691199,0,0,0
363,1782580691532,0,0,0
364,1782580692464,0,0,0
365,1782580693563,0,0,0
366,1782580695062,0,0,0
367,1782580696044,0,0,0
368,1782580696412,0,0,0
369,1782580697010,0,0,0
370,1782580698026,0,0,0
371,1782580698709,0,0,0
372,1782580699641,0,0,0
373,1782580700307,0,0,0
374,1782580702006,0,0,0
375,1782580702722,0,0,0
376,1782580703471,0,0,0
377,1782580703854,0,0,0
378,1782580704021,0,0,0
379,1782580704653,0,0,0
380,1782580705036,0,0,0
381,1782580705652,0,0,0
382,1782580706035,0,0,0
383,1782580706552,0,0,0
384,1782580707001,0,0,0
385,1782580707617,0,0,0
386,1782580709599,0,0,0
387,1782580711231,0,0,0
388,1782580711897,0,0,0
389,1782580712513,0,0,0
390,1782580712930,0,0,0
391,1782580713529,0,0,0
392,1782580713796,0,0,0
393,1782580714795,0,0,0
394,1782580716060,0,0,0
395,1782580716927,0,0,0
396,1782580717343,0,0,0
397,1782580718026,0,0,0
398,1782580718842,0,0,0
399,1782580720224,0,0,0
400,1782580720790,0,0,0
401,1782580721123,0,0,0
402,1782580721772,0,0,0
403,1782580722855,0,0,0
404,1782580723071,0,0,0
405,1782580723355,0,0,0
406,1782580724387,0,0,0
407,1782580725386,0,0,0
408,1782580725986,0,0,0
409,1782580727135,0,0,0
410,1782580727801,0,0,0
411,1782580728334,0,0,0
412,1782580729366,0,0,0
413,1782580729749,0,0,0
414,1782580731298,0,0,0
415,1782580731930,0,0,0
416,1782580732397,0,0,0
417,1782580732963,0,0,0
418,1782580733546,0,0,0
419,1782580734645,0,0,0
420,1782580735294,0,0,0
421,1782580736243,0,0,0
422,1782580737276,0,0,0
423,1782580737593,0,0,0
424,1782580737825,0,0,0
425,1782580738958,0,0,0
426,1782580739558,0,0,0
427,1782580739990,0,0,0
428,1782580741122,0,0,0
429,1782580741572,0,0,0
430,1782580743771,0,0,0
431,1782580744336,0,0,0
432,1782580744819,0,0,0
433,1782580745302,0,0,0
434,1782580746252,0,0,0
435,1782580746702,0,0,0
436,1782580747517,0,0,0
437,1782580748151,0,0,0
438,1782580748600,0,0,0
439,1782580749217,0,0,0
440,1782580749682,0,0,0
441,1782580749765,0,0,0
442,1782580750848,0,0,0
443,1782580751948,0,0,0
444,1782580752097,0,0,0
445,1782580752430,0,0,0
446,1782580753430,0,0,0
447,1782580753829,0,0,0
448,1782580755344,0,0,0
449,1782580756360,0,0,0
450,1782580757076,0,0,0
451,1782580757326,0,0,0
452,1782580758309,0,0,0
453,1782580760240,0,0,0
454,1782580761289,0,0,0
455,1782580762905,0,0,0
456,1782580763472,0,0,0
457,1782580764454,0,0,0
458,1782580766235,0,0,0
459,1782580766819,0,0,0
460,1782580767500,0,0,0
461,1782580768549,0,0,0
462,1782580770081,0,0,0
463,1782580771930,0,0,0
464,1782580772297,0,0,0
465,1782580773729,0,0,0
466,1782580773928,0,0,0
467,1782580774145,0,0,0
468,1782580774594,0,0,0
469,1782580775477,0,0,0
470,1782580777092,0,2304,0
471,1782580778075,0,0,0
472,1782580778524,0,0,0
473,1782580778724,204,204,0
474,1782580779008,361,361,0
475,1782580780123,772,772,0
476,1782580780706,806,806,0
477,1782580781022,792,792,0
478,1782580781639,747,747,0
479,1782580782305,692,692,0
480,1782580783421,674,674,0
481,1782580783937,659,659,0
482,1782580785069,586,586,0
483,1782580785652,499,499,0
484,1782580786585,393,393,0
485,1782580787601,405,405,0
486,1782580789182,347,347,0
487,1782580790315,453,453,0
488,1782580791799,711,711,0
489,1782580792562,809,809,0
490,1782580792979,794,794,0
