index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR
0,1782580170819,0,0,0
1,1782580171419,0,0,0
2,1782580403624,0,0,0
3,1782580404190,0,0,0
4,1782580404606,0,0,0
5,1782580405256,0,0,0
6,1782580405639,0,0,0
7,1782580407154,9,65534,0
8,1782580408253,1365,65522,0
9,1782580408836,626,65532,0
10,1782580410918,271,896,3
11,1782580411052,394,902,4
12,1782580411767,659,873,7
13,1782580412750,1010,631,8
14,1782580413732,311,159,0
15,1782580414581,2006,30,0
16,1782580414981,1208,20,0
17,1782580416746,333,794,3
18,1782580417180,0,0,0
19,1782580417845,0,0,0
20,1782580418262,0,0,0
21,1782580418412,27,40,0
22,1782580418711,15,15,0
23,1782580419711,1104,3,0
24,1782580421643,0,0,0
25,1782580422725,0,0,0
26,1782580423325,0,0,0
27,1782580424223,0,0,0
28,1782580425289,0,0,0
29,1782580425606,0,0,0
30,1782580425822,0,0,0
31,1782580426872,0,0,0
32,1782580427937,0,0,0
33,1782580428537,0,0,0
34,1782580429170,0,0,0
35,1782580430218,0,0,0
36,1782580430768,0,0,0
37,1782580433383,0,0,0
38,1782580433865,0,0,0
39,1782580434417,0,0,0
40,1782580436047,0,0,0
41,1782580437146,0,0,0
42,1782580437795,0,0,0
43,1782580438045,0,0,0
44,1782580438644,0,0,0
45,1782580439061,0,0,0
46,1782580439678,0,0,0
47,1782580440059,0,0,0
48,1782580440593,0,0,0
49,1782580441941,0,0,0
50,1782580442341,0,0,0
51,1782580442574,0,0,0
52,1782580442791,0,0,0
53,1782580443190,0,0,0
54,1782580444440,0,0,0
55,1782580445055,0,0,0
56,1782580445955,0,0,0
57,1782580447070,0,0,0
58,1782580447420,0,0,0
59,1782580447604,0,0,0
60,1782580448719,0,0,0
61,1782580449369,0,0,0
62,1782580449802,0,0,0
63,1782580449885,0,0,0
64,1782580450951,0,0,0
65,1782580452050,0,0,0
66,1782580452216,0,0,0
67,1782580452533,0,0,0
68,1782580453666,0,0,0
69,1782580455163,0,0,0
70,1782580456263,0,0,0
71,1782580457961,0,0,0
72,1782580458544,0,65530,0
73,1782580460526,779,354,3
74,1782580461592,98,564,0
75,1782580462140,313,753,3
76,1782580463140,756,884,9
77,1782580463789,1034,933,13
78,1782580464472,1256,928,15
79,1782580464789,1358,895,16
80,1782580465405,1566,861,18
81,1782580467670,1973,827,22
82,1782580468569,2160,790,23
83,1782580469851,2305,756,23
84,1782580471566,2436,780,25
85,1782580471983,2466,3051,16505
86,1782580472982,2451,787,26
87,1782580474914,2463,769,25
88,1782580475946,2530,898,31
89,1782580476429,2554,864,29
90,1782580476495,2563,815,28
91,1782580476912,2560,813,28
