index,date,ACCEL_X,ACCEL_Y,ACCEL_Z
0,1782580170153,0.050000000000000003,-0.040000000000000001,1.01
1,1782580170170,0.050000000000000003,-0.040000000000000001,1.01
2,1782580170204,0.040000000000000001,-0.040000000000000001,1.01
3,1782580170270,0.040000000000000001,-0.040000000000000001,1.01
4,1782580170836,0.050000000000000003,-0.040000000000000001,1.01
5,1782580170869,0.050000000000000003,-0.040000000000000001,1.01
6,1782580170919,0.050000000000000003,-0.040000000000000001,1.01
7,1782580170986,0.050000000000000003,-0.040000000000000001,1.01
8,1782580171052,0.040000000000000001,-0.040000000000000001,1.01
9,1782580171086,0.040000000000000001,-0.040000000000000001,1.01
10,1782580171136,0.040000000000000001,-0.040000000000000001,1.01
11,1782580171152,0.050000000000000003,-0.040000000000000001,1.01
12,1782580171169,0.050000000000000003,-0.040000000000000001,1.01
13,1782580171186,0.050000000000000003,-0.040000000000000001,1.01
14,1782580171219,0.050000000000000003,-0.040000000000000001,1.01
15,1782580171236,0.050000000000000003,-0.040000000000000001,1.01
16,1782580171286,0.050000000000000003,-0.040000000000000001,1.01
17,1782580171336,0.050000000000000003,-0.040000000000000001,1.01
18,1782580171402,0.040000000000000001,-0.040000000000000001,1.01
19,1782580171436,0.040000000000000001,-0.040000000000000001,1.01
20,1782580171486,0.040000000000000001,-0.040000000000000001,1.01
21,1782580171536,0.040000000000000001,-0.040000000000000001,1.01
22,1782580171586,0.040000000000000001,-0.040000000000000001,1.01
23,1782580171636,0.040000000000000001,-0.050000000000000003,1.01
24,1782580171686,0.040000000000000001,-0.050000000000000003,1.02
25,1782580171719,0.050000000000000003,-0.050000000000000003,1.02
26,1782580171737,0.050000000000000003,-0.040000000000000001,1.02
27,1782580171769,0.050000000000000003,-0.040000000000000001,1.02
28,1782580171785,0.050000000000000003,-0.040000000000000001,1.02
29,1782580171802,0.050000000000000003,-0.040000000000000001,1.01
30,1782580171869,0.040000000000000001,-0.040000000000000001,1.01
31,1782580403361,0.17999999999999999,-0.78000000000000003,1.1100000000000001
32,1782580403407,0.19,-0.78000000000000003,1.1100000000000001
33,1782580403458,0.19,-0.89000000000000001,1.3200000000000001
34,1782580403508,0.19,-0.89000000000000001,1.1100000000000001
35,1782580403524,0.16,-0.87,1.28
36,1782580403540,0.14999999999999999,-0.87,1.28
37,1782580403608,0.38,-0.55000000000000004,0.78000000000000003
38,1782580403640,0.37,-0.55000000000000004,0.68999999999999995
39,1782580403707,0.31,-0.55000000000000004,0.68999999999999995
40,1782580403773,0.28999999999999998,-0.62,0.54000000000000004
41,1782580403841,0.28999999999999998,-0.67000000000000004,0.68999999999999995
42,1782580403873,0.28999999999999998,-0.67000000000000004,0.73999999999999999
43,1782580403906,0.34999999999999998,-0.67000000000000004,0.73999999999999999
44,1782580403924,0.34999999999999998,-0.67000000000000004,0.73999999999999999
45,1782580403974,0.48999999999999999,-0.81000000000000005,1.1200000000000001
46,1782580404024,0.52000000000000002,-0.81000000000000005,1.1200000000000001
47,1782580404040,0.52000000000000002,-0.79000000000000004,0.97999999999999998
48,1782580404056,0.48999999999999999,-0.83999999999999997,1.1200000000000001
49,1782580404090,0.46999999999999997,-0.79000000000000004,0.97999999999999998
50,1782580404123,0.46999999999999997,-0.79000000000000004,0.84999999999999998
51,1782580404256,0.33000000000000002,-0.87,1.0700000000000001
52,1782580404357,0.33000000000000002,-0.81999999999999995,1.0700000000000001
53,1782580404457,0.32000000000000001,-0.72999999999999998,0.77000000000000002
54,1782580404507,0.32000000000000001,-0.73999999999999999,0.90000000000000002
55,1782580404573,0.29999999999999999,-0.73999999999999999,0.82999999999999996
56,1782580404640,0.32000000000000001,-0.66000000000000003,0.82999999999999996
57,1782580404673,0.31,-0.66000000000000003,0.82999999999999996
58,1782580404757,0.17000000000000001,-0.23999999999999999,0.83999999999999997
59,1782580404773,0.17000000000000001,-0.32000000000000001,1
60,1782580404839,0.17000000000000001,-0.33000000000000002,1.1000000000000001
61,1782580404906,0.19,-0.41999999999999998,1.1100000000000001
62,1782580404989,0.28000000000000003,-0.40999999999999998,0.78000000000000003
63,1782580405023,0.27000000000000002,-0.39000000000000001,0.73999999999999999
64,1782580405105,0.22,-0.31,0.69999999999999996
65,1782580405239,0.14999999999999999,-0.27000000000000002,0.94999999999999996
66,1782580405272,0.14999999999999999,-0.29999999999999999,1
67,1782580405356,0.16,-0.38,1.21
68,1782580405422,0.22,-0.44,1.21
69,1782580405522,0.14000000000000001,-0.16,1.02
70,1782580405556,0.17000000000000001,-0.23000000000000001,1.02
71,1782580405606,0.17999999999999999,-0.23000000000000001,0.95999999999999996
72,1782580405655,0.22,-0.20000000000000001,0.95999999999999996
73,1782580405688,0.16,-0.070000000000000007,0.85999999999999999
74,1782580405722,0.17000000000000001,-0.050000000000000003,0.85999999999999999
75,1782580405805,0.17999999999999999,-0.050000000000000003,0.85999999999999999
