index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
230,1782580577429,646,0
231,1782580578245,646,0
232,1782580578844,646,0
233,1782580579194,646,0
234,1782580580143,646,0
235,1782580581392,646,0
236,1782580581792,646,0
237,1782580582508,646,0
238,1782580583058,646,0
239,1782580583675,646,0
240,1782580584140,646,0
241,1782580584772,646,0
242,1782580585389,646,0
243,1782580585755,646,0
244,1782580586354,646,0
245,1782580587338,646,0
246,1782580587621,646,0
247,1782580588270,646,0
248,1782580588686,646,0
249,1782580589302,646,0
250,1782580590934,648,0
251,1782580591917,651,0
252,1782580592333,652,0
253,1782580592583,653,0
254,1782580592784,655,0
255,1782580593814,660,0
256,1782580594846,667,0
257,1782580595512,670,0
258,1782580596079,677,0
259,1782580597194,685,0
260,1782580598160,693,0
261,1782580599109,702,0
262,1782580600691,715,0
263,1782580601674,724,0
264,1782580602307,729,12
265,1782580602689,732,0
266,1782580603240,738,0
267,1782580603705,8933,12288
268,1782580604238,748,0
269,1782580605204,756,0
270,1782580606187,765,0
271,1782580606620,767,0
272,1782580607102,772,0
273,1782580607486,774,0
274,1782580608035,781,0
275,1782580608502,783,0
276,1782580610617,801,0
277,1782580611682,807,0
278,1782580611849,809,0
279,1782580612181,811,0
280,1782580612598,813,0
281,1782580613298,819,0
282,1782580613996,824,0
283,1782580614297,826,0
284,1782580614529,828,0
285,1782580615496,837,0
286,1782580615979,839,0
287,1782580617094,850,0
288,1782580617527,852,0
289,1782580618176,858,0
290,1782580619809,871,0
291,1782580620841,878,0
292,1782580621790,886,0
293,1782580622372,893,0
294,1782580622789,895,0
295,1782580623771,904,0
296,1782580624255,910,0
297,1782580624737,911,0
298,1782580625286,918,0
299,1782580626919,932,0
300,1782580628034,941,0
301,1782580629217,951,0
302,1782580629567,953,0
303,1782580630533,960,0
304,1782580631265,964,0
305,1782580631549,966,0
306,1782580632432,973,0
307,1782580632814,976,0
308,1782580633746,984,0
309,1782580634046,986,0
310,1782580634962,995,0
311,1782580635345,998,0
312,1782580637077,1014,0
313,1782580637576,1016,0
314,1782580638110,1021,0
315,1782580639092,1027,0
316,1782580640091,1034,0
317,1782580640491,1036,0
318,1782580641073,1041,0
319,1782580642006,1048,0
320,1782580642655,1052,0
321,1782580643105,1054,0
322,1782580643372,1056,0
