index,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
155,992,8089,-229,0,0,0,0,0
156,999,8091,-218,0,0,0,0,0
157,1002,8094,-212,0,0,0,0,0
158,1008,8086,-218,0,0,0,0,0
159,1001,8088,-224,0,0,0,0,0
160,1009,8092,-225,0,0,0,0,0
161,1010,8092,-210,0,0,0,0,0
162,1003,8093,-220,0,0,0,0,0
163,1000,8093,-223,0,0,0,0,0
164,1003,8086,-222,0,0,0,0,0
165,1006,8088,-223,0,0,0,0,0
166,1009,8099,-224,0,0,0,0,0
167,1004,8097,-223,0,0,0,0,0
168,1005,8098,-204,0,0,0,0,0
169,998,8094,-214,0,0,0,0,0
170,1003,8092,-214,0,0,0,0,0
171,1006,8092,-224,0,0,0,0,0
172,1000,8098,-214,0,0,0,0,0
173,1005,8084,-222,0,0,0,0,0
174,1000,8091,-224,0,0,0,0,0
175,1000,8098,-221,0,0,0,0,0
176,1004,8090,-209,0,0,0,0,0
177,1000,8092,-217,0,0,0,0,0
178,999,8083,-233,0,0,0,0,0
179,1004,8088,-212,0,0,0,0,0
180,999,8092,-213,0,0,0,0,0
181,989,8089,-225,0,0,0,0,0
182,996,8086,-217,0,0,0,0,0
183,993,8088,-220,0,0,0,0,0
184,998,8084,-211,0,0,0,0,0
185,1001,8087,-215,0,0,0,0,0
186,1000,8088,-227,0,0,0,0,0
187,1000,8093,-229,0,0,0,0,0
188,1002,8080,-214,0,0,0,0,0
189,1005,8088,-211,0,0,0,0,0
190,1002,8093,-211,0,0,0,0,0
191,1012,8093,-218,0,0,0,0,0
192,996,8097,-219,0,0,0,0,0
193,1002,8084,-225,0,0,0,0,0
194,1004,8084,-206,0,0,0,0,0
195,1002,8085,-214,0,0,0,0,0
196,992,8092,-212,0,0,0,0,0
197,998,8090,-228,0,0,0,0,0
198,1001,8082,-232,0,0,0,0,0
199,1000,8088,-218,0,0,0,0,0
200,994,8088,-201,0,0,0,0,0
201,997,8086,-214,0,0,0,0,0
202,996,8087,-244,0,0,0,0,0
203,997,8088,-236,0,0,0,0,0
204,999,8094,-211,0,0,0,0,0
205,992,8088,-206,0,0,0,0,0
206,1005,8081,-209,0,0,0,0,0
207,1004,8092,-202,0,0,0,0,0
208,995,8092,-221,0,0,0,0,0
209,998,8097,-221,0,0,0,0,0
210,996,8086,-213,0,0,0,0,0
211,997,8090,-218,0,0,0,0,0
212,1002,8092,-211,0,0,0,0,0
213,999,8088,-218,0,0,0,0,0
214,996,8092,-221,0,0,0,0,0
215,999,8096,-217,0,0,0,0,0
216,999,8091,-219,0,0,0,0,0
217,995,8088,-238,0,0,0,0,0
218,995,8085,-221,0,0,0,0,0
219,1004,8090,-206,0,0,0,0,0
220,1006,8093,-216,0,0,0,0,0
221,1000,8088,-222,0,0,0,0,0
222,997,8086,-230,0,0,0,0,0
