index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE
0,1782569779958,0,0.76000000000000001,0,0
1,1782569780524,0,0.25,0,0
2,1782569781173,0,0,0,0
3,1782569781773,0,0,0,0
4,1782569782522,0,-0.25,0,0
5,1782569787867,0,-1.01,0,0
6,1782569790447,0,-0.76000000000000001,0,0
7,1782569790714,0,-0.25,0,0
8,1782569790980,0,-1.01,0,0
9,1782569791296,0,-0.76000000000000001,0,0
10,1782569791529,0,-0.76000000000000001,0,0
11,1782569791846,0,-1.01,0,0
12,1782569792179,0,-1.01,0,0
13,1782569792396,0,-0.5,0,0
14,1782569792562,0,0.76000000000000001,0,0
15,1782569792845,0,-1.01,0,0
16,1782569793161,0,-1.01,0,0
17,1782569793511,0,-0.76000000000000001,0,0
18,1782569793795,0,580.13,0,0
19,1782569794143,0,-0.76000000000000001,0,0
20,1782569794394,0,-1.26,0,0
21,1782569795009,0,-1.01,0,0
22,1782569795442,0,-0.76000000000000001,0,0
23,1782569796042,0,-1.01,0,0
24,1782569796358,0,-0.76000000000000001,0,0
25,1782569796592,0,-0.76000000000000001,0,0
26,1782569797107,0,0,0,0
27,1782569800104,0,-1.01,0,0
28,1782569800470,0,-1.01,0,0
29,1782569800771,0,-1.26,0,0
30,1782569801070,0,-0.5,0,0
31,1782569801320,0,-1.01,0,0
32,1782569801635,0,-1.01,0,0
33,1782569801953,0,-0.76000000000000001,0,0
34,1782569802218,0,-0.76000000000000001,0,0
35,1782569803501,0,-1.01,0,0
36,1782569803817,0,-1.01,0,0
37,1782569805166,0,-1.26,0,0
38,1782569805482,0,-1.01,0,0
39,1782569805715,0,-1.26,0,0
40,1782569806065,0,-1.01,0,0
41,1782569806582,0,0,0,0
42,1782569806915,0,-1.01,0,0
43,1782569807149,0,-0.5,0,0
44,1782569809829,0,-1.01,0,0
45,1782569810060,0,-1.01,0,0
46,1782569810394,0,-1.01,0,0
47,1782569810711,0,-0.5,0,0
48,1782569810994,0,-0.76000000000000001,0,0
49,1782569811310,0,-1.01,0,0
50,1782569811526,0,-0.76000000000000001,0,0
51,1782569811876,0,-0.76000000000000001,0,0
52,1782569812009,0,-0.25,0,0
53,1782569813708,0,-0.76000000000000001,0,0
54,1782569813990,0,-1.01,0,0
55,1782569814273,0,-1.01,0,0
56,1782569819651,0,-2.52,0,0
57,1782569819968,0,-1.26,0,0
58,1782569824530,0,-1.26,0,0
59,1782569824797,0,0,0,0
60,1782569825095,0,-1.51,0,0
61,1782569825362,0,-1.01,0,0
62,1782569826527,0,-1.01,0,0
63,1782569826744,0,-1.01,0,0
64,1782569830340,0,-1.26,0,0
65,1782569830590,0,-0.76000000000000001,0,0
66,1782569830906,0,-1.01,0,0
67,1782569831422,0,-1.01,0,0
68,1782569834170,0,-1.01,0,0
69,1782569836851,0,-2.27,0,0
70,1782569837100,0,-1.01,0,0
71,1782569837666,0,-2.52,0,0
72,1782569839064,0,-1.01,0,0
73,1782569839314,0,-0.76000000000000001,0,0
74,1782569839581,0,-1.01,0,0
75,1782569839931,0,-1.01,0,0
76,1782569840097,0,0,0,0
77,1782569840413,0,-1.26,0,0
78,1782569840730,0,-0.5,0,0
79,1782569841012,0,-1.01,0,0
80,1782569841263,0,-1.01,0,0
81,1782569846643,0,-1.01,0,0
82,1782569846956,0,-1.01,0,0
83,1782569847256,0,-0.76000000000000001,0,0
84,1782569847558,0,0,0,0
85,1782569847723,0,-1.26,0,0
86,1782569848039,0,-0.76000000000000001,0,0
87,1782569848355,0,-1.01,0,0
88,1782569848655,0,-1.26,0,0
89,1782569849071,0,-1.01,0,0
90,1782569849388,0,-0.76000000000000001,0,0
91,1782569849654,0,-0.76000000000000001,0,0
92,1782569850220,0,-1.01,0,0
93,1782569850520,0,-1.01,0,0
94,1782569850852,0,-1.01,0,0
95,1782569851052,0,-0.5,0,0
96,1782569852201,0,-0.76000000000000001,0,0
97,1782569852484,0,-2.52,0,0
98,1782569853018,0,-1.01,0,0
99,1782569853301,0,-1.01,0,0
100,1782569856463,0,-1.01,0,0
101,1782569856762,0,-0.76000000000000001,0,0
102,1782569856963,0,-1.51,0,0
103,1782569857845,0,-1.26,0,0
104,1782569858194,0,-1.01,0,0
105,1782569858378,0,-1.01,0,0
106,1782569860992,0,-1.01,0,0
107,1782569861292,0,-1.01,0,0
108,1782569861592,0,-1.01,0,0
109,1782569863490,0,-0.76000000000000001,0,0
110,1782569864805,0,-1.01,0,0
111,1782569865123,0,-1.51,0,0
112,1782569865405,0,-0.76000000000000001,0,0
113,1782569868484,0,-1.01,0,0
114,1782569869684,0,-1.01,0,0
115,1782569870233,0,-1.01,0,0
116,1782569870666,0,-1.01,0,0
117,1782569870949,0,-1.01,0,0
118,1782569871248,0,-0.76000000000000001,0,0
119,1782569871482,0,-1.01,0,0
120,1782569871764,0,-1.01,0,0
121,1782569872114,0,-1.01,0,0
122,1782569872414,0,-2.52,0,0
