index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECRASE_L
0,1782569779991,0,0,0
1,1782569781190,0,0,0
2,1782569781806,0,0,0
3,1782569782522,0,0,0
4,1782569784453,0,0,0
5,1782569784753,0,0,0
6,1782569787900,0,0,0
7,1782569790481,0,0,0
8,1782569790730,0,0,0
9,1782569791013,0,0,0
10,1782569791330,0,0,0
11,1782569791546,0,0,0
12,1782569791846,0,0,0
13,1782569792429,0,0,0
14,1782569792595,0,0,0
15,1782569792861,0,0,0
16,1782569793178,0,0,0
17,1782569793511,0,0,0
18,1782569793810,0,0,0
19,1782569794410,0,0,0
20,1782569795026,0,0,0
21,1782569795475,0,0,0
22,1782569795808,0,0,0
23,1782569796059,0,0,0
24,1782569796358,0,0,0
25,1782569796608,0,0,0
26,1782569800138,0,0,0
27,1782569800504,0,0,0
28,1782569800787,0,0,0
29,1782569801086,0,0,0
30,1782569801635,0,0,0
31,1782569802252,0,0,0
32,1782569802901,0,0,0
33,1782569803534,0,0,0
34,1782569803833,0,0,0
35,1782569804333,0,0,0
36,1782569805183,0,0,0
37,1782569805498,0,0,0
38,1782569806082,0,0,0
39,1782569806331,0,0,0
40,1782569806615,0,0,0
41,1782569807164,0,0,0
42,1782569809861,0,0,0
43,1782569810060,0,0,0
44,1782569810394,0,0,0
45,1782569810711,0,0,0
46,1782569811044,0,0,0
47,1782569811342,0,0,0
48,1782569811876,0,0,0
49,1782569812009,0,0,0
50,1782569813724,0,0,0
51,1782569814024,0,0,0
52,1782569814306,0,0,0
53,1782569819651,0,0,0
54,1782569819985,0,0,0
55,1782569824547,0,0,0
56,1782569824830,0,0,0
57,1782569825396,0,0,0
58,1782569826777,0,0,0
59,1782569828326,0,0,0
60,1782569830357,0,0,0
61,1782569830607,0,0,0
62,1782569830906,0,0,0
63,1782569831189,0,0,0
64,1782569831456,0,0,0
65,1782569834188,0,0,0
66,1782569834304,0,0,0
67,1782569834554,0,0,0
68,1782569836867,0,0,0
69,1782569837118,0,0,0
70,1782569837449,0,0,0
71,1782569837699,0,0,0
72,1782569839114,0,0,0
73,1782569839331,0,0,0
74,1782569839597,0,0,0
75,1782569839947,0,0,0
76,1782569840130,0,0,0
77,1782569840447,0,0,0
78,1782569840762,0,0,0
79,1782569841046,0,0,0
80,1782569841263,0,0,0
81,1782569846671,0,0,0
82,1782569847558,0,0,0
83,1782569847740,0,0,0
84,1782569848056,0,0,0
85,1782569848388,0,0,0
86,1782569848688,0,0,0
87,1782569848756,0,0,0
88,1782569849088,0,0,0
89,1782569849404,0,0,0
90,1782569849688,0,0,0
91,1782569849906,0,0,0
92,1782569850236,0,0,0
93,1782569850535,0,0,0
94,1782569850869,0,0,0
95,1782569851069,0,0,0
96,1782569852500,0,0,0
97,1782569852735,0,0,0
98,1782569853051,0,0,0
99,1782569853317,0,0,0
100,1782569856480,0,0,0
101,1782569856780,0,0,0
102,1782569856979,0,0,0
103,1782569857312,0,0,0
104,1782569857595,0,0,0
105,1782569857878,0,0,0
106,1782569858395,0,0,0
107,1782569861009,0,0,0
108,1782569861309,0,0,0
109,1782569861592,0,0,0
110,1782569863490,0,0,0
111,1782569863756,0,0,0
112,1782569863957,0,0,0
113,1782569864240,0,0,0
114,1782569864822,0,0,0
115,1782569865140,0,0,0
116,1782569865438,0,0,0
117,1782569868518,0,0,0
118,1782569870683,0,0,0
119,1782569870966,0,0,0
120,1782569871265,0,0,0
121,1782569871532,0,0,0
122,1782569871798,0,0,0
123,1782569872131,0,0,0
124,1782569872431,0,0,0
