index,date,KP,TI,SLIP
0,1782569779741,0,0,0
1,1782569780357,0,0,0
2,1782569780940,0,0,0
3,1782569780990,0,0,0
4,1782569781523,0,0,0
5,1782569782255,0,0,0
6,1782569783038,0,0,0
7,1782569783304,0,0,0
8,1782569785535,0,0,0
9,1782569785819,0,0,0
10,1782569786168,0,0,0
11,1782569787683,0,0,0
12,1782569788316,0,0,0
13,1782569788615,0,0,0
14,1782569788866,0,0,0
15,1782569789182,0,0,0
16,1782569789515,0,0,0
17,1782569789831,0,0,0
18,1782569790031,0,0,0
19,1782569791662,0,0,0
20,1782569792229,0,0,0
21,1782569794210,0,0,0
22,1782569794510,0,0,0
23,1782569794826,0,0,0
24,1782569797673,0,0,0
25,1782569797939,0,0,0
26,1782569798223,0,0,0
27,1782569798773,0,0,0
28,1782569799006,0,0,0
29,1782569799338,0,0,0
30,1782569799621,0,0,0
31,1782569799821,0,0,0
32,1782569801752,0,0,0
33,1782569804833,0,0,0
34,1782569804982,0,0,0
35,1782569805265,0,0,0
36,1782569806398,0,0,0
37,1782569807547,0,0,0
38,1782569808080,0,0,0
39,1782569808379,0,0,0
40,1782569808646,0,0,0
41,1782569808929,0,0,0
42,1782569809212,0,0,0
43,1782569809479,0,0,0
44,1782569814740,0,0,0
45,1782569815123,0,0,0
46,1782569815339,0,0,0
47,1782569815639,0,0,0
48,1782569815922,0,0,0
49,1782569816238,0,0,0
50,1782569817087,0,0,0
51,1782569817255,0,0,0
52,1782569817570,0,0,0
53,1782569817887,0,0,0
54,1782569818169,0,0,0
55,1782569818736,0,0,0
56,1782569819036,0,0,0
57,1782569819368,0,0,0
58,1782569819469,0,0,0
59,1782569819752,0,0,0
60,1782569820051,0,0,0
61,1782569820433,0,0,0
62,1782569820634,0,0,0
63,1782569820934,0,0,0
64,1782569821250,0,0,0
65,1782569821599,0,0,0
66,1782569821866,0,0,0
67,1782569822367,0,0,0
68,1782569822617,0,0,0
69,1782569822965,0,0,0
70,1782569823181,0,0,0
71,1782569823514,0,0,0
72,1782569823847,0,0,0
73,1782569824180,0,0,0
74,1782569824347,0,0,0
75,1782569824864,0,0,0
76,1782569825129,0,0,0
77,1782569825429,0,0,0
78,1782569825761,0,0,0
79,1782569826028,0,0,0
80,1782569826294,0,0,0
81,1782569826545,0,0,0
82,1782569829341,0,0,0
83,1782569829625,0,0,0
84,1782569829908,0,0,0
85,1782569832388,0,0,0
86,1782569832921,0,0,0
87,1782569833238,0,0,0
88,1782569833471,0,0,0
89,1782569833787,0,0,0
90,1782569833927,0,0,0
91,1782569835884,0,0,0
92,1782569836250,0,0,0
93,1782569836484,0,0,0
94,1782569837482,0,0,0
95,1782569837799,0,0,0
96,1782569838149,0,0,0
97,1782569838431,0,0,0
98,1782569838748,0,0,0
99,1782569843926,0,0,0
100,1782569844342,0,0,0
101,1782569844559,0,0,0
102,1782569844842,0,0,0
103,1782569845091,0,0,0
104,1782569845308,0,0,0
105,1782569845691,0,0,0
106,1782569845991,0,0,0
107,1782569846240,0,0,0
108,1782569848188,0,0,0
109,1782569853765,0,0,0
110,1782569854032,0,0,0
111,1782569854365,0,0,0
112,1782569854665,0,0,0
113,1782569854915,0,0,0
114,1782569855231,0,0,0
115,1782569855597,0,0,0
116,1782569855847,0,0,0
117,1782569856080,0,0,0
118,1782569856264,0,0,0
119,1782569856796,0,0,0
120,1782569857928,0,0,0
121,1782569859709,0,0,0
122,1782569860225,0,0,0
123,1782569860509,0,0,0
124,1782569860692,0,0,0
125,1782569862375,0,0,0
126,1782569862658,0,0,0
127,1782569862941,0,0,0
128,1782569863173,0,0,0
129,1782569865923,0,0,0
130,1782569866187,0,0,0
131,1782569866470,0,0,0
132,1782569866687,0,0,0
133,1782569867019,0,0,0
134,1782569867253,0,0,0
135,1782569867619,0,0,0
136,1782569868135,0,0,0
137,1782569868618,0,0,0
138,1782569868901,0,0,0
139,1782569869234,0,0,0
140,1782569869451,0,0,0
141,1782569869718,0,0,0
142,1782569870333,0,0,0
