index,date,ECU_MODE
0,1782569779658,1
1,1782569780241,1
2,1782569780857,1
3,1782569781440,1
4,1782569782139,1
5,1782569782938,1
6,1782569783171,1
7,1782569783804,1
8,1782569784104,1
9,1782569784703,1
10,1782569785252,1
11,1782569785719,1
12,1782569785985,1
13,1782569786285,1
14,1782569786701,1
15,1782569786984,1
16,1782569787267,1
17,1782569787467,1
18,1782569788215,1
19,1782569788500,1
20,1782569788766,1
21,1782569789099,1
22,1782569789664,1
23,1782569789914,1
24,1782569797556,1
25,1782569797806,1
26,1782569798122,1
27,1782569798339,1
28,1782569798905,1
29,1782569799238,1
30,1782569799471,1
31,1782569802568,1
32,1782569802884,1
33,1782569804283,1
34,1782569804633,1
35,1782569804700,1
36,1782569807448,1
37,1782569808246,1
38,1782569808562,1
39,1782569808796,1
40,1782569809063,1
41,1782569809379,1
42,1782569812275,1
43,1782569812425,1
44,1782569812742,1
45,1782569814623,1
46,1782569815023,1
47,1782569815239,1
48,1782569815539,1
49,1782569815822,1
50,1782569816122,1
51,1782569816471,1
52,1782569816789,1
53,1782569816988,1
54,1782569817787,1
55,1782569818054,1
56,1782569818386,1
57,1782569818636,1
58,1782569818936,1
59,1782569819269,1
60,1782569821150,1
61,1782569821466,1
62,1782569821767,1
63,1782569822266,1
64,1782569822849,1
65,1782569823398,1
66,1782569823747,1
67,1782569824081,1
68,1782569827127,1
69,1782569827444,1
70,1782569827744,1
71,1782569828559,1
72,1782569828826,1
73,1782569829141,1
74,1782569829258,1
75,1782569829824,1
76,1782569831790,1
77,1782569831989,1
78,1782569832255,1
79,1782569832489,1
80,1782569833121,1
81,1782569833388,1
82,1782569833671,1
83,1782569834841,1
84,1782569835070,1
85,1782569835285,1
86,1782569835635,1
87,1782569835784,1
88,1782569836169,1
89,1782569836383,1
90,1782569838315,1
91,1782569838664,1
92,1782569841528,1
93,1782569841729,1
94,1782569842080,1
95,1782569842311,1
96,1782569842663,1
97,1782569842861,1
98,1782569843476,1
99,1782569843793,1
100,1782569844159,1
101,1782569844459,1
102,1782569844725,1
103,1782569844993,1
104,1782569845890,1
105,1782569846124,1
106,1782569849005,1
107,1782569851320,1
108,1782569851534,1
109,1782569851851,1
110,1782569853283,1
111,1782569853600,1
112,1782569853666,1
113,1782569853932,1
114,1782569854249,1
115,1782569854815,1
116,1782569855131,1
117,1782569855481,1
118,1782569855747,1
119,1782569855965,1
120,1782569858761,1
121,1782569859044,1
122,1782569859610,1
123,1782569859926,1
124,1782569860126,1
125,1782569860442,1
126,1782569860609,1
127,1782569862091,1
128,1782569862291,1
129,1782569862575,1
130,1782569862840,1
131,1782569863090,1
132,1782569864489,1
133,1782569865074,1
134,1782569865821,1
135,1782569866037,1
136,1782569866353,1
137,1782569866604,1
138,1782569866904,1
139,1782569867153,1
140,1782569867520,1
141,1782569867853,1
142,1782569868019,1
143,1782569869134,1
