index,date,LONGITUDE
0,1782569779808,0
1,1782569781572,0
2,1782569781856,0
3,1782569782389,0
4,1782569783438,0
5,1782569784836,-43.972538100000001
6,1782569786818,-43.972538100000001
7,1782569787451,-43.972538100000001
8,1782569788000,-43.972538100000001
9,1782569788715,-43.972538100000001
10,1782569789398,-43.972538100000001
11,1782569790097,-43.972538100000001
12,1782569790631,-43.972538100000001
13,1782569791979,-43.972538100000001
14,1782569793294,-43.972538100000001
15,1782569795193,-43.972538100000001
16,1782569795942,-43.972538100000001
17,1782569796558,-43.972538100000001
18,1782569796657,95.6311106
19,1782569797273,-43.972538100000001
20,1782569797823,-43.972538100000001
21,1782569799721,-43.972538100000001
22,1782569800987,-43.972538100000001
23,1782569801686,-43.972538100000001
24,1782569801719,-43.972538100000001
25,1782569803601,-43.972538100000001
26,1782569804217,-43.972538100000001
27,1782569804799,-43.972538100000001
28,1782569805382,-43.972538100000001
29,1782569806015,-43.972538100000001
30,1782569806666,-43.972256100000003
31,1782569807897,-43.972256100000003
32,1782569809095,-43.972256299999998
33,1782569809694,-43.972258600000004
34,1782569810294,-43.972258799999999
35,1782569811692,-43.972257599999999
36,1782569812875,-43.972257900000002
37,1782569813607,-43.972257900000002
38,1782569814839,-43.972276100000002
39,1782569815489,-43.972276299999997
40,1782569816255,-43.972276299999997
41,1782569818220,-43.9722936
42,1782569820134,-43.972288300000002
43,1782569821516,-43.972302300000003
44,1782569822098,-43.972302300000003
45,1782569823498,-43.972309099999997
46,1782569824747,-43.972309099999997
47,1782569825445,-43.972309099999997
48,1782569826178,-43.972309099999997
49,1782569826727,-43.972309099999997
50,1782569827277,-43.972309099999997
51,1782569828026,-43.972309099999997
52,1782569831106,-43.972309099999997
53,1782569832338,-43.972309099999997
54,1782569832887,-43.972309099999997
55,1782569833570,-43.972309099999997
56,1782569834089,-43.972309099999997
57,1782569834653,-43.972309099999997
58,1782569835218,-43.972309099999997
59,1782569835918,-43.972309099999997
60,1782569836601,-43.972309099999997
61,1782569837066,-43.972309099999997
62,1782569837848,-43.972309099999997
63,1782569838548,-43.972309099999997
64,1782569839114,-43.972309099999997
65,1782569839763,-43.972309099999997
66,1782569841062,-43.972309099999997
67,1782569841611,-43.972309099999997
68,1782569842960,-43.972309099999997
69,1782569843693,-43.972309099999997
70,1782569844309,-43.972309099999997
71,1782569844925,-43.972309099999997
72,1782569846257,-43.972309099999997
73,1782569846791,-43.972309099999997
74,1782569847518,-43.972309099999997
75,1782569848156,-43.972309099999997
76,1782569849404,-43.972309099999997
77,1782569850106,-43.972309099999997
78,1782569850769,-43.972309099999997
79,1782569852101,-43.972309099999997
80,1782569853384,-43.972309099999997
81,1782569853915,-43.972309099999997
82,1782569854665,-43.972309099999997
83,1782569855930,-43.972309099999997
84,1782569857129,-43.972309099999997
85,1782569857828,-43.972309099999997
86,1782569858511,-43.972309099999997
87,1782569859044,-43.972309099999997
88,1782569860293,-43.972309099999997
89,1782569861491,-43.972309099999997
90,1782569863823,-43.972386800000002
91,1782569866304,-43.972387300000001
92,1782569867036,-43.972387300000001
93,1782569868301,-43.972381300000002
94,1782569868967,-43.972381300000002
95,1782569869583,-43.972381300000002
96,1782569870832,-43.972381800000001
97,1782569872164,-43.972376599999997
