index,date,LEFT_MOTOR_CURRENT
0,1782569780024,0
1,1782569780606,0
2,1782569780657,0
3,1782569781240,0
4,1782569781889,0
5,1782569782572,0
6,1782569783604,0
7,1782569783904,0
8,1782569784187,0
9,1782569784504,0
10,1782569784820,0
11,1782569785069,0
12,1782569786751,0
13,1782569791597,0
14,1782569792495,0
15,1782569792662,0
16,1782569792911,0
17,1782569793312,0
18,1782569793561,0
19,1782569793861,0
20,1782569795076,0
21,1782569795142,0
22,1782569795525,0
23,1782569795875,0
24,1782569796141,0
25,1782569796408,0
26,1782569796674,0
27,1782569796974,0
28,1782569797190,0
29,1782569797373,0
30,1782569800221,0
31,1782569800554,0
32,1782569802318,0
33,1782569802368,0
34,1782569802652,0
35,1782569803018,0
36,1782569803218,0
37,1782569803601,0
38,1782569804066,0
39,1782569804383,0
40,1782569807214,0
41,1782569809927,0
42,1782569810127,0
43,1782569810443,0
44,1782569810760,0
45,1782569811609,0
46,1782569811926,0
47,1782569812059,0
48,1782569812908,0
49,1782569813174,0
50,1782569813442,0
51,1782569813774,0
52,1782569814074,0
53,1782569814391,0
54,1782569816272,0
55,1782569819718,0
56,1782569826844,0
57,1782569827194,0
58,1782569827760,0
59,1782569828142,0
60,1782569828376,0
61,1782569828610,0
62,1782569828892,0
63,1782569831506,0
64,1782569831606,0
65,1782569834237,0
66,1782569834337,0
67,1782569834637,0
68,1782569839182,0
69,1782569839397,0
70,1782569839648,0
71,1782569839997,0
72,1782569840230,0
73,1782569840496,0
74,1782569840813,0
75,1782569841129,0
76,1782569841329,0
77,1782569841878,0
78,1782569842146,0
79,1782569842377,0
80,1782569842960,0
81,1782569843260,0
82,1782569843560,0
83,1782569848106,0
84,1782569848738,0
85,1782569848822,0
86,1782569849137,0
87,1782569849487,0
88,1782569849721,0
89,1782569849955,0
90,1782569850353,0
91,1782569850586,0
92,1782569850919,0
93,1782569851118,0
94,1782569851336,0
95,1782569851901,0
96,1782569852317,0
97,1782569852567,0
98,1782569852817,0
99,1782569853100,0
100,1782569853417,0
101,1782569857029,0
102,1782569858444,0
103,1782569859427,0
104,1782569861075,0
105,1782569861641,0
106,1782569861858,0
107,1782569863556,0
108,1782569863840,0
109,1782569864006,0
110,1782569864306,0
111,1782569864555,0
112,1782569864875,0
113,1782569865205,0
114,1782569865506,0
115,1782569870732,0
116,1782569871015,0
117,1782569871315,0
118,1782569871648,0
119,1782569871848,0
120,1782569872214,0
121,1782569872482,0
