index,date,Igual a,Fora da Faixa,Dentro da Faixa,Maior que,Menor que
0,1782569814607,,,,GYRO_X de GYROSCOPE atingiu 2.450000,
1,1782569814723,,,,GYRO_X de GYROSCOPE atingiu 2.240000,
2,1782569814923,,,,GYRO_X de GYROSCOPE atingiu 6.930000,
3,1782569815173,,,,GYRO_X de GYROSCOPE atingiu 5.810000,
4,1782569815905,,,,GYRO_X de GYROSCOPE atingiu 1.610000,
5,1782569816205,,,,GYRO_X de GYROSCOPE atingiu 1.540000,
6,1782569816388,,,,GYRO_X de GYROSCOPE atingiu 2.450000,
7,1782569816871,,,,GYRO_X de GYROSCOPE atingiu 6.230000,
8,1782569826993,,,,GYRO_X de GYROSCOPE atingiu 1.470000,
9,1782569827427,,,,GYRO_X de GYROSCOPE atingiu 1.400000,
10,1782569827911,,,,GYRO_X de GYROSCOPE atingiu 1.190000,
11,1782569828193,,,,GYRO_X de GYROSCOPE atingiu 2.030000,
