index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR
0,1782569779541,0,0,0
1,1782569780091,0,0,0
2,1782569780723,0,0,0
3,1782569781306,0,0,0
4,1782569781972,0,0,0
5,1782569782672,0,0,0
6,1782569782805,0,0,0
7,1782569783055,0,0,0
8,1782569783371,0,0,0
9,1782569783687,0,0,0
10,1782569783987,0,0,0
11,1782569784320,0,0,0
12,1782569784586,0,0,0
13,1782569784936,0,0,0
14,1782569785136,0,0,0
15,1782569786169,0,0,0
16,1782569786551,0,0,0
17,1782569786867,0,0,0
18,1782569787084,0,0,0
19,1782569787317,0,0,0
20,1782569792728,0,0,0
21,1782569792995,0,0,0
22,1782569796757,0,0,0
23,1782569797040,0,0,0
24,1782569797290,0,0,0
25,1782569797457,0,0,0
26,1782569802452,0,0,0
27,1782569802735,0,0,0
28,1782569803367,0,0,0
29,1782569803700,0,0,0
30,1782569803967,0,0,0
31,1782569804150,0,0,0
32,1782569804466,0,0,0
33,1782569807299,0,0,0
34,1782569807347,0,0,0
35,1782569810210,0,0,0
36,1782569812159,0,0,0
37,1782569812292,0,0,0
38,1782569812609,0,0,0
39,1782569813008,0,0,0
40,1782569813325,0,0,0
41,1782569813524,0,0,0
42,1782569813840,0,0,0
43,1782569814140,0,0,0
44,1782569814456,0,0,0
45,1782569814857,0,0,0
46,1782569815723,0,0,0
47,1782569816022,0,0,0
48,1782569816355,0,0,0
49,1782569816589,0,0,0
50,1782569816855,0,0,0
51,1782569823964,0,0,0
52,1782569826978,0,0,0
53,1782569827326,0,0,0
54,1782569827627,0,0,0
55,1782569827911,0,0,0
56,1782569828226,0,0,0
57,1782569828443,0,0,0
58,1782569828677,0,0,0
59,1782569828992,0,0,0
60,1782569831572,0,0,0
61,1782569831706,0,0,0
62,1782569833022,0,0,0
63,1782569834403,0,0,0
64,1782569834737,0,0,0
65,1782569834954,0,0,0
66,1782569835452,0,0,0
67,1782569836017,0,0,0
68,1782569839464,0,0,0
69,1782569839763,0,0,0
70,1782569840347,0,0,0
71,1782569840630,0,0,0
72,1782569840879,0,0,0
73,1782569841428,0,0,0
74,1782569841562,0,0,0
75,1782569841945,0,0,0
76,1782569842195,0,0,0
77,1782569842528,0,0,0
78,1782569842744,0,0,0
79,1782569843078,0,0,0
80,1782569843344,0,0,0
81,1782569843626,0,0,0
82,1782569848906,0,0,0
83,1782569849238,0,0,0
84,1782569849571,0,0,0
85,1782569849783,0,0,0
86,1782569850106,0,0,0
87,1782569851019,0,0,0
88,1782569851202,0,0,0
89,1782569851418,0,0,0
90,1782569851651,0,0,0
91,1782569852051,0,0,0
92,1782569852401,0,0,0
93,1782569852664,0,0,0
94,1782569852934,0,0,0
95,1782569853166,0,0,0
96,1782569853500,0,0,0
97,1782569855364,0,0,0
98,1782569855614,0,0,0
99,1782569858544,0,0,0
100,1782569859177,0,0,0
101,1782569859494,0,0,0
102,1782569859810,0,0,0
103,1782569860010,0,0,0
104,1782569860293,0,0,0
105,1782569861159,0,0,0
106,1782569861475,0,0,0
107,1782569861743,0,0,0
108,1782569861974,0,0,0
109,1782569862175,0,0,0
110,1782569862461,0,0,0
111,1782569862741,0,0,0
112,1782569863623,0,0,0
113,1782569863923,0,0,0
114,1782569864156,0,0,0
115,1782569864372,0,0,0
116,1782569864672,0,0,0
117,1782569864969,0,0,0
118,1782569865273,0,0,0
119,1782569865555,0,0,0
120,1782569865722,0,0,0
121,1782569867685,0,0,0
122,1782569870849,0,0,0
123,1782569871099,0,0,0
124,1782569871398,0,0,0
125,1782569871731,0,0,0
126,1782569871915,0,0,0
