index,date,NTC_1,NTC_2,NTC_3
0,1782569779608,38.850000000000001,44.93,-0.01
1,1782569780291,38.759999999999998,44.969999999999999,-0.01
2,1782569780807,38.759999999999998,44.969999999999999,-0.01
3,1782569781290,38.810000000000002,45.009999999999998,-0.01
4,1782569781423,38.810000000000002,45.009999999999998,-0.01
5,1782569782039,38.850000000000001,45.009999999999998,-0.01
6,1782569782189,38.850000000000001,45.049999999999997,-0.01
7,1782569783006,38.899999999999999,45.049999999999997,-0.01
8,1782569783755,38.899999999999999,45.049999999999997,-0.01
9,1782569784519,38.899999999999999,45.049999999999997,-0.01
10,1782569784986,38.899999999999999,45.049999999999997,-0.01
11,1782569785302,38.899999999999999,45.049999999999997,-0.01
12,1782569785585,38.899999999999999,45.049999999999997,-0.01
13,1782569786335,38.850000000000001,45.049999999999997,-0.01
14,1782569786734,38.850000000000001,45.049999999999997,-0.01
15,1782569787117,38.850000000000001,45.009999999999998,-0.01
16,1782569787483,38.850000000000001,45.009999999999998,-0.01
17,1782569787733,38.899999999999999,45.009999999999998,-0.01
18,1782569788100,38.899999999999999,44.969999999999999,-0.01
19,1782569788500,38.899999999999999,44.969999999999999,-0.01
20,1782569788932,38.899999999999999,44.93,-0.01
21,1782569789282,38.950000000000003,44.93,-0.01
22,1782569789649,38.950000000000003,44.93,-0.01
23,1782569790014,38.950000000000003,44.880000000000003,-0.01
24,1782569790631,38.990000000000002,44.880000000000003,-0.01
25,1782569791030,38.990000000000002,44.880000000000003,-0.01
26,1782569791429,38.950000000000003,44.880000000000003,-0.01
27,1782569791779,38.899999999999999,44.880000000000003,-0.01
28,1782569793145,38.759999999999998,44.880000000000003,-0.01
29,1782569794060,38.759999999999998,44.93,-0.01
30,1782569794377,38.710000000000001,44.880000000000003,-0.01
31,1782569795409,38.670000000000002,44.93,-0.01
32,1782569795875,38.619999999999997,44.93,-0.01
33,1782569796242,38.619999999999997,44.93,-0.01
34,1782569796524,38.619999999999997,44.969999999999999,-0.01
35,1782569796941,38.670000000000002,44.93,-0.01
36,1782569797590,38.710000000000001,44.93,-0.01
37,1782569798639,38.810000000000002,44.93,-0.01
38,1782569799056,38.810000000000002,44.880000000000003,-0.01
39,1782569800737,38.899999999999999,44.880000000000003,-0.01
40,1782569801120,38.899999999999999,44.880000000000003,-0.01
41,1782569801453,38.950000000000003,44.880000000000003,-0.01
42,1782569801885,38.950000000000003,44.880000000000003,-0.01
43,1782569802252,38.950000000000003,44.880000000000003,-0.01
44,1782569802452,38.950000000000003,44.880000000000003,-0.01
45,1782569802851,38.990000000000002,44.880000000000003,-0.01
46,1782569803667,38.990000000000002,44.93,-0.01
47,1782569804033,38.990000000000002,44.93,-0.01
48,1782569805199,39.039999999999999,44.969999999999999,-0.01
49,1782569805551,39.039999999999999,44.969999999999999,-0.01
50,1782569805965,39.039999999999999,44.969999999999999,-0.01
51,1782569806331,39.039999999999999,44.969999999999999,-0.01
52,1782569806716,39.039999999999999,44.969999999999999,-0.01
53,1782569807630,39.039999999999999,44.93,-0.01
54,1782569807963,39.079999999999998,44.93,-0.01
55,1782569808346,39.079999999999998,44.880000000000003,-0.01
56,1782569808729,39.079999999999998,44.880000000000003,-0.01
57,1782569809046,39.079999999999998,44.880000000000003,-0.01
58,1782569809446,39.079999999999998,44.880000000000003,-0.01
59,1782569809694,39.079999999999998,44.880000000000003,-0.01
60,1782569809994,39.130000000000003,44.880000000000003,-0.01
61,1782569810377,39.130000000000003,44.880000000000003,-0.01
62,1782569811160,39.130000000000003,44.880000000000003,-0.01
63,1782569811493,39.130000000000003,44.880000000000003,-0.01
64,1782569811975,39.130000000000003,44.880000000000003,-0.01
65,1782569812226,39.130000000000003,44.880000000000003,-0.01
66,1782569812542,39.130000000000003,44.880000000000003,-0.01
67,1782569812892,39.130000000000003,44.880000000000003,-0.01
68,1782569813374,39.130000000000003,44.880000000000003,-0.01
69,1782569814506,39.130000000000003,44.880000000000003,-0.01
70,1782569814657,39.130000000000003,44.880000000000003,-0.01
71,1782569815839,39.130000000000003,44.880000000000003,-0.01
72,1782569816955,39.18,44.93,-0.01
73,1782569817255,39.18,44.880000000000003,-0.01
74,1782569817654,39.18,44.880000000000003,-0.01
75,1782569818020,39.18,44.880000000000003,-0.01
76,1782569818519,39.18,44.880000000000003,-0.01
77,1782569818819,39.18,44.880000000000003,-0.01
78,1782569819219,39.18,44.880000000000003,-0.01
79,1782569819835,39.219999999999999,44.880000000000003,-0.01
80,1782569820250,39.18,44.93,-0.01
81,1782569820584,39.219999999999999,44.93,-0.01
82,1782569821033,39.219999999999999,44.93,-0.01
83,1782569821799,39.219999999999999,44.93,-0.01
84,1782569822467,39.219999999999999,44.93,-0.01
85,1782569822865,39.219999999999999,44.93,-0.01
86,1782569823214,39.219999999999999,44.93,-0.01
87,1782569824081,39.219999999999999,44.93,-0.01
88,1782569824347,39.219999999999999,44.93,-0.01
89,1782569824664,39.219999999999999,44.93,-0.01
90,1782569825046,39.219999999999999,44.93,-0.01
91,1782569825413,39.219999999999999,44.93,-0.01
92,1782569825878,39.219999999999999,44.93,-0.01
93,1782569827110,39.18,44.880000000000003,-0.01
94,1782569827843,39.130000000000003,44.840000000000003,-0.01
95,1782569828942,38.950000000000003,44.880000000000003,-0.01
96,1782569829558,38.850000000000001,44.93,-0.01
97,1782569829991,38.850000000000001,44.93,-0.01
98,1782569830190,38.850000000000001,44.93,-0.01
99,1782569830607,38.759999999999998,44.93,-0.01
100,1782569831356,38.670000000000002,44.93,-0.01
101,1782569832222,38.479999999999997,44.969999999999999,-0.01
