index,date,ERROR_MASK,ERROR_LOG_1,ERROR_LOG_2,ERROR_LOG_3
0,1780263079307,0,0,0,0
1,1780263079307,0,0,0,0
2,1780263082074,0,0,0,0
3,1780263083841,0,0,0,0
4,1780263087857,0,0,0,0
5,1780263089140,0,0,0,0
6,1780263094107,0,0,0,0
7,1780263094324,0,0,0,0
8,1780263096174,0,0,0,7844
9,1780263102257,0,0,0,7855
10,1780263104256,0,0,0,0
11,1780263105507,0,0,0,0
12,1780263106789,0,0,0,0
13,1780263109973,0,0,0,0
14,1780263116023,0,0,0,0
15,1780263118173,0,0,0,0
16,1780263119323,0,0,0,0
17,1780263119373,0,0,0,0
18,1780263120856,0,0,0,0
19,1780263129839,0,0,0,0
20,1780263130254,0,0,0,0
21,1780263134089,0,0,0,0
22,1780263136272,0,0,0,0
23,1780263137522,0,0,0,0
24,1780263139254,0,0,0,0
25,1780263139487,0,0,0,0
26,1780263140906,0,0,0,0
27,1780263147787,0,0,0,0
28,1780263148738,0,0,0,0
29,1780263170052,0,0,0,0
30,1780263183086,0,0,0,0
31,1780263184252,0,0,0,0
32,1780263187168,0,0,1324,0
33,1780263189034,0,0,0,0
34,1780263193401,0,0,0,0
