index,date,ERRROMASK,ERROR_LOG1,ERROR_LOG2,ERROR_LOG3
0,1782590512162,4,3,0,0
1,1782590527899,4,3,0,0
2,1782590527999,4,3,0,0
3,1782590551629,4,3,0,0
4,1782590554677,4,3,0,0
5,1782590559306,4,3,0,0
6,1782591029982,4,3,0,0
7,1782591031031,4,3,0,0
8,1782591035761,4,3,0,0
9,1782591040506,4,3,0,0
10,1782591045003,4,3,0,0
11,1782591058491,4,3,0,0
12,1782591064070,4,3,0,0
13,1782591064686,4,3,0,0
14,1782591069581,4,3,0,0
15,1782591334709,4,3,0,0
16,1782591341820,4,3,0,0
17,1782591341853,4,3,0,0
18,1782591348264,4,3,0,0
19,1782591350112,4,3,0,0
20,1782591359055,4,3,0,0
21,1782591366998,4,3,0,0
22,1782591371245,4,3,0,0
23,1782592202478,4,3,0,0
