index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
225,1782590045805,0,0,0
226,1782590046421,0,0,0
227,1782590046671,0,0,0
228,1782590047004,0,0,0
229,1782590047320,0,0,0
230,1782590050235,0,0,0
231,1782590050601,0,0,0
232,1782590050917,0,0,0
233,1782590051283,0,0,0
234,1782590051800,0,0,0
235,1782590052082,0,0,0
236,1782590061792,0,0,0
237,1782590069585,0,0,0
238,1782590071050,0,0,0
239,1782590072449,0,0,0
240,1782590072749,0,0,0
241,1782590073182,0,0,0
242,1782590073648,0,0,0
243,1782590073947,0,0,0
244,1782590074315,0,0,0
245,1782590074681,0,0,0
246,1782590078477,0,0,0
247,1782590078794,0,0,0
248,1782590081974,0,0,0
249,1782590082258,0,0,0
250,1782590082674,0,0,0
251,1782590082940,0,0,0
252,1782590084023,0,0,0
253,1782590084323,0,0,0
254,1782590084572,0,0,0
255,1782590084888,0,0,0
256,1782590085238,0,0,0
257,1782590087220,0,0,0
258,1782590087536,0,0,0
259,1782590087787,0,0,0
260,1782590089269,0,0,0
261,1782590089651,0,0,0
262,1782590089935,0,0,0
263,1782590090301,0,0,0
264,1782590090734,0,0,0
265,1782590091000,0,0,0
266,1782590091683,0,0,0
267,1782590091916,0,0,0
268,1782590092582,0,0,0
269,1782590092782,0,0,0
270,1782590093115,0,0,0
271,1782590093482,0,0,0
272,1782590093831,0,0,0
273,1782590098727,0,0,0
274,1782590099077,0,0,0
275,1782590099509,0,0,0
276,1782590100126,0,0,0
277,1782590100209,0,0,0
278,1782590100958,0,0,0
279,1782590104439,0,0,0
280,1782590104788,0,0,0
281,1782590105588,0,0,0
282,1782590105971,0,0,0
283,1782590106304,0,0,0
284,1782590106671,0,0,0
285,1782590107586,0,0,0
286,1782590107686,0,0,0
287,1782590108102,0,0,0
288,1782590108452,0,0,0
289,1782590110151,0,0,0
290,1782590110451,0,0,0
291,1782590110718,0,0,0
292,1782590111017,0,0,0
293,1782590111334,0,0,0
294,1782590112466,0,0,0
295,1782590112599,0,0,0
296,1782590112915,0,0,0
297,1782590113249,0,0,0
298,1782590113631,0,0,0
299,1782590113914,0,0,0
300,1782590114248,0,0,0
301,1782590115013,0,0,0
302,1782590115379,0,0,0
303,1782590115746,0,0,0
304,1782590120925,0,0,0
305,1782590121275,0,0,0
306,1782590121641,0,0,0
307,1782590121924,0,0,0
308,1782590122257,0,0,0
309,1782590122824,0,0,0
310,1782590123124,0,0,0
311,1782590128102,0,0,0
312,1782590128418,0,0,0
313,1782590128785,0,0,0
314,1782590129068,0,0,0
315,1782590129368,0,0,0
316,1782590129534,0,0,0
317,1782590130475,0,0,0
318,1782590130550,0,0,0
319,1782590130883,0,0,0
320,1782590132366,0,0,0
321,1782590136978,0,0,0
322,1782590137178,0,0,0
323,1782590137494,0,0,0
324,1782590137827,0,0,0
325,1782590138360,0,0,0
326,1782590138743,0,0,0
327,1782590139043,0,0,0
328,1782590139326,0,0,0
329,1782590140375,0,0,0
330,1782590140726,0,0,0
331,1782590141075,0,0,0
332,1782590142007,0,0,0
333,1782590142257,0,0,0
334,1782590143689,0,0,0
335,1782590144039,0,0,0
336,1782590145238,0,0,0
337,1782590145554,0,0,0
338,1782590145837,0,0,0
339,1782590146170,0,0,0
340,1782590146437,0,0,0
341,1782590146720,0,0,0
342,1782590146936,0,0,0
343,1782590147303,0,0,0
344,1782590147602,0,0,0
345,1782590149434,0,0,0
346,1782590150617,0,0,0
347,1782590150966,0,0,0
348,1782590151350,0,0,0
349,1782590151649,0,0,0
350,1782590151749,0,0,0
351,1782590152486,0,0,0
352,1782590152499,0,0,0
353,1782590155379,0,0,0
354,1782590155712,0,0,0
355,1782590156112,0,0,0
356,1782590156379,0,0,0
357,1782590156578,0,0,0
358,1782590156844,0,0,0
359,1782590157261,0,0,0
360,1782590157577,0,0,0
361,1782590157910,0,0,0
362,1782590159093,0,0,0
363,1782590159309,0,0,0
364,1782590159909,0,0,0
365,1782590160242,0,0,0
366,1782590161408,0,0,0
367,1782590161823,0,0,110
368,1782590162174,0,0,110
369,1782590162507,0,0,110
370,1782590162773,0,0,110
371,1782590163123,0,0,110
372,1782590163522,0,0,110
373,1782590163739,0,0,110
374,1782590163855,0,0,110
375,1782590164739,0,0,110
376,1782590165305,0,0,110
377,1782590165688,0,0,110
378,1782590165970,0,0,110
379,1782590167370,0,0,110
380,1782590167752,0,0,110
381,1782590168086,0,0,110
382,1782590168934,0,0,110
383,1782590170750,0,0,110
384,1782590171033,0,0,110
385,1782590171616,0,0,110
386,1782590171966,0,0,110
387,1782590172348,0,0,110
388,1782590173780,0,0,110
389,1782590174081,0,0,110
390,1782590174547,0,0,110
391,1782590176695,1,0,110
392,1782590177061,1,0,110
393,1782590178127,1,0,110
394,1782590178660,1,0,110
395,1782590179708,1,0,110
396,1782590180392,1,0,110
397,1782590181024,1,0,110
398,1782590181397,1,0,110
399,1782590182056,1,0,110
400,1782590182707,1,0,110
401,1782590183139,1,0,110
402,1782590183422,1,0,110
403,1782590183673,1,0,110
404,1782590184288,1,0,110
405,1782590184704,1,0,110
406,1782590186570,1,0,110
407,1782590187503,1,0,110
408,1782590187853,1,0,110
409,1782590188118,1,0,110
410,1782590188718,1,0,110
411,1782590189966,0,0,110
412,1782590190483,0,0,110
413,1782590190633,0,0,110
414,1782590190999,0,0,110
415,1782590192054,1,0,110
416,1782590192681,1,0,110
417,1782590192948,1,0,110
418,1782590193198,1,0,110
419,1782590194247,1,0,110
420,1782590195812,1,0,110
421,1782590196578,1,0,110
422,1782590196861,1,0,110
423,1782590197277,1,0,110
424,1782590198160,1,0,110
425,1782590198810,1,0,110
426,1782590199225,1,0,110
