index,date,CELL1,CELL2,CELL3,CELL4
0,1782590514710,46,38,39,41
1,1782590523253,46,38,39,41
2,1782590556325,46,38,39,41
3,1782591061172,47,38,39,41
4,1782591073479,47,38,39,41
5,1782591353809,46,38,39,40
6,1782591357040,46,38,39,40
7,1782591359538,46,38,39,40
8,1782591362952,46,38,39,40
9,1782591375707,46,38,39,40
10,1782591381586,46,38,39,40
11,1782591390612,46,38,39,40
12,1782591391494,46,38,39,40
13,1782591397323,46,38,39,40
14,1782591407730,46,38,39,40
15,1782591412045,46,38,39,40
16,1782591417007,46,38,39,40
17,1782591425033,46,38,39,40
18,1782592194685,46,38,39,40
19,1782592212405,47,38,39,40
20,1782592212863,47,38,39,40
