index,date,ECU_MODE
0,1782589765926,1
1,1782589765926,1
2,1782589765927,1
3,1782589765927,1
4,1782589766656,1
5,1782589766956,1
6,1782589770186,4
7,1782589770520,4
8,1782589770919,4
9,1782589771286,4
10,1782589771402,4
11,1782589771702,4
12,1782589772119,4
13,1782589773534,4
14,1782589775433,4
15,1782589775798,4
16,1782589776331,4
17,1782589776582,4
18,1782589777165,4
19,1782589777214,4
20,1782589777548,4
21,1782589778363,4
22,1782589783043,4
23,1782589783409,4
24,1782589783593,4
25,1782589783808,4
26,1782589784075,4
27,1782589784342,4
28,1782589785008,4
29,1782589785307,4
30,1782589785640,4
31,1782589785873,4
32,1782589786389,4
33,1782589786706,4
34,1782589787106,4
35,1782589787372,4
36,1782589790321,4
37,1782589790636,4
38,1782589791818,4
39,1782589792085,4
40,1782589792369,4
41,1782589792668,4
42,1782589793051,4
43,1782589793250,4
44,1782589794450,4
45,1782589794749,4
46,1782589795116,4
47,1782589795482,4
48,1782589795799,4
49,1782589795898,4
50,1782589796981,4
51,1782589798013,4
52,1782589798530,4
53,1782589799201,4
54,1782589799595,4
55,1782589801543,4
56,1782589802493,4
57,1782589802960,4
58,1782589803059,4
59,1782589803426,4
60,1782589804475,4
61,1782589805707,4
62,1782589806274,4
63,1782589806673,4
64,1782589807606,4
65,1782589808439,4
66,1782589808888,4
67,1782589809754,4
68,1782589810253,4
69,1782589812002,4
70,1782589813600,4
71,1782589814633,4
72,1782589815099,4
73,1782589815165,4
74,1782589815599,4
75,1782589816215,4
76,1782589816631,4
77,1782589818146,4
78,1782589819212,4
79,1782589820144,4
80,1782589821238,4
81,1782589822127,4
82,1782589822326,4
83,1782589823059,4
84,1782589823675,4
85,1782589825257,4
86,1782589825690,4
87,1782589826290,4
88,1782589828204,4
89,1782589829554,4
90,1782589830153,4
91,1782589831202,4
92,1782589833035,4
93,1782589834366,4
94,1782589834933,4
95,1782589835349,4
96,1782589835898,4
97,1782589836316,4
98,1782589836998,4
99,1782589837197,4
100,1782589837797,4
101,1782589838230,4
102,1782589839112,4
103,1782589839712,4
104,1782589840728,4
105,1782589841193,4
106,1782589842760,4
107,1782589843359,4
108,1782589843808,4
109,1782589844341,4
110,1782589845008,4
111,1782589846123,4
112,1782589846723,4
113,1782589847655,4
114,1782589848671,4
115,1782589848888,4
116,1782589849538,4
117,1782589850569,4
118,1782589852185,4
119,1782589852834,4
120,1782589853267,4
121,1782589854815,4
122,1782589855448,4
123,1782589855899,4
124,1782589856265,4
125,1782589856364,4
126,1782589856814,4
127,1782589857696,4
128,1782589858963,4
129,1782589859562,4
130,1782589859978,4
131,1782589862176,4
132,1782589863192,4
133,1782589863558,4
134,1782589863641,4
135,1782589864741,4
136,1782589936513,1
137,1782589936947,1
138,1782589937796,1
139,1782589938196,1
140,1782589938429,1
141,1782589939045,1
142,1782589939694,1
143,1782589940077,1
144,1782589941742,1
145,1782589942325,1
146,1782589942808,1
147,1782589945106,1
148,1782589946672,1
149,1782589947737,1
150,1782589948354,1
151,1782589948920,1
152,1782589949303,1
153,1782589950369,1
154,1782589950585,1
155,1782589950851,1
156,1782589951817,1
157,1782589953849,1
158,1782589954481,1
159,1782589954898,1
160,1782589956446,1
161,1782589957746,1
162,1782589958445,1
