index,date,NTC_1,NTC_2,NTC_3
0,1782589765926,35.020000000000003,38.710000000000001,-0.01
1,1782589765927,34.960000000000001,38.759999999999998,-0.01
2,1782589765928,35.020000000000003,38.810000000000002,-0.01
3,1782589767156,34.960000000000001,38.670000000000002,-0.01
4,1782589767640,34.960000000000001,38.670000000000002,-0.01
5,1782589768388,35.020000000000003,38.759999999999998,-0.01
6,1782589769037,34.960000000000001,38.759999999999998,-0.01
7,1782589769771,35.020000000000003,38.810000000000002,-0.01
8,1782589770586,34.960000000000001,38.759999999999998,-0.01
9,1782589772068,35.020000000000003,38.759999999999998,-0.01
10,1782589772785,34.960000000000001,38.759999999999998,-0.01
11,1782589773285,34.960000000000001,38.810000000000002,-0.01
12,1782589773701,34.909999999999997,38.810000000000002,-0.01
13,1782589774250,34.909999999999997,38.810000000000002,-0.01
14,1782589774650,34.909999999999997,38.850000000000001,-0.01
15,1782589775165,34.960000000000001,38.850000000000001,-0.01
16,1782589775832,34.960000000000001,38.850000000000001,-0.01
17,1782589776181,34.909999999999997,38.899999999999999,-0.01
18,1782589776531,34.960000000000001,38.850000000000001,-0.01
19,1782589777168,34.960000000000001,38.810000000000002,-0.01
20,1782589777630,34.909999999999997,38.810000000000002,-0.01
21,1782589778131,35.020000000000003,38.759999999999998,-0.01
22,1782589778565,34.960000000000001,38.759999999999998,-0.01
23,1782589778730,34.960000000000001,38.810000000000002,-0.01
24,1782589779097,34.909999999999997,38.810000000000002,-0.01
25,1782589779529,34.960000000000001,38.810000000000002,-0.01
26,1782589779929,34.960000000000001,38.759999999999998,-0.01
27,1782589780312,34.909999999999997,38.710000000000001,-0.01
28,1782589780678,34.909999999999997,38.759999999999998,-0.01
29,1782589781227,34.810000000000002,38.710000000000001,-0.01
30,1782589781560,34.859999999999999,38.759999999999998,-0.01
31,1782589781910,34.859999999999999,38.810000000000002,-0.01
32,1782589783209,34.909999999999997,38.759999999999998,-0.01
33,1782589783493,34.810000000000002,38.850000000000001,-0.01
34,1782589784208,34.859999999999999,38.850000000000001,-0.01
35,1782589784492,34.859999999999999,38.850000000000001,-0.01
36,1782589784857,34.909999999999997,38.850000000000001,-0.01
37,1782589785224,34.859999999999999,38.810000000000002,-0.01
38,1782589785608,34.909999999999997,38.850000000000001,-0.01
39,1782589785923,34.859999999999999,38.810000000000002,-0.01
40,1782589786223,34.859999999999999,38.850000000000001,-0.01
41,1782589786573,34.909999999999997,38.810000000000002,-0.01
42,1782589786956,34.859999999999999,38.850000000000001,-0.01
43,1782589787339,34.909999999999997,38.810000000000002,-0.01
44,1782589788189,34.909999999999997,38.850000000000001,-0.01
45,1782589788438,34.909999999999997,38.810000000000002,-0.01
46,1782589789204,34.810000000000002,38.710000000000001,-0.01
47,1782589789555,34.759999999999998,38.670000000000002,-0.01
48,1782589789905,34.759999999999998,38.619999999999997,-0.01
49,1782589790386,34.759999999999998,38.530000000000001,-0.01
