index,date,DESIRED_YAW,MAX_YAW
899,1782590574294,0,0
900,1782590574576,0,0
901,1782590574893,0,0
902,1782590575776,0,0
903,1782590575792,0,0
904,1782590575992,0,0
905,1782590576958,0,0
906,1782590577341,0,0
907,1782590577490,0,0
908,1782590577774,0,0
909,1782590578090,0,0
910,1782590578473,0,0
911,1782590578723,0,0
912,1782590579905,0,0
913,1782590580188,0,0
914,1782590580471,0,0
915,1782590580804,0,0
916,1782590583985,0,0
917,1782590584368,0,0
918,1782590584601,0,0
919,1782590586016,0,0
920,1782590586816,0,0
921,1782590586932,0,0
922,1782590589880,0,0
923,1782590590163,0,0
924,1782590594842,0,0
925,1782590600638,0,0
926,1782590601004,0,0
927,1782590601370,0,0
928,1782590601720,0,0
929,1782590601903,0,0
930,1782590602087,0,0
931,1782590602452,0,0
932,1782590602802,0,0
933,1782590605783,0,0
934,1782590606050,0,0
935,1782590606349,0,0
936,1782590606649,0,0
937,1782590607216,0,0
938,1782590607532,0,0
939,1782590607865,0,0
940,1782590608164,0,0
941,1782590608815,0,0
942,1782590608864,0,0
943,1782590609131,0,0
944,1782590609264,0,0
945,1782590609930,0,0
946,1782590610280,0,0
947,1782590610613,0,0
948,1782590611745,0,0
949,1782590611978,0,0
950,1782590612344,0,0
951,1782590612628,0,0
952,1782590612911,0,0
953,1782590613243,0,0
954,1782590613443,0,0
955,1782590613859,0,0
956,1782590614010,0,0
957,1782590614592,0,0
958,1782590614909,0,0
959,1782590615158,0,0
960,1782590615509,0,0
961,1782590615741,0,0
962,1782590616091,0,0
963,1782590616274,0,0
964,1782590618041,0,0
965,1782590618389,0,0
966,1782590618673,0,0
967,1782590619805,0,0
968,1782590619888,0,0
969,1782590620239,0,0
970,1782590620537,0,0
971,1782590620771,0,0
972,1782590621371,0,0
973,1782590621604,0,0
974,1782590622253,0,0
975,1782590625218,0,0
976,1782590625550,0,0
977,1782590625917,0,0
978,1782590626150,0,0
979,1782590626433,0,0
980,1782590626782,0,0
981,1782590627115,0,0
982,1782590629964,0,0
983,1782590630846,0,0
984,1782590630863,0,0
985,1782590631728,0,0
986,1782590632111,0,0
987,1782590632461,0,0
988,1782590632812,0,0
989,1782590633610,0,0
990,1782590633959,0,0
991,1782590635410,0,0
992,1782590635726,0,0
993,1782590636840,0,0
994,1782590637124,0,0
995,1782590637507,0,0
996,1782590637840,0,0
997,1782590638023,0,0
998,1782590641820,0,0
999,1782590641837,0,0
1000,1782590641837,0,0
1001,1782590642121,0,0
1002,1782590642686,0,0
1003,1782590643020,0,0
1004,1782590643285,0,0
1005,1782590643785,0,0
1006,1782590644101,0,0
1007,1782590644451,0,0
1008,1782590644783,0,0
1009,1782590715074,0,0
1010,1782590716558,0,0
1011,1782590717323,0,0
1012,1782590717457,0,0
1013,1782590718307,0,0
1014,1782590718622,0,0
1015,1782590720054,0,0
1016,1782590722988,0,0
1017,1782590726765,0,0
1018,1782590727114,0,0
1019,1782590727432,0,0
1020,1782590727764,0,0
1021,1782590727982,0,0
1022,1782590728863,0,0
1023,1782590729180,0,0
1024,1782590729612,0,0
1025,1782590730696,0,0
1026,1782590730962,0,0
1027,1782590732827,0,0
1028,1782590741569,0,0
1029,1782590744185,0,0
1030,1782590744551,0,0
1031,1782590744934,0,0
1032,1782590745216,0,0
1033,1782590745417,0,0
1034,1782590745716,0,0
1035,1782590746333,0,0
1036,1782590746781,0,0
1037,1782590747448,0,0
1038,1782590747681,0,0
1039,1782590748331,0,0
1040,1782590749013,0,0
1041,1782590749413,0,0
1042,1782590750945,0,0
1043,1782590752027,0,0
1044,1782590752710,0,0
1045,1782590752944,0,0
1046,1782590753559,0,0
1047,1782590754841,0,0
1048,1782590755041,0,0
1049,1782590755175,0,0
1050,1782590756257,0,0
1051,1782590757306,0,0
1052,1782590757757,0,0
1053,1782590758804,0,0
1054,1782590760420,0,0
1055,1782590761454,0,0
1056,1782590763302,0,0
1057,1782590763767,0,0
1058,1782590764350,0,0
1059,1782590765815,0,0
1060,1782590765933,0,0
1061,1782590766848,0,0
1062,1782590767098,0,0
1063,1782590767364,0,0
1064,1782590768431,0,0
1065,1782590769413,0,0
1066,1782590770029,0,0
1067,1782590771094,0,0
1068,1782590773009,0,0
1069,1782590774059,0,0
1070,1782590774458,0,0
1071,1782590774525,0,0
1072,1782590775607,0,0
1073,1782590776807,0,0
1074,1782590777555,0,0
1075,1782590778588,0,0
1076,1782590780170,0,0
1077,1782590781169,0,0
1078,1782590781719,0,0
1079,1782590782103,0,0
1080,1782590782685,0,0
1081,1782590783734,0,0
1082,1782590784017,0,0
1083,1782590784284,0,0
1084,1782590784766,0,0
1085,1782590786111,0,0
1086,1782590794748,0,0
1087,1782590796292,0,0
1088,1782590796292,0,0
1089,1782590796293,0,0
1090,1782590796863,0,0
1091,1782590797260,0,0
1092,1782590798795,0,0
1093,1782590799196,0,0
1094,1782590799804,0,0
1095,1782590800219,0,0
1096,1782590800427,0,0
1097,1782590801820,0,0
1098,1782590802861,0,0
1099,1782590803093,0,0
1100,1782590804157,0,0
1101,1782590804738,0,0
1102,1782590805157,0,0
1103,1782590806488,0,0
1104,1782590807436,0,0
1105,1782590807920,0,0
1106,1782590808402,0,0
1107,1782590808919,0,0
1108,1782590809384,0,0
1109,1782590810933,0,0
1110,1782590811949,0,0
1111,1782590812498,0,0
1112,1782590812815,0,0
1113,1782590815646,0,0
1114,1782590816128,0,0
1115,1782590817544,0,0
1116,1782590817911,0,0
1117,1782590818977,0,0
1118,1782590820491,0,0
1119,1782590820925,0,0
1120,1782590821507,0,0
1121,1782590821923,0,0
1122,1782590822257,0,0
1123,1782590822506,0,0
1124,1782590823455,0,0
1125,1782590823873,0,0
1126,1782590825370,0,0
1127,1782590826436,0,0
1128,1782590828452,0,0
1129,1782590828734,0,0
1130,1782590829118,0,0
1131,1782590829667,0,0
1132,1782590830251,0,0
1133,1782590830667,0,0
1134,1782590831301,0,0
1135,1782590831699,0,0
1136,1782590831882,0,0
1137,1782590832214,0,0
1138,1782590833247,0,0
1139,1782590833896,0,0
1140,1782590834863,0,0
1141,1782590835528,0,0
1142,1782590836261,0,0
1143,1782590836661,0,0
1144,1782590837194,0,0
1145,1782590838159,0,0
1146,1782590839459,0,0
1147,1782590839459,0,0
1148,1782590840424,0,0
1149,1782590842539,0,0
1150,1782590842955,0,0
1151,1782590970282,0,0
1152,1782590971715,0,0
1153,1782590972430,0,0
1154,1782590973246,0,0
1155,1782590973396,0,0
1156,1782590973712,0,0
1157,1782590973979,0,0
1158,1782590974395,0,0
1159,1782590974712,0,0
1160,1782590979674,0,0
1161,1782590979941,0,0
1162,1782590980241,0,0
1163,1782590985237,0,0
1164,1782590985536,0,0
1165,1782590986785,0,0
1166,1782590987801,0,0
1167,1782590988084,0,0
1168,1782590988352,0,0
1169,1782590989000,0,0
1170,1782590989450,0,0
1171,1782590990066,0,0
1172,1782590990416,0,0
1173,1782590991015,0,0
1174,1782590991631,0,0
1175,1782590992048,0,0
1176,1782590993913,0,0
1177,1782590994861,0,0
1178,1782590995228,0,0
1179,1782590996193,0,0
1180,1782590997109,0,0
1181,1782590997944,0,0
1182,1782590999058,0,0
1183,1782591000023,0,0
1184,1782591000557,0,0
1185,1782591000940,0,0
1186,1782591001573,0,0
1187,1782591001989,0,0
1188,1782591003521,0,0
1189,1782591004553,0,0
1190,1782591005154,0,0
1191,1782591006069,0,0
1192,1782591006485,0,0
1193,1782591007119,0,0
1194,1782591008101,0,0
1195,1782591009632,0,0
1196,1782591009932,0,0
1197,1782591010099,0,0
1198,1782591011148,0,0
1199,1782591011830,0,0
1200,1782591012230,0,0
1201,1782591012363,0,0
1202,1782591012763,0,0
1203,1782591013412,0,0
1204,1782591013829,0,0
1205,1782591015313,0,0
1206,1782591016344,0,0
1207,1782591016776,0,0
1208,1782591017259,0,0
1209,1782591018192,0,0
1210,1782591018658,0,0
1211,1782591019824,0,0
1212,1782591020623,0,0
1213,1782591020856,0,0
1214,1782591021739,0,0
1215,1782591022572,0,0
1216,1782591023021,0,0
1217,1782591023638,0,0
1218,1782591024070,0,0
1219,1782591024603,0,0
1220,1782591025619,0,0
1221,1782591026285,0,0
1222,1782591026751,0,0
1223,1782591026901,0,0
1224,1782591027217,0,0
1225,1782591028217,0,0
1226,1782591030098,0,0
1227,1782591030814,0,0
1228,1782591032063,0,0
1229,1782591032513,0,0
1230,1782591033230,0,0
1231,1782591033995,0,0
1232,1782591034095,0,0
1233,1782591034511,0,0
1234,1782591035211,0,0
1235,1782591035994,0,0
1236,1782591037942,0,0
1237,1782591038675,0,0
1238,1782591039258,0,0
1239,1782591040323,0,0
1240,1782591041106,0,0
1241,1782591041389,0,0
1242,1782591041639,0,0
1243,1782591042655,0,0
1244,1782591043054,0,0
1245,1782591043920,0,0
1246,1782591044619,0,0
1247,1782591046035,0,0
1248,1782591047684,0,0
1249,1782591048399,0,0
1250,1782591048866,0,0
1251,1782591049682,0,0
1252,1782591050481,0,0
1253,1782591050615,0,0
1254,1782591051297,0,0
1255,1782591051364,0,0
1256,1782591052197,0,0
1257,1782591052679,0,0
1258,1782591053670,0,0
1259,1782591053696,0,0
1260,1782591055561,0,0
1261,1782591056026,0,0
1262,1782591056659,0,0
1263,1782591057092,0,0
1264,1782591057309,0,0
1265,1782591057626,0,0
1266,1782591059324,0,0
1267,1782591059690,0,0
1268,1782591059807,0,0
1269,1782591060140,0,0
1270,1782591061256,0,0
1271,1782591061921,0,0
1272,1782591062838,0,0
1273,1782591063803,0,0
1274,1782591064869,0,0
1275,1782591064969,0,0
1276,1782591065768,0,0
1277,1782591066600,0,0
1278,1782591066684,0,0
1279,1782591067517,0,0
1280,1782591068849,0,0
1281,1782591069998,0,0
1282,1782591070231,0,0
1283,1782591070830,0,0
1284,1782591071247,0,0
1285,1782591071780,0,0
1286,1782591072146,0,0
1287,1782591072513,0,0
1288,1782591072663,0,0
1289,1782591072946,0,0
1290,1782591073395,0,0
1291,1782591074012,0,0
1292,1782591074428,0,0
1293,1782591106768,0,0
1294,1782591108233,0,0
1295,1782591108899,0,0
1296,1782591109681,0,0
1297,1782591110164,0,0
1298,1782591110431,0,0
1299,1782591110814,0,0
1300,1782591111147,0,0
1301,1782591111814,0,0
1302,1782591112412,0,0
1303,1782591112612,0,0
1304,1782591112895,0,0
1305,1782591113262,0,0
1306,1782591116760,0,0
1307,1782591117909,0,0
1308,1782591118591,0,0
1309,1782591118657,0,0
1310,1782591118974,0,0
1311,1782591119607,0,0
1312,1782591119691,0,0
1313,1782591120440,0,0
1314,1782591123902,0,0
1315,1782591124253,0,0
1316,1782591125035,0,0
1317,1782591125401,0,0
1318,1782591125734,0,0
1319,1782591126018,0,0
1320,1782591126351,0,0
1321,1782591126684,0,0
1322,1782591126850,0,0
1323,1782591127133,0,0
1324,1782591127450,0,0
1325,1782591127883,0,0
1326,1782591129616,0,0
1327,1782591129914,0,0
1328,1782591130197,0,0
1329,1782591130498,0,0
1330,1782591130813,0,0
1331,1782591131879,0,0
1332,1782591132429,0,0
1333,1782591132828,0,0
1334,1782591133062,0,0
1335,1782591133395,0,0
1336,1782591133645,0,0
1337,1782591133977,0,0
1338,1782591134177,0,0
1339,1782591134710,0,0
1340,1782591135293,0,0
1341,1782591135626,0,0
1342,1782591135976,0,0
1343,1782591136325,0,0
1344,1782591136858,0,0
1345,1782591137092,0,0
1346,1782591137425,0,0
1347,1782591137724,0,0
1348,1782591138074,0,0
1349,1782591141288,0,0
1350,1782591142720,0,0
1351,1782591144236,0,0
