index,date,KP,TI,SLIP
0,1782589765926,0,0,0
1,1782589765926,0,0,0
2,1782589765926,0,0,0
3,1782589766739,0,0,0
4,1782589769920,0,0,0
5,1782589770320,0,0,0
6,1782589770686,0,0,0
7,1782589771519,0,0,0
8,1782589771818,0,0,0
9,1782589772968,0,0,0
10,1782589773334,0,0,0
11,1782589773651,0,0,0
12,1782589774451,0,0,0
13,1782589774749,0,0,0
14,1782589775216,0,0,0
15,1782589775533,0,0,0
16,1782589776432,0,0,0
17,1782589776681,0,0,0
18,1782589778447,0,0,0
19,1782589779562,0,0,0
20,1782589779862,0,0,0
21,1782589780228,0,0,0
22,1782589780545,0,0,0
23,1782589780778,0,0,0
24,1782589781011,0,0,0
25,1782589783692,0,0,0
26,1782589783942,0,0,0
27,1782589784241,0,0,0
28,1782589784441,0,0,0
29,1782589784758,0,0,0
30,1782589785108,0,0,0
31,1782589785407,0,0,0
32,1782589785741,0,0,0
33,1782589785957,0,0,0
34,1782589786173,0,0,0
35,1782589786473,0,0,0
36,1782589786823,0,0,0
37,1782589787206,0,0,0
38,1782589790071,0,0,0
39,1782589790437,0,0,0
40,1782589790719,0,0,0
41,1782589791569,0,0,0
42,1782589791918,0,0,0
43,1782589792235,0,0,0
44,1782589792568,0,0,0
45,1782589792801,0,0,0
46,1782589793200,0,0,0
47,1782589793334,0,0,0
48,1782589793584,0,0,0
49,1782589793867,0,0,0
50,1782589794217,0,0,0
51,1782589794583,0,0,0
52,1782589794849,0,0,0
53,1782589795216,0,0,0
54,1782589796032,0,0,0
55,1782589796682,0,0,0
56,1782589797081,0,0,0
57,1782589797697,0,0,0
58,1782589798113,0,0,0
59,1782589798630,0,0,0
60,1782589799246,0,0,0
61,1782589799696,0,0,0
62,1782589800295,0,0,0
63,1782589801261,0,0,0
64,1782589801643,0,0,0
65,1782589802193,0,0,0
66,1782589803159,0,0,0
67,1782589803525,0,0,0
68,1782589804575,0,0,0
69,1782589806390,0,0,0
70,1782589807306,0,0,0
71,1782589807705,0,0,0
72,1782589808638,0,0,0
73,1782589809521,0,0,0
74,1782589809937,0,0,0
75,1782589810286,0,0,0
76,1782589810770,0,0,0
77,1782589811719,0,0,0
78,1782589813350,0,0,0
79,1782589813767,0,0,0
80,1782589814384,0,0,0
81,1782589815266,0,0,0
82,1782589816314,0,0,0
83,1782589817297,0,0,0
84,1782589817814,0,0,0
85,1782589818264,0,0,0
86,1782589818879,0,0,0
87,1782589820745,0,0,0
88,1782589821260,0,0,0
89,1782589821777,0,0,0
90,1782589822243,0,0,0
91,1782589822426,0,0,0
92,1782589822776,0,0,0
93,1782589823808,0,0,0
94,1782589824358,0,0,0
95,1782589824724,0,0,0
96,1782589825407,0,0,0
97,1782589826440,0,0,0
98,1782589827921,0,0,0
99,1782589828321,0,0,0
100,1782589828904,0,0,0
101,1782589829354,0,0,0
102,1782589829654,0,0,0
103,1782589829770,0,0,0
104,1782589830269,0,0,0
105,1782589830870,0,0,0
106,1782589831852,0,0,0
107,1782589832701,0,0,0
108,1782589833169,0,0,0
109,1782589834151,0,0,0
110,1782589834467,0,0,0
111,1782589835017,0,0,0
112,1782589835998,0,0,0
113,1782589837896,0,0,0
114,1782589838897,0,0,0
115,1782589839212,0,0,0
116,1782589839828,0,0,0
117,1782589840444,0,0,0
118,1782589840861,0,0,0
119,1782589842393,0,0,0
120,1782589843492,0,0,0
121,1782589844425,0,0,0
122,1782589845141,0,0,0
123,1782589845724,0,0,0
124,1782589847289,0,0,0
125,1782589847789,0,0,0
126,1782589848321,0,0,0
127,1782589848804,0,0,0
128,1782589848988,0,0,0
129,1782589849237,0,0,0
