index,date,CELL1,CELL2,CELL3,CELL4
0,1782590516042,37,36,34,33
1,1782590523270,37,36,34,33
2,1782590527949,37,36,34,33
3,1782590539722,37,36,34,33
4,1782590554627,37,36,34,33
5,1782590561470,37,36,34,33
6,1782590737690,6117,256,41,0
7,1782591043171,37,37,34,34
8,1782591055944,38,37,34,34
9,1782591073479,38,37,34,34
10,1782591334709,37,37,34,34
11,1782591350762,38,37,34,34
12,1782591357056,38,37,34,34
13,1782591359554,38,37,34,34
14,1782591362952,38,37,34,34
15,1782591371727,38,37,34,34
