index,date,CELL1,CELL2,CELL3,CELL4
0,1782590513161,3.27,3.1699999999999999,2.77,3.1600000000000001
1,1782590526750,3.27,3.1699999999999999,2.77,3.1600000000000001
2,1782590534061,3.27,3.1699999999999999,2.77,3.1600000000000001
3,1782590541604,3.27,3.1699999999999999,2.77,3.1600000000000001
4,1782590551679,3.27,3.1699999999999999,2.77,3.1600000000000001
5,1782590553761,3.27,3.1699999999999999,2.77,3.1600000000000001
6,1782591061172,3.2799999999999998,3.2799999999999998,3.27,3.2799999999999998
7,1782591064686,3.2799999999999998,3.2799999999999998,3.27,3.2799999999999998
8,1782591073462,3.2799999999999998,3.2799999999999998,3.2799999999999998,3.2799999999999998
9,1782591359538,3.27,3.27,3.2599999999999998,3.27
10,1782592194668,3.2599999999999998,3.23,3.0899999999999999,3.2200000000000002
11,1782592212286,3.27,3.27,3.2599999999999998,3.27
