index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R
196,1782589989353,0,0,367,0
197,1782589989602,0,0,367,0
198,1782589990251,0,0,367,0
199,1782589991917,0,0,367,0
200,1782589992550,0,0,367,0
201,1782589993000,0,0,367,0
202,1782589994015,0,0,367,0
203,1782589994131,0,0,367,0
204,1782589994515,0,0,367,0
205,1782589995532,0,0,367,0
206,1782589997113,0,0,367,0
207,1782589998178,0,0,367,0
208,1782589999744,0,0,367,0
209,1782590000443,0,0,367,0
210,1782590002109,0,0,367,0
211,1782590002774,0,0,367,0
212,1782590003191,0,0,367,0
213,1782590004357,0,0,367,0
214,1782590033298,0,0,0,0
215,1782590033998,0,0,0,0
216,1782590034748,0,0,0,0
217,1782590035363,0,0,0,0
218,1782590035414,0,0,0,0
219,1782590036079,0,0,0,0
220,1782590036180,0,0,0,0
221,1782590037329,0,0,0,0
222,1782590037729,0,0,0,0
223,1782590039227,0,0,0,0
224,1782590045355,0,0,0,0
225,1782590045738,0,0,0,0
226,1782590046155,0,0,0,0
227,1782590046355,0,0,0,0
228,1782590046639,0,0,0,0
229,1782590046937,0,0,0,0
230,1782590047287,0,0,0,0
231,1782590047603,0,0,0,0
232,1782590050201,0,0,0,0
233,1782590050568,0,0,0,0
234,1782590050900,0,0,0,0
235,1782590051233,0,0,0,0
236,1782590051750,0,0,0,0
237,1782590052049,0,0,0,0
238,1782590061741,0,0,0,0
239,1782590069552,0,0,0,0
240,1782590069868,0,0,0,0
241,1782590071017,0,0,0,0
242,1782590071301,0,0,0,0
243,1782590073149,0,0,0,0
244,1782590073632,0,0,0,0
245,1782590073898,0,0,0,0
246,1782590074297,0,0,0,0
247,1782590074614,0,0,0,0
248,1782590076163,0,0,0,0
249,1782590076747,0,0,0,0
250,1782590078427,0,0,0,0
251,1782590078761,0,0,0,0
252,1782590081924,0,0,0,0
253,1782590082624,0,0,0,0
254,1782590082890,0,0,0,0
255,1782590083973,0,0,0,0
256,1782590084872,0,0,0,0
257,1782590085205,0,0,0,0
258,1782590087187,0,0,0,0
259,1782590087503,0,0,0,0
260,1782590089618,0,0,0,0
261,1782590089884,0,0,0,0
262,1782590090234,0,0,0,0
263,1782590091633,0,0,0,0
264,1782590091883,0,0,0,0
265,1782590092232,0,0,0,0
266,1782590092549,0,0,0,0
267,1782590092732,0,0,0,0
268,1782590093065,0,0,0,0
269,1782590093432,0,0,0,0
270,1782590093764,0,0,0,0
271,1782590094098,0,0,0,0
272,1782590095546,0,0,0,0
273,1782590099045,0,0,0,0
274,1782590099476,0,0,0,0
275,1782590099809,0,0,0,0
276,1782590100109,0,0,0,0
277,1782590100176,0,0,0,0
278,1782590100543,0,0,0,0
279,1782590100859,0,0,0,0
280,1782590101175,0,0,0,0
281,1782590101541,0,0,0,0
282,1782590102740,0,0,0,0
283,1782590103007,0,0,0,0
284,1782590104756,0,0,0,0
285,1782590105922,0,0,0,0
286,1782590106254,0,0,0,0
287,1782590106621,0,0,0,0
288,1782590106937,0,0,0,0
289,1782590107553,0,0,0,0
290,1782590107636,0,0,0,0
291,1782590108036,0,0,0,0
292,1782590108452,0,0,0,0
