index,date,ERROR_ID,STACK_ERROR_OVEVR,CELL_ERROR_OVER,MAX_CELL_VOLTAGE,5,6,7,8
0,1765896057375,0,0,160,0,0,0,0,0
1,1765896191175,3,0,0,0,0,0,0,0
2,1765896468399,0,0,0,0,0,0,0,0
3,1765897170998,3,0,0,0,0,0,0,0
4,1765897227226,35799,32150,17079,2.47,0,0,0,0
5,1765897319351,0,0,0,0.82,0,0,0,0
6,1765897733354,0,12288,16384,0,0,0,0,0
7,1765897767270,0,0,0,2.62,0,0,0,0
8,1765897773123,0,0,0,0,0,0,0,0
9,1765897907203,33046,33020,32989,3.3,0,0,0,0
10,1765898174614,0,0,0,0,0,0,0,0
