index,date,MODE_ID,TORQUE_GAIN_ID,ODOM_DISTANCE_P,ODOM_DISTANCE_T,1,2,3,4
125,1765223604244,1,10,3470,0,0,0,0,0
126,1765223604660,1,10,3481,0,0,0,0,0
127,1765223604943,1,10,3483,0,0,0,0,0
128,1765223605410,1,10,3493,0,0,0,0,0
129,1765223605675,1,10,3495,0,0,0,0,0
130,1765223606078,1,10,3507,0,0,0,0,0
131,1765223606393,1,10,3509,0,0,0,0,0
132,1765223606527,1,10,3517,0,0,0,0,0
133,1765223606777,1,10,3522,0,0,0,0,0
134,1765223607243,1,10,3532,0,0,0,0,0
135,1765223607543,1,10,3535,0,0,0,0,0
136,1765223607977,1,10,3548,0,0,0,0,0
137,1765223608260,1,10,3550,0,0,0,0,0
138,1765223608360,1,10,3559,0,0,0,0,0
139,1765223608692,1,10,3561,0,0,0,0,0
140,1765223609093,1,10,3574,0,0,0,0,0
141,1765223609377,1,10,3577,0,0,0,0,0
142,1765223609794,1,10,3588,0,0,0,0,0
143,1765223610076,1,10,3590,0,0,0,0,0
144,1765223610543,1,10,3605,0,0,0,0,0
145,1765223610943,1,10,3617,0,0,0,0,0
146,1765223611244,1,10,3622,0,0,0,0,0
147,1765223611643,1,10,3628,0,0,0,0,0
148,1765223611976,1,10,3628,0,0,0,0,0
149,1765223612093,1,10,3628,0,0,0,0,0
150,1765223612377,1,10,3628,0,0,0,0,0
151,1765223612677,1,10,3628,0,0,0,0,0
152,1765223612810,1,10,3628,0,0,0,0,0
153,1765223613127,1,10,3628,0,0,0,0,0
154,1765223613527,1,10,3628,0,0,0,0,0
155,1765223613860,1,10,3628,0,0,0,0,0
156,1765223613993,1,10,3628,0,0,0,0,0
157,1765223614277,1,10,3628,0,0,0,0,0
158,1765223614710,1,10,3628,0,0,0,0,0
159,1765223614991,1,10,3628,0,0,0,0,0
160,1765223615427,1,10,3628,0,0,0,0,0
161,1765223615710,1,10,3628,0,0,0,0,0
162,1765223615844,1,10,3628,0,0,0,0,0
163,1765223616127,1,10,3628,0,0,0,0,0
164,1765223616544,1,10,3628,0,0,0,0,0
165,1765223616827,1,10,3628,0,0,0,0,0
166,1765223617293,1,10,3628,0,0,0,0,0
167,1765223617558,1,10,3628,0,0,0,0,0
168,1765223617992,1,10,3628,0,0,0,0,0
169,1765223618260,1,10,3628,0,0,0,0,0
170,1765223618393,1,10,3628,0,0,0,0,0
171,1765223618710,1,10,3628,0,0,0,0,0
172,1765223619110,1,10,3628,0,0,0,0,0
173,1765223619410,1,10,3628,0,0,0,0,0
174,1765223619827,1,10,3628,0,0,0,0,0
175,1765223620110,1,10,3628,0,0,0,0,0
176,1765223620265,1,10,3628,0,0,0,0,0
177,1765223620576,1,10,3628,0,0,0,0,0
178,1765223620977,1,10,3628,0,0,0,0,0
179,1765223621293,1,10,3628,0,0,0,0,0
180,1765223621693,1,10,3628,0,0,0,0,0
181,1765223622010,1,10,3628,0,0,0,0,0
182,1765223622111,1,10,3628,0,0,0,0,0
183,1765223622444,1,10,3628,0,0,0,0,0
184,1765223622843,1,10,3628,0,0,0,0,0
185,1765223623143,1,10,3628,0,0,0,0,0
186,1765223623544,1,10,3628,0,0,0,0,0
187,1765223623876,1,10,3628,0,0,0,0,0
188,1765223624010,1,10,3628,0,0,0,0,0
189,1765223624295,1,10,3628,0,0,0,0,0
190,1765223624726,1,10,3628,0,0,0,0,0
191,1765223625010,1,10,3628,0,0,0,0,0
192,1765223625427,1,10,3628,0,0,0,0,0
193,1765223625743,1,10,3628,0,0,0,0,0
194,1765223625893,1,10,3628,0,0,0,0,0
195,1765223626176,1,10,3628,0,0,0,0,0
196,1765223626610,1,10,3628,0,0,0,0,0
197,1765223626893,1,10,3628,0,0,0,0,0
198,1765223627377,1,10,3628,0,0,0,0,0
199,1765223627810,1,10,3628,0,0,0,0,0
200,1765223628109,1,10,3628,0,0,0,0,0
201,1765223628543,1,10,3628,0,0,0,0,0
202,1765223628977,1,10,3628,0,0,0,0,0
