id,latitude,longitude,altitude,ground_speed,timestamp
262,-19.86994217,-43.96400267,831.87,0.00,1768318435328
262,-19.86994217,-43.96400267,831.87,0.00,1768318435328
262,-19.86994217,-43.96400267,831.87,0.00,1768318435328
262,-19.86994217,-43.96400267,831.87,0.00,5288341012480
262,-19.86994217,-43.96400267,831.87,0.00,5288341012480
262,-19.86994217,-43.96400267,831.87,0.00,1768318435328
262,-19.86994217,-43.96400267,831.87,0.00,1768318435328
262,-19.86994217,0.01666667,831.87,0.00,1768318435328
262,-19.86994217,0.01666667,831.87,0.00,1768318435328
262,-19.86994217,0.01666667,831.87,0.00,1768318435328
262,-19.86994217,0.01666667,831.87,0.00,1768318435328
262,-19.86994217,0.01666667,831.87,0.00,1768318435328
262,-19.86994217,0.00000000,831.87,0.00,5919493062656
262,-19.86994217,-43.96400267,831.87,0.00,5919493062656
262,-19.86994217,-43.96400267,831.87,0.00,5919493062656
262,-19.86994217,-43.96400267,831.87,0.00,5919493062656
262,-19.86994217,-43.96400267,831.87,0.00,5919493062656
262,-19.86994217,-43.96400267,831.87,0.00,5919493062656
262,-19.86994217,-43.96400267,831.87,0.00,1768318435328
262,-19.86994217,-43.96400267,831.87,0.00,1768318435328
262,-19.86982217,-43.96377200,796.03,500.41,1768318435328
262,-19.86985750,-43.96378450,799.22,178.72,1768318435328
262,-19.86983633,-43.96377800,801.73,174.09,1768318435328
262,-19.86981117,-43.96381033,803.16,174.09,1768318435328
262,-19.86979967,-43.96382250,806.65,142.05,1768318435328
262,-19.86978817,-43.96383817,810.26,132.79,1768318435328
262,-19.86978050,-43.96384600,810.26,176.13,1768318435328
262,-19.86977483,-43.96384233,812.73,141.86,1768318435328
262,-19.86976700,-43.96383950,812.25,69.08,1768318435328
262,-19.86975783,-43.96383750,812.35,91.12,1768318435328
262,-19.86975400,-43.96383217,812.69,91.12,1768318435328
262,-19.86975300,-43.96382433,812.25,147.97,1768318435328
262,-19.86975050,-43.96381917,812.08,125.75,1768318435328
262,-19.86974633,-43.96381633,812.08,42.04,1768318435328
262,-19.86974017,-43.96381583,810.66,17.41,1768318435328
262,-19.86973950,-43.96381717,810.06,327.62,1768318435328
262,-19.86974350,-43.96381817,810.06,288.73,1768318435328
262,-19.86974550,-43.96381983,808.93,283.17,1768318435328
262,-19.86974217,-43.96382267,808.71,241.32,1768318566400
262,-19.86974167,-43.96381933,808.56,212.61,1768318566400
262,-19.86974467,-43.96381267,808.16,212.61,1768318566400
262,-19.86974967,-43.96380400,808.16,226.68,1768318566400
262,-19.86975250,-43.96379750,807.38,255.58,1768318566400
262,-19.86975250,-43.96379750,807.38,255.58,1768318566400
262,-19.86975550,-43.96379767,806.56,0.00,1768318566400
262,0.00000000,0.00000000,806.56,0.00,0
262,-19.86976217,-43.96379817,806.56,218.35,1768318566400
262,-19.86976300,-43.96380133,806.24,516.89,1768318566400
262,-19.86975933,-43.96380767,806.24,57.41,5888734658560
262,-19.86975433,-43.96381083,806.24,625.24,1768318566400
