index,date,CELL1,CELL2,CELL3,CELL4
0,1782565978623,0.35,6.53,1.03,0.0
1,1782566334308,3.24,5.7,0.53,0.05
2,1782566604629,0.09,0.55,0.72,2.46
3,1782566756587,6.5,5.21,0.59,0.0
4,1782567302346,1.75,6.2,0.95,0.0
0,1782582760940,0.0299999999999999,6.52,0.8299999999999998,0.0
1,1782582856926,3.14,2.99,3.11,3.14
2,1782582877276,3.14,2.99,3.11,3.14
3,1782582883869,3.14,2.99,3.11,3.14
4,1782582889366,3.14,2.99,3.11,3.14
5,1782582891463,3.14,2.99,3.11,3.14
6,1782582894461,3.14,2.99,3.11,3.14
7,1782582896442,3.14,2.99,3.11,3.14
8,1782583245698,0.0,6.54,0.8299999999999998,0.0
