index,date,ADDR_CELL_VOLT_MAX,ADDR_STACK_VOLT_MAX,MAX_VOLTAGE
0,1782582858908,0,0,0
1,1782582859907,0,0,0
2,1782582864136,0,0,0
3,1782582865285,0,0,0
4,1782582867001,0,0,0
5,1782582870098,0,0,0
6,1782582871847,0,0,0
7,1782582871897,0,0,0
8,1782582873746,0,0,0
9,1782582874878,0,0,0
10,1782582876575,0,0,0
11,1782582881388,0,0,0
12,1782582881555,0,0,0
13,1782582884385,0,0,0
14,1782582886067,0,0,0
15,1782582887100,0,0,0
16,1782582888683,0,0,0
17,1782582891413,0,0,0
18,1782582893395,0,0,0
19,1782582894444,0,0,0
20,1782582896209,0,0,0
