index,date,ADDR_CELL_VOLT_MIN,ADDR_STACK_VOLT_MIN,MIN_VOLTAGE
0,1782589765927,56477,58826,6.32
1,1782590514677,0,0,0.0
2,1782590515942,0,0,0.0
3,1782590519356,0,0,0.0
4,1782590520788,0,0,0.0
5,1782590522187,0,0,0.0
6,1782590523186,0,0,0.0
7,1782590526683,0,0,0.0
8,1782590527999,0,0,0.0
9,1782590528615,0,0,0.0
10,1782590529697,0,0,0.0
11,1782590534027,0,0,0.0
12,1782590535076,0,0,0.0
13,1782590536625,0,0,0.0
14,1782590539139,0,0,0.0
15,1782590542104,0,0,0.0
16,1782590543786,0,0,0.0
17,1782590543885,0,0,0.0
18,1782590545700,0,0,0.0
19,1782590546783,0,0,0.0
20,1782590548765,0,0,0.0
21,1782590551629,0,0,0.0
22,1782590551812,0,0,0.0
23,1782590553761,0,0,0.0
24,1782590554677,0,0,0.0
25,1782590559355,0,0,0.0
26,1782590561004,0,0,0.0
27,1782590563735,0,0,0.0
28,1782591029965,0,0,0.0
29,1782591031031,0,0,0.0
30,1782591032929,0,0,0.0
31,1782591035761,0,0,0.0
32,1782591035861,0,0,0.0
33,1782591037492,0,0,0.0
34,1782591040490,0,0,0.0
35,1782591042655,0,0,0.0
36,1782591043420,0,0,0.0
37,1782591047533,0,0,0.0
38,1782591053678,0,0,0.0
39,1782591055377,0,0,0.0
40,1782591056676,0,0,0.0
41,1782591058424,0,0,0.0
42,1782591058491,0,0,0.0
43,1782591060323,0,0,0.0
44,1782591060573,0,0,0.0
45,1782591061472,0,0,0.0
46,1782591064670,0,0,0.0
47,1782591064686,0,0,0.0
48,1782591069615,0,0,0.0
49,1782591071280,0,0,0.0
50,1782591073845,0,0,0.0
51,1782591334709,0,0,0.0
52,1782591337273,0,0,0.0
53,1782591338972,0,0,0.0
54,1782591339038,0,0,0.0
55,1782591341803,0,0,0.0
56,1782591346916,0,0,0.0
57,1782591347032,0,0,0.0
58,1782591348264,0,0,0.0
59,1782591352027,0,0,0.0
60,1782591355458,0,0,0.0
61,1782591357689,0,0,0.0
62,1782591359038,0,0,0.0
63,1782591360420,0,0,0.0
64,1782591362768,0,0,0.0
65,1782591369663,0,0,0.0
66,1782591371178,0,0,0.0
67,1782591371245,0,0,0.0
68,1782591372993,0,0,0.0
69,1782591374259,0,0,0.0
70,1782591377606,0,0,0.0
71,1782591381586,0,0,0.0
72,1782591397306,0,0,0.0
73,1782591400754,0,0,0.0
74,1782591404017,0,0,0.0
75,1782591406182,0,0,0.0
76,1782591406432,0,0,0.0
77,1782591406715,0,0,0.0
78,1782591408513,0,0,0.0
79,1782591419321,0,0,0.0
80,1782591425016,0,0,0.0
81,1782592189356,0,0,0.0
82,1782592195168,0,0,0.0
83,1782592198099,0,0,0.0
84,1782592198998,0,0,0.0
85,1782592200080,0,0,0.0
86,1782592201479,0,0,0.0
87,1782592202495,0,0,0.0
88,1782592205111,0,0,0.0
89,1782592206793,0,0,0.0
0,1782582857492,0,0,0.0
1,1782582859874,0,0,0.0
2,1782582862455,0,0,0.0
3,1782582866968,0,0,0.0
4,1782582869015,0,0,0.0
5,1782582870065,0,0,0.0
6,1782582871813,0,0,0.0
7,1782582871880,0,0,0.0
8,1782582873679,0,0,0.0
9,1782582874844,0,0,0.0
10,1782582876542,0,0,0.0
11,1782582879706,0,0,0.0
12,1782582881405,0,0,0.0
13,1782582883271,0,0,0.0
14,1782582884352,0,0,0.0
15,1782582886018,0,0,0.0
16,1782582887067,0,0,0.0
17,1782582888666,0,0,0.0
18,1782582891413,0,0,0.0
19,1782582893312,0,0,0.0
20,1782582894527,0,0,0.0
21,1782582896176,0,0,0.0
22,1782582896260,0,0,0.0
0,1782582857492,0,0,0.0
1,1782582859874,0,0,0.0
2,1782582862455,0,0,0.0
3,1782582866968,0,0,0.0
4,1782582869015,0,0,0.0
5,1782582870065,0,0,0.0
6,1782582871813,0,0,0.0
7,1782582871880,0,0,0.0
8,1782582873679,0,0,0.0
9,1782582874844,0,0,0.0
10,1782582876542,0,0,0.0
11,1782582879706,0,0,0.0
12,1782582881405,0,0,0.0
13,1782582883271,0,0,0.0
14,1782582884352,0,0,0.0
15,1782582886018,0,0,0.0
16,1782582887067,0,0,0.0
17,1782582888666,0,0,0.0
18,1782582891413,0,0,0.0
19,1782582893312,0,0,0.0
20,1782582894527,0,0,0.0
21,1782582896176,0,0,0.0
22,1782582896260,0,0,0.0
