index,date,CELL1,CELL2,CELL3,CELL4
0,1782582870298,37,33,31,30
1,1782582877309,37,33,31,30
2,1782582889398,37,33,31,30
3,1782582891497,37,33,31,30
4,1782583148747,2908,245,41,2457
