index,date,LATITUDE
0,1782582316247,-19.8643916
1,1782582317146,-19.8643916
2,1782582317929,-19.8643916
3,1782582318612,-19.8643916
4,1782582321076,-19.8643916
5,1782582321959,-19.8643916
6,1782582322775,-19.8643916
7,1782582323475,-19.8643916
8,1782582324423,-19.8643916
9,1782582325872,-19.8643916
10,1782582331767,-19.8643866
11,1782582369086,-19.8643866
12,1782582370318,-19.8643866
13,1782582371051,-19.8643866
14,1782582371867,-19.8643866
15,1782582372316,-19.8643866
16,1782582372367,1057866.4500608
17,1782582373632,-19.8643866
18,1782582374798,-19.8643866
19,1782582375447,-19.8643866
20,1782582377446,-19.8643878
21,1782582378994,-19.86447
22,1782582379394,-19.86447
23,1782582380010,-19.86447
24,1782582380659,-19.8644646
25,1782582381808,-19.8644636
26,1782582382541,-19.8644636
27,1782582383790,-19.8644191
28,1782582386188,-19.864398
29,1782582387437,-19.8643906
30,1782582388819,-19.8643903
31,1782582389486,-19.8643895
32,1782582390151,-19.864389
33,1782582391534,-19.8643881
34,1782582392832,-19.8643881
35,1782582394065,-19.8643856
36,1782582394765,-19.8643853
37,1782582396146,-19.864386
38,1782582399477,-19.8643791
39,1782582400876,-19.8643753
40,1782582401375,-19.8643753
41,1782582402907,-19.8643756
42,1782582404889,-19.8643745
43,1782582405539,-19.8643745
44,1782582407870,-19.8643723
45,1782582409102,-19.8643721
46,1782582409819,-19.8643721
47,1782582411050,-19.8643713
48,1782582412982,-19.8643713
49,1782582413482,-19.8643715
50,1782582414931,-19.8643628
51,1782582415563,-19.8643628
52,1782582416080,-19.8643628
53,1782582417595,-19.8643569
54,1782582418211,-19.8643569
55,1782582418728,-19.8643569
56,1782582421292,-19.8643571
57,1782582422025,-19.8643625
58,1782582424489,-19.8643688
59,1782582425189,-19.8643688
60,1782582425706,-19.8643688
61,1782582427054,-19.8643693
62,1782582428386,-19.8643718
63,1782582429685,-19.8643718
64,1782582430301,-19.8643713
65,1782582430851,-19.8643715
66,1782582431517,-19.8643716
