index,date,GYRO_X,GYRO_Y,GYRO_Z
0,1782582316213,0.2099999999999999,-0.4899999999999999,0.07
1,1782582316281,0.2099999999999999,-0.56,0.0
2,1782582316331,0.14,-0.56,0.07
3,1782582316413,0.2099999999999999,-0.56,0.0
4,1782582316531,0.14,-0.4899999999999999,0.07
5,1782582316596,0.14,-0.56,0.07
6,1782582316630,0.2099999999999999,-0.3499999999999999,0.07
7,1782582316681,0.2099999999999999,-0.4899999999999999,0.07
8,1782582316764,0.2099999999999999,-0.4899999999999999,0.07
9,1782582316914,0.2099999999999999,-0.56,0.07
10,1782582316931,0.2099999999999999,-0.56,0.07
11,1782582316964,0.2099999999999999,-0.56,0.07
12,1782582316980,0.2099999999999999,-0.4899999999999999,0.07
13,1782582317164,0.28,-0.4899999999999999,0.07
14,1782582317213,0.28,-0.56,0.07
15,1782582317279,0.28,-0.4899999999999999,0.07
16,1782582317329,0.28,-0.4899999999999999,0.07
17,1782582317412,0.28,-0.56,0.14
18,1782582317479,0.28,-0.56,0.14
19,1782582317579,0.28,-0.56,0.14
20,1782582317629,0.28,-0.56,0.14
21,1782582317679,0.28,-0.4899999999999999,0.07
22,1782582317729,0.28,-0.4899999999999999,0.07
23,1782582317795,0.28,-0.4899999999999999,0.07
24,1782582317829,0.28,-0.4899999999999999,0.07
25,1782582317896,0.14,-0.4899999999999999,0.07
26,1782582317946,0.2099999999999999,-0.56,0.07
27,1782582317996,0.28,-0.4899999999999999,0.0
28,1782582318029,0.2099999999999999,-0.4899999999999999,0.0
29,1782582318079,0.2099999999999999,-0.4899999999999999,0.0
30,1782582318146,0.2099999999999999,-0.56,0.0
31,1782582318179,0.2099999999999999,-0.56,0.0
32,1782582318245,0.2099999999999999,-0.4899999999999999,0.07
33,1782582318345,0.2099999999999999,-0.56,0.07
34,1782582318412,0.2099999999999999,-0.4899999999999999,0.07
35,1782582318478,0.2099999999999999,-0.4899999999999999,0.07
36,1782582318495,0.28,-0.4899999999999999,0.07
37,1782582318512,0.2099999999999999,-0.4899999999999999,0.07
38,1782582318612,0.2099999999999999,-0.4899999999999999,0.0
39,1782582318711,0.2099999999999999,-0.4899999999999999,0.0
40,1782582318796,0.2099999999999999,-0.56,0.0
41,1782582318828,0.2099999999999999,-0.56,0.07
42,1782582318895,0.2099999999999999,-0.56,0.07
43,1782582318928,0.14,-0.4899999999999999,0.07
44,1782582319095,0.07,-0.56,0.07
45,1782582319144,0.07,-0.56,0.07
46,1782582319194,0.2099999999999999,-0.56,0.07
47,1782582319261,0.14,-0.56,0.07
48,1782582319361,0.2099999999999999,-0.63,0.07
49,1782582319378,0.2099999999999999,-0.63,0.07
50,1782582319444,0.2099999999999999,-0.63,0.07
51,1782582319494,0.14,-0.63,0.07
52,1782582319511,0.2099999999999999,-0.4899999999999999,0.0
53,1782582319577,0.2099999999999999,-0.4899999999999999,0.0
54,1782582319678,0.2099999999999999,-0.4899999999999999,0.0
55,1782582319744,0.2099999999999999,-0.4899999999999999,0.07
56,1782582319794,0.2099999999999999,-0.56,0.07
57,1782582319844,0.2099999999999999,-0.56,0.07
58,1782582319910,0.2099999999999999,-0.56,0.0
59,1782582319944,0.2099999999999999,-0.56,0.07
60,1782582319977,0.2099999999999999,-0.4899999999999999,0.0
61,1782582320044,0.2099999999999999,-0.4899999999999999,0.0
62,1782582320094,0.2099999999999999,-0.4899999999999999,0.0
63,1782582320144,0.28,-0.4899999999999999,0.07
64,1782582320193,0.3499999999999999,-0.56,0.0
65,1782582320210,0.2099999999999999,-0.56,0.0
66,1782582320227,0.2099999999999999,-0.56,0.07
67,1782582320260,0.28,-0.56,0.07
68,1782582320277,0.28,-0.56,0.07
69,1782582320326,0.14,-0.56,0.07
70,1782582320377,0.2099999999999999,-0.56,0.0
71,1782582320460,0.2099999999999999,-0.4899999999999999,0.0
72,1782582320493,0.2099999999999999,-0.56,0.0
73,1782582320560,0.28,-0.4899999999999999,0.0
74,1782582320577,0.28,-0.4899999999999999,0.0
75,1782582320660,0.28,-0.56,0.07
76,1782582320710,0.28,-0.4899999999999999,0.07
77,1782582320776,0.28,-0.4899999999999999,0.07
78,1782582320826,0.14,-0.4899999999999999,0.07
79,1782582320860,0.14,-0.56,0.07
80,1782582320910,0.14,-0.56,0.07
81,1782582320993,0.14,-0.4899999999999999,0.07
82,1782582321043,0.14,-0.56,0.0
83,1782582321126,0.28,-0.63,0.0
84,1782582321143,0.3499999999999999,-0.56,0.07
85,1782582321226,0.3499999999999999,-0.56,0.07
86,1782582321326,0.3499999999999999,-0.56,0.07
87,1782582321393,0.2099999999999999,-0.4199999999999999,0.07
88,1782582321443,0.2099999999999999,-0.4199999999999999,0.07
89,1782582321459,0.2099999999999999,-0.4899999999999999,0.0
90,1782582321542,0.14,-0.4899999999999999,0.0
91,1782582321559,0.14,-0.4899999999999999,0.0
92,1782582321592,0.07,-0.56,0.07
93,1782582321709,0.2099999999999999,-0.4899999999999999,0.07
94,1782582321760,0.2099999999999999,-0.4899999999999999,0.07
95,1782582321809,0.2099999999999999,-0.4899999999999999,0.07
96,1782582321859,0.2099999999999999,-0.4899999999999999,0.07
97,1782582321876,0.28,-0.4899999999999999,0.07
98,1782582322075,0.28,-0.56,0.0
99,1782582322142,0.28,-0.4899999999999999,0.0
100,1782582322142,0.14,-0.56,0.07
101,1782582322176,0.14,-0.56,0.07
102,1782582322225,0.14,-0.56,0.07
103,1782582322308,0.14,-0.56,0.07
104,1782582322375,0.14,-0.56,0.07
105,1782582322425,0.14,-0.56,0.0
106,1782582322442,0.14,-0.56,0.0
107,1782582322459,0.2099999999999999,-0.56,0.0
108,1782582322492,0.2099999999999999,-0.56,0.07
