index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE
0,1782666859016,0,-53.719999999999999,0,0
1,1782666859017,0,-54.479999999999997,0,0
2,1782666859017,0,-53.719999999999999,0,0
3,1782666860483,0,-54.479999999999997,0,0
4,1782666860798,0,-54.479999999999997,0,0
5,1782666861082,0,-53.469999999999999,0,0
6,1782666861933,0,-54.229999999999997,0,0
7,1782666862530,0,-54.479999999999997,0,0
8,1782666862865,0,-53.219999999999999,0,0
9,1782666863215,0,-53.469999999999999,0,0
10,1782666863482,0,-54.479999999999997,0,0
11,1782666863665,0,-53.469999999999999,0,0
12,1782666864314,0,-53.469999999999999,0,0
13,1782666864631,0,-52.969999999999999,0,0
14,1782666864931,0,-53.219999999999999,0,0
15,1782666865265,0,-53.219999999999999,0,0
16,1782666866414,0,-53.219999999999999,0,0
17,1782666870549,0,-53.719999999999999,0,0
18,1782666870866,0,-53.469999999999999,0,0
19,1782666875182,0,-52.719999999999999,0,0
20,1782666875533,0,-52.460000000000001,0,0
21,1782666875815,0,-53.469999999999999,0,0
22,1782666877281,0,-53.719999999999999,0,0
23,1782666877615,0,-52.719999999999999,0,0
24,1782666877965,0,-53.219999999999999,0,0
25,1782666878315,0,-53.469999999999999,0,0
26,1782666878448,0,-53.469999999999999,0,0
27,1782666878765,0,-52.460000000000001,0,0
28,1782666879119,0,-53.719999999999999,0,0
29,1782666879465,0,-53.719999999999999,0,0
30,1782666883831,0,-53.219999999999999,0,0
31,1782666884148,0,-52.719999999999999,0,0
32,1782666884499,0,-53.219999999999999,0,0
33,1782666889798,0,-52.719999999999999,0,0
34,1782666890166,0,-52.969999999999999,0,0
35,1782666890482,0,-53.469999999999999,0,0
36,1782666891000,0,-53.979999999999997,0,0
37,1782666891398,0,-53.719999999999999,0,0
38,1782666891732,0,-53.219999999999999,0,0
39,1782666893498,0,-52.969999999999999,0,0
40,1782666893731,0,-53.219999999999999,0,0
41,1782666894050,0,-52.719999999999999,0,0
42,1782666895732,0,-53.469999999999999,0,0
43,1782666896098,0,-52.210000000000001,0,0
44,1782666896382,0,-52.460000000000001,0,0
45,1782666896699,0,-53.469999999999999,0,0
46,1782666896898,0,-52.969999999999999,0,0
47,1782666897215,0,-53.469999999999999,0,0
48,1782666897565,0,-52.719999999999999,0,0
49,1782666898248,0,-52.460000000000001,0,0
50,1782666898632,0,-52.210000000000001,0,0
51,1782666898833,0,-53.219999999999999,0,0
52,1782666899249,0,-53.219999999999999,0,0
53,1782666899482,0,-52.460000000000001,0,0
54,1782666900516,0,-52.210000000000001,0,0
55,1782666900598,0,-52.460000000000001,0,0
56,1782666900932,0,-53.469999999999999,0,0
57,1782666901299,0,-52.969999999999999,0,0
58,1782666901598,0,-52.969999999999999,0,0
59,1782666904817,0,-52.460000000000001,0,0
60,1782666905233,0,-51.960000000000001,0,0
61,1782666905765,0,-53.219999999999999,0,0
62,1782666906032,0,-52.460000000000001,0,0
63,1782666906383,0,-53.219999999999999,0,0
64,1782666906615,0,-53.719999999999999,0,0
65,1782666907049,0,-53.469999999999999,0,0
66,1782666907332,0,-52.460000000000001,0,0
67,1782666907649,0,-53.219999999999999,0,0
68,1782666907932,0,-52.969999999999999,0,0
69,1782666908149,0,-53.469999999999999,0,0
70,1782666908515,0,-52.719999999999999,0,0
71,1782666908765,0,-53.219999999999999,0,0
72,1782666910533,0,-52.719999999999999,0,0
73,1782666910866,0,-54.479999999999997,0,0
74,1782666914066,0,-53.719999999999999,0,0
75,1782666914465,0,-53.219999999999999,0,0
76,1782666914732,0,-52.460000000000001,0,0
77,1782666915116,0,-52.460000000000001,0,0
78,1782666915266,0,-52.719999999999999,0,0
79,1782666915532,0,-52.969999999999999,0,0
80,1782666915898,0,-53.979999999999997,0,0
81,1782666916249,0,-52.969999999999999,0,0
82,1782666917950,0,-53.219999999999999,0,0
83,1782666920232,0,-52.460000000000001,0,0
84,1782666920565,0,-52.719999999999999,0,0
85,1782666920832,0,-53.719999999999999,0,0
86,1782666921466,0,-52.719999999999999,0,0
87,1782666921749,0,-53.219999999999999,0,0
88,1782666922082,0,-52.969999999999999,0,0
89,1782666922399,0,-54.479999999999997,0,0
90,1782666922533,0,-52.210000000000001,0,0
91,1782666924849,0,-52.460000000000001,0,0
92,1782666926066,0,-52.969999999999999,0,0
93,1782666926433,0,-52.969999999999999,0,0
94,1782666926733,0,-53.219999999999999,0,0
95,1782666927566,0,-53.469999999999999,0,0
96,1782666927833,0,-54.729999999999997,0,0
97,1782666928149,0,-52.460000000000001,0,0
98,1782666928500,0,-52.969999999999999,0,0
99,1782666929116,0,-52.210000000000001,0,0
100,1782666930183,0,-53.469999999999999,0,0
101,1782666930482,0,-52.969999999999999,0,0
102,1782666932616,0,-52.969999999999999,0,0
103,1782666932883,0,-52.969999999999999,0,0
104,1782666938699,0,-53.219999999999999,0,0
105,1782666939033,0,-52.719999999999999,0,0
106,1782666939417,0,-53.469999999999999,0,0
107,1782666939700,0,-53.219999999999999,0,0
108,1782666940550,0,-53.219999999999999,0,0
109,1782666940799,0,-52.719999999999999,0,0
110,1782666941150,0,-51.710000000000001,0,0
111,1782666941466,0,-53.469999999999999,0,0
112,1782666942416,0,-52.210000000000001,0,0
113,1782666942668,0,-53.469999999999999,0,0
114,1782666942983,0,-52.969999999999999,0,0
115,1782666944916,0,-54.479999999999997,0,0
116,1782666945282,0,-53.219999999999999,0,0
117,1782666945532,0,-52.210000000000001,0,0
118,1782666945799,0,-52.719999999999999,0,0
