index,date,ERROR_SUM_S4,ERROR_SUM_S5,ERROR_SUM_S6
2325,1782669317602,0,0,0
2326,1782669318286,0,0,0
2327,1782669318920,0,0,0
2328,1782669319852,0,0,0
2329,1782669320485,0,0,0
2330,1782669320920,0,0,0
2331,1782669321552,0,0,0
2332,1782669322402,0,0,0
2333,1782669323452,0,0,0
2334,1782669324552,0,0,0
2335,1782669324585,0,0,0
2336,1782669325119,0,0,0
2337,1782669325719,0,0,0
2338,1782669326219,0,0,0
2339,1782669326719,0,0,0
2340,1782669327253,0,0,0
2341,1782669327719,0,0,0
2342,1782669328270,0,0,0
2343,1782669329220,0,0,0
2344,1782669329702,0,0,0
2345,1782669330153,0,0,0
2346,1782669331885,0,0,0
2347,1782669332386,0,0,0
2348,1782669334103,0,0,0
2349,1782669334619,0,0,0
2350,1782669335104,0,0,0
2351,1782669335687,0,0,0
2352,1782669337319,0,0,0
2353,1782669337788,0,0,0
2354,1782669338903,0,0,0
2355,1782669339370,0,0,0
2356,1782669339902,0,0,0
2357,1782669340452,0,0,0
2358,1782669341952,0,0,0
2359,1782669343337,0,0,0
2360,1782669344320,0,0,0
2361,1782669371937,0,0,0
2362,1782669373253,0,0,0
2363,1782669373403,0,0,0
2364,1782669374653,0,0,0
2365,1782669375687,0,0,0
2366,1782669376453,0,0,0
2367,1782669377270,0,0,0
2368,1782669379137,0,0,0
2369,1782669379604,0,0,0
2370,1782669380070,0,0,0
2371,1782669380370,0,0,0
2372,1782669381436,0,0,0
2373,1782669381803,0,0,0
2374,1782669382071,0,0,0
2375,1782669382286,0,0,0
2376,1782669383086,0,0,0
2377,1782669384737,0,0,0
2378,1782669385270,0,0,0
2379,1782669385803,0,0,0
2380,1782669386472,0,0,0
2381,1782669386922,0,0,0
2382,1782669387786,0,0,0
2383,1782669389287,0,0,0
2384,1782669391303,0,0,0
2385,1782669391955,0,0,0
2386,1782669392287,0,0,0
2387,1782669392787,0,0,0
2388,1782669393188,0,0,0
2389,1782669394353,0,0,0
2390,1782669394986,0,0,0
2391,1782669396387,0,0,0
2392,1782669397086,0,0,0
2393,1782669398988,0,0,0
2394,1782669399338,0,0,0
2395,1782669399839,0,0,0
2396,1782669400221,0,0,0
2397,1782669401704,0,0,0
2398,1782669402687,0,0,0
2399,1782669403487,0,0,0
2400,1782669404937,0,0,0
2401,1782669407504,0,0,0
2402,1782669408738,0,0,0
2403,1782669409705,0,0,0
2404,1782669411337,0,0,0
2405,1782669411754,0,0,0
2406,1782669411903,0,0,0
2407,1782669412237,0,0,0
2408,1782669412686,0,0,0
2409,1782669413303,0,0,0
2410,1782669414603,0,0,0
2411,1782669414821,0,0,0
2412,1782669416821,0,0,0
2413,1782669417537,0,0,0
2414,1782669418387,0,0,0
2415,1782669418620,0,0,0
2416,1782669418988,0,0,0
2417,1782669419420,0,0,0
2418,1782669419771,0,0,0
2419,1782669420023,0,0,0
2420,1782669420854,0,0,0
2421,1782669421370,0,0,0
2422,1782669422087,0,0,0
2423,1782669422687,0,0,0
2424,1782669423255,0,0,0
2425,1782669423420,0,0,0
2426,1782669424255,0,0,0
2427,1782669425870,0,0,0
2428,1782669426371,0,0,0
2429,1782669426505,0,0,0
2430,1782669427087,0,0,0
2431,1782669428087,0,0,0
2432,1782669428220,0,0,0
2433,1782669428637,0,0,0
2434,1782669429538,0,0,0
