index,date,RIGHT_MOTOR_CURRENT
2765,1782669741325,0
2766,1782669741725,0
2767,1782669741992,0
2768,1782669742393,0
2769,1782669745875,0
2770,1782669749041,0
2771,1782669749375,0
2772,1782669749675,0
2773,1782669750292,0
2774,1782669750542,0
2775,1782669751292,0
2776,1782669751642,0
2777,1782669751975,0
2778,1782669752325,0
2779,1782669757525,0
2780,1782669757876,0
2781,1782669758277,0
2782,1782669758408,0
2783,1782669759010,0
2784,1782669759377,0
2785,1782669759694,0
2786,1782669759960,0
2787,1782669761159,0
2788,1782669764710,0
2789,1782669765059,0
2790,1782669765426,0
2791,1782669765759,0
2792,1782669765877,0
2793,1782669766226,0
2794,1782669766543,0
2795,1782669770194,797
2796,1782669770594,782
2797,1782669770726,859
2798,1782669771127,889
2799,1782669771675,978
2800,1782669772109,1010
2801,1782669773976,1082
2802,1782669774343,1092
2803,1782669775192,1046
2804,1782669776060,1052
2805,1782669776509,1054
2806,1782669777793,1035
2807,1782669778342,1034
2808,1782669778692,1029
2809,1782669779359,1045
2810,1782669781277,1038
2811,1782669781943,1047
2812,1782669783593,1030
2813,1782669784609,1020
2814,1782669785325,1000
2815,1782669786259,1
2816,1782669787226,0
2817,1782669787576,0
2818,1782669787760,0
2819,1782669788842,3
2820,1782669789912,0
2821,1782669790426,0
2822,1782669792159,439
2823,1782669793126,64877
2824,1782669793742,65086
2825,1782669795376,65290
2826,1782669796459,0
2827,1782669797443,0
2828,1782669798425,0
2829,1782669799010,0
2830,1782669799692,0
2831,1782669799876,0
2832,1782669800277,0
2833,1782669801226,0
2834,1782669801592,0
2835,1782669801976,0
2836,1782669802176,0
2837,1782669802460,0
2838,1782669803443,0
2839,1782669804376,0
2840,1782669804992,0
2841,1782669805394,0
2842,1782669806027,0
2843,1782669806426,0
2844,1782669807994,0
2845,1782669809043,0
2846,1782669809360,0
2847,1782669810559,0
2848,1782669811593,0
2849,1782669812509,0
2850,1782669813443,0
2851,1782669813460,0
2852,1782669813877,0
2853,1782669814209,0
2854,1782669814343,0
2855,1782669815510,0
2856,1782669816092,0
2857,1782669816543,0
2858,1782669816676,0
2859,1782669817093,0
2860,1782669817710,0
2861,1782669818760,0
2862,1782669818976,0
2863,1782669819276,0
2864,1782669820360,0
2865,1782669821327,0
2866,1782669822343,0
2867,1782669822945,0
2868,1782669824576,0
2869,1782669825660,0
2870,1782669826544,0
2871,1782669827944,0
2872,1782669828361,0
2873,1782669829543,0
2874,1782669829943,0
2875,1782669832413,0
2876,1782669833343,0
2877,1782669834243,0
2878,1782669835327,0
2879,1782669836576,0
2880,1782669837244,0
2881,1782669837710,0
2882,1782669839911,0
2883,1782669840326,0
2884,1782669841943,0
2885,1782669842510,0
2886,1782669843327,0
2887,1782669843426,0
2888,1782669845177,0
2889,1782669845660,0
2890,1782669845726,0
2891,1782669846160,0
2892,1782669846760,0
2893,1782669847894,0
2894,1782669848093,0
2895,1782669848412,0
2896,1782669849460,0
2897,1782669851010,0
2898,1782669851393,0
2899,1782669852010,0
2900,1782669852460,0
2901,1782669853927,0
2902,1782669854344,0
2903,1782669856144,0
2904,1782669857578,0
