index,date,CELL1,CELL2,CELL3,CELL4
0,1782667731562,0.029999999999999999,0.23000000000000001,0.83999999999999997,0
1,1782667809429,0.32000000000000001,1.46,0.82999999999999996,2.46
2,1782670270901,0.32000000000000001,0,1.6499999999999999,0
3,1782672471083,0.01,1.23,0.82999999999999996,0
4,1782672649803,0.070000000000000007,0.02,0.77000000000000002,0
5,1782673061209,0.080000000000000002,1.23,0.80000000000000004,0
6,1782673648618,6.1699999999999999,6.21,0.80000000000000004,0.14999999999999999
7,1782674146109,3.25,3.2200000000000002,3.25,3.25
8,1782674149525,3.25,3.2200000000000002,3.25,3.25
9,1782674156459,3.25,3.2200000000000002,3.25,3.25
10,1782674167810,3.25,3.2200000000000002,3.25,3.25
11,1782674175193,3.25,3.2200000000000002,3.25,3.25
12,1782675965639,0.01,1.23,0,0
13,1782676191875,0.01,0,0,0
