index,date,LEFT_MOTOR_CURRENT
710,1782582924719,0
711,1782582928781,0
712,1782582930530,0
713,1782582930879,0
714,1782582931213,0
715,1782582931513,0
716,1782582931796,0
717,1782582933244,0
718,1782582933594,0
719,1782582934443,0
720,1782582934727,0
721,1782582937407,0
722,1782582937790,0
723,1782582938107,0
724,1782582938456,0
725,1782582939322,0
726,1782582939589,0
727,1782582940205,0
728,1782582941887,0
729,1782582942220,0
730,1782582942520,0
731,1782582942737,0
732,1782582943053,0
733,1782582943352,0
734,1782582943719,0
735,1782582943969,0
736,1782582944751,0
737,1782582945018,0
738,1782582945384,0
739,1782582945617,0
740,1782582945967,0
741,1782582946300,0
742,1782582947050,0
743,1782582947366,0
744,1782582947999,0
745,1782582948349,0
746,1782582948915,0
747,1782582949181,0
748,1782582949514,0
749,1782582953011,0
750,1782582955942,0
751,1782582957424,0
752,1782582957757,0
753,1782582958107,0
754,1782582958457,0
755,1782582958673,0
756,1782582958890,0
757,1782582959172,0
758,1782582959555,0
759,1782582959888,0
760,1782582961420,0
761,1782582963086,0
762,1782582963419,0
763,1782582964551,0
764,1782582964868,0
765,1782582965234,0
766,1782582965601,0
767,1782582966183,0
768,1782582966366,0
769,1782582966766,0
770,1782582967082,0
771,1782582968848,0
772,1782582969130,0
773,1782582971395,0
774,1782582971745,0
775,1782582972045,0
776,1782582972278,0
777,1782582972628,0
778,1782582972911,0
779,1782582973477,0
780,1782582973960,0
781,1782582974277,0
782,1782582974910,0
783,1782582975192,0
784,1782582975892,0
785,1782582975975,0
786,1782582976225,0
787,1782582976591,0
788,1782582976924,0
789,1782582982220,0
790,1782582982553,0
791,1782582982919,0
792,1782582983169,0
793,1782582983402,0
794,1782582983768,0
795,1782582984168,0
796,1782582984435,0
797,1782582987682,0
798,1782582988049,0
799,1782582988515,0
800,1782582988864,0
801,1782582989495,0
802,1782582989514,0
803,1782582989831,0
804,1782582990780,0
805,1782582990963,0
806,1782582991313,0
807,1782582994193,0
808,1782582994559,0
809,1782582994860,0
810,1782582995193,0
811,1782582998290,0
812,1782582998573,0
813,1782582998889,0
814,1782582999073,0
815,1782582999355,0
816,1782582999656,0
817,1782582999988,0
818,1782583004268,0
819,1782583004618,0
820,1782583005251,0
821,1782583005417,0
822,1782583005835,0
823,1782583006100,0
824,1782583006400,0
825,1782583006750,0
826,1782583007049,0
827,1782583007382,0
828,1782583007715,0
829,1782583007817,0
830,1782583132644,0
831,1782583132960,0
832,1782583133310,0
833,1782583133644,0
834,1782583133942,0
835,1782583134442,0
836,1782583134759,0
837,1782583135076,0
838,1782583135391,0
839,1782583136607,0
840,1782583136857,0
841,1782583140087,0
842,1782583140470,0
843,1782583140738,0
844,1782583141103,0
845,1782583141369,0
846,1782583141819,0
847,1782583142169,0
848,1782583142818,0
849,1782583143968,0
850,1782583144333,0
851,1782583147548,0
852,1782583147880,0
853,1782583148230,0
854,1782583148547,0
855,1782583148780,0
856,1782583149313,0
857,1782583149629,0
858,1782583149962,0
859,1782583150329,0
860,1782583150595,0
861,1782583150895,0
862,1782583151245,0
863,1782583151644,0
864,1782583151944,0
865,1782583152243,0
866,1782583152610,0
867,1782583152943,0
868,1782583153810,0
869,1782583154042,0
870,1782583154342,0
871,1782583154692,0
872,1782583154875,0
873,1782583155241,0
874,1782583155574,0
875,1782583155842,0
876,1782583156109,0
877,1782583156557,0
878,1782583157223,0
879,1782583157623,0
880,1782583157906,0
881,1782583158738,0
882,1782583162851,0
883,1782583164916,0
884,1782583165250,0
885,1782583165649,0
886,1782583165849,0
887,1782583166065,0
888,1782583166448,0
889,1782583166831,0
890,1782583167098,0
891,1782583168464,0
892,1782583168846,0
893,1782583169146,0
894,1782583172094,0
895,1782583172377,1
896,1782583172710,0
897,1782583173060,1
898,1782583173875,1529
899,1782583174226,1500
900,1782583178922,1041
901,1782583179937,1122
902,1782583180320,1049
903,1782583181169,1050
904,1782583182551,1043
905,1782583182785,1173
906,1782583183417,1043
907,1782583184466,1043
908,1782583185099,1030
909,1782583186032,1030
910,1782583187081,1090
911,1782583188296,1146
912,1782583189379,1597
913,1782583190944,1066
914,1782583192010,1046
915,1782583192609,1196
916,1782583192909,1069
917,1782583193958,1376
918,1782583194642,1059
919,1782583194958,1042
920,1782583195092,1280
921,1782583195540,1070
922,1782583196124,1041
923,1782583196540,1123
