index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2
0,1782582316596,192,0
1,1782582317146,192,0
2,1782582317613,192,0
3,1782582317862,192,0
4,1782582318129,192,0
5,1782582318728,192,0
6,1782582319178,192,0
7,1782582320060,192,0
8,1782582320694,192,0
9,1782582321725,192,0
10,1782582323691,192,0
11,1782582324723,192,0
12,1782582325106,192,0
13,1782582325239,192,0
14,1782582326288,192,0
15,1782582328986,192,0
16,1782582329785,192,0
17,1782582329885,192,0
18,1782582330702,192,0
19,1782582331534,192,0
20,1782582366305,192,0
21,1782582367104,192,0
22,1782582367204,192,0
23,1782582368020,192,0
24,1782582368853,192,0
25,1782582370702,0,0
26,1782582371101,0,0
27,1782582371467,0,0
28,1782582371817,0,0
29,1782582371900,0,0
30,1782582372200,0,0
31,1782582372550,0,0
32,1782582372816,0,0
33,1782582373216,0,0
34,1782582373532,0,0
35,1782582374148,0,0
36,1782582374365,0,0
37,1782582374565,0,0
38,1782582374931,0,0
39,1782582375181,0,0
40,1782582375447,0,0
41,1782582375863,0,0
42,1782582376996,0,0
43,1782582378461,0,0
44,1782582378861,0,0
45,1782582379094,0,0
46,1782582380776,0,0
47,1782582384623,0,4
48,1782582384922,0,4
49,1782582385505,0,4
50,1782582386554,0,4
51,1782582386871,0,4
52,1782582387204,0,4
53,1782582387853,0,4
54,1782582390134,0,4
55,1782582390484,0,4
56,1782582390868,0,4
57,1782582391217,0,4
58,1782582391400,0,4
59,1782582391716,0,4
60,1782582392000,0,4
61,1782582392367,0,4
62,1782582392649,0,4
63,1782582394115,0,4
64,1782582395580,0,4
65,1782582395930,0,4
66,1782582396163,0,4
67,1782582397013,0,4
68,1782582397445,0,4
69,1782582398911,0,4
70,1782582399244,0,4
71,1782582400343,0,4
72,1782582400626,0,4
73,1782582400976,0,4
74,1782582402141,0,4
75,1782582402508,0,4
76,1782582402858,0,4
77,1782582403773,0,4
78,1782582404057,0,4
79,1782582408670,0,4
80,1782582408986,0,4
81,1782582409336,0,4
82,1782582411034,0,4
83,1782582411350,0,4
84,1782582411651,0,4
85,1782582411933,0,4
86,1782582413682,0,4
87,1782582415380,0,4
88,1782582417162,0,4
89,1782582417545,0,4
90,1782582417846,0,4
91,1782582418095,0,4
92,1782582418594,0,4
93,1782582418895,0,4
94,1782582419294,0,4
95,1782582419577,0,4
96,1782582419910,0,4
97,1782582420193,0,4
98,1782582420544,0,4
99,1782582420660,0,4
100,1782582420943,0,4
101,1782582421292,0,4
102,1782582421660,0,4
103,1782582421942,0,4
104,1782582423124,0,4
105,1782582423407,0,4
106,1782582423658,0,4
107,1782582424056,0,4
108,1782582424323,0,4
109,1782582424640,0,4
110,1782582425672,0,4
111,1782582432216,0,4
112,1782582432549,0,4
113,1782582433049,0,4
114,1782582434281,0,4
115,1782582434581,0,4
116,1782582434830,0,4
117,1782582440425,0,4
118,1782582440725,0,4
119,1782582442740,0,4
120,1782582443340,0,4
121,1782582447103,0,4
122,1782582447353,0,4
123,1782582449153,0,4
124,1782582449485,0,4
125,1782582449818,0,4
126,1782582450601,0,4
127,1782582450917,0,4
128,1782582451567,0,4
