index,date,LONGITUDE
0,1782582316281,-43.9724638
1,1782582317196,-43.9724638
2,1782582317962,-43.9724638
3,1782582318661,-43.9724638
4,1782582319527,-43.9724638
5,1782582321109,-43.9724638
6,1782582322009,-43.9724638
7,1782582323508,-43.9724638
8,1782582324490,-43.9724638
9,1782582325889,-43.9724638
10,1782582325955,-43.9724638
11,1782582331801,-43.972470600000001
12,1782582369119,-43.972470600000001
13,1782582370335,-43.972470600000001
14,1782582371084,-43.972470600000001
15,1782582372350,-43.972470600000001
16,1782582373665,-43.972470600000001
17,1782582374215,-43.972470600000001
18,1782582374864,-43.972470600000001
19,1782582375480,-43.972470600000001
20,1782582376197,-43.972470600000001
21,1782582377495,-43.972468300000003
22,1782582378178,-43.972468300000003
23,1782582378994,-43.972413299999999
24,1782582379427,-43.972413299999999
25,1782582380027,-43.972413299999999
26,1782582380693,-43.972430000000003
27,1782582381842,-43.972431
28,1782582383824,-43.972398599999998
29,1782582385573,-43.972389999999997
30,1782582386238,-43.972389800000002
31,1782582387487,-43.972402299999999
32,1782582388136,-43.972402299999999
33,1782582388853,-43.972402299999999
34,1782582390202,-43.972405500000001
35,1782582391550,-43.972406300000003
36,1782582392865,-43.972406599999999
37,1782582394098,-43.972410500000002
38,1782582394781,-43.972410799999999
39,1782582396180,-43.972413000000003
40,1782582396729,-43.972412599999998
41,1782582398179,-43.972413600000003
42,1782582398711,-43.972413600000003
43,1782582401392,-43.972417499999999
44,1782582402108,-43.972417499999999
45,1782582404090,-43.972421300000001
46,1782582405555,-43.972421099999998
47,1782582407937,-43.9724261
48,1782582409136,-43.972436299999998
49,1782582409852,-43.972436299999998
50,1782582411101,-43.972443300000002
51,1782582413017,-43.972449500000003
52,1782582413515,-43.972449500000003
53,1782582414265,-43.972449500000003
54,1782582414948,-43.972459299999997
55,1782582415597,-43.972459100000002
56,1782582416132,-43.972459100000002
57,1782582417645,-43.972463099999999
58,1782582418228,-43.972463099999999
59,1782582418762,-43.972463300000001
60,1782582420043,-43.972463300000001
61,1782582421326,-43.972463300000001
62,1782582422641,-43.972476100000002
63,1782582424523,-43.972476499999999
64,1782582425223,-43.9724766
65,1782582425756,-43.9724766
66,1782582427087,-43.972476800000003
67,1782582428403,-43.972470999999999
68,1782582429702,-43.972470999999999
69,1782582430318,-43.972472799999998
70,1782582430900,-43.972472799999998
71,1782582431534,-43.972472600000003
72,1782582432366,-43.972472600000003
73,1782582432882,-43.9724735
74,1782582433466,-43.972473999999998
75,1782582434148,-43.972473999999998
76,1782582435346,-43.972473999999998
77,1782582436613,-43.972476
78,1782582439044,-43.972474599999998
79,1782582439660,-43.972474599999998
80,1782582440176,-43.972469500000003
81,1782582440876,-43.972469500000003
82,1782582444039,-43.972467600000002
83,1782582445289,-43.972467600000002
84,1782582445954,-43.972467600000002
85,1782582446587,-43.972467600000002
86,1782582447919,-43.972467799999997
87,1782582448569,-43.972467999999999
88,1782582449285,-43.972468800000001
