index,date,ALTITUDE,GROUND_SPEED,FIX
0,1780259510892,334,0,0
1,1780259511163,334,0,0
2,1780259511779,344,0,0
3,1780259512080,336,0,0
4,1780259513063,341,0,0
5,1780259513512,336,0,0
6,1780259513679,334,0,0
7,1780259514129,336,0,0
8,1780259514996,340,0,0
9,1780259515330,334,0,0
10,1780259516013,342,0,0
11,1780259516572,337,0,0
12,1780259518230,330,0,0
13,1780259518446,336,0,0
14,1780259519146,330,0,0
15,1780259521362,338,0,0
16,1780259521731,334,0,0
17,1780259521779,338,0,0
18,1780259522729,338,0,0
19,1780259523262,348,0,0
20,1780259524579,328,0,0
21,1780259525862,330,0,0
22,1780259525979,330,0,0
23,1780259526646,338,0,0
24,1780259527095,334,0,0
25,1780259528547,336,0,0
26,1780259529112,336,0,0
27,1780259529912,340,0,0
28,1780259530196,334,0,0
29,1780259531495,332,0,0
30,1780259531612,334,0,0
31,1780259606008,142,0,0
32,1780259606608,188,0,0
33,1780259607924,196,0,0
34,1780259608674,217,0,0
35,1780259609324,215,0,0
36,1780259609808,208,0,0
37,1780259610223,200,0,0
38,1780259610326,212,0,0
39,1780259611408,0,0,65535
40,1780259612725,217,0,0
41,1780259614707,218,0,0
42,1780259615909,203,0,0
43,1780259616156,208,0,0
44,1780259616375,213,0,0
45,1780259616973,210,0,0
46,1780259619091,206,0,0
47,1780259619325,205,0,0
48,1780259626590,208,0,0
49,1780259626757,218,0,0
50,1780259627693,222,0,0
51,1780259628489,219,0,0
52,1780259628890,216,0,0
53,1780259629276,211,0,0
54,1780259629573,212,0,0
55,1780259630505,0,0,0
56,1780259631072,219,0,0
57,1780259631772,223,0,0
58,1780259633622,239,0,0
59,1780259635090,223,0,0
60,1780259635172,239,0,0
61,1780259635623,221,0,0
62,1780259636572,237,0,0
63,1780259637474,225,0,0
64,1780259637873,229,0,0
65,1780259639040,235,0,0
66,1780259639656,229,0,0
67,1780259639823,229,0,0
68,1780259640139,229,0,0
69,1780259641089,229,0,0
70,1780259641874,229,0,0
71,1780259642373,239,0,0
72,1780259642956,225,0,0
73,1780259643291,235,0,0
74,1780259643605,233,0,0
75,1780259643739,235,0,0
76,1780259643905,234,0,0
77,1780259644058,233,0,0
78,1780259644272,227,0,0
79,1780259644972,243,0,0
80,1780259645139,245,0,0
81,1780259645756,243,0,0
82,1780259646289,239,0,0
83,1780259646540,237,0,0
84,1780259647206,231,0,0
85,1780259648156,238,0,0
86,1780259648189,237,0,0
87,1780259648438,243,0,0
88,1780259648521,231,0,0
89,1780259649022,241,0,0
