index,date,ERROR_MASK,ERROR_LOG_1,ERROR_LOG_2,ERROR_LOG_3
0,1780259510892,0,0,12,1128
1,1780259510892,0,0,0,0
2,1780259513146,0,0,0,0
3,1780259513346,0,0,0,0
4,1780259516297,0,0,0,0
5,1780259518979,0,0,0,0
6,1780259520296,0,0,0,0
7,1780259526183,0,0,0,0
8,1780259630689,0,0,0,0
9,1780259634026,0,0,0,0
10,1780259649672,0,0,0,0
11,1780259650421,0,0,0,0
12,1780259670338,0,0,0,0
13,1780259672354,0,0,0,0
14,1780259679069,0,0,0,0
15,1780259680256,0,0,0,0
16,1780259682603,0,0,0,0
17,1780259684870,0,0,0,0
18,1780259711068,0,0,0,0
19,1780259728951,0,0,0,0
20,1780259731917,0,0,0,0
21,1780259736384,0,0,0,0
22,1780259736454,0,0,0,0
23,1780259737816,0,0,0,0
24,1780259741417,0,0,0,0
25,1780259754466,0,0,0,0
26,1780259762531,0,0,0,0
27,1780259764965,0,0,0,0
28,1780259767564,0,0,0,0
29,1780259768598,0,0,0,0
30,1780259776631,0,0,0,0
31,1780259799729,0,0,0,0
32,1780259805296,0,0,0,0
33,1780259811146,0,0,0,0
34,1780259823561,0,0,0,0
35,1780259828494,0,0,0,0
36,1780259831062,0,0,0,0
37,1780259839760,0,0,0,0
38,1780259840777,0,0,0,0
39,1780259841344,0,0,0,0
40,1780259842543,0,0,0,0
41,1780259848360,0,0,0,0
42,1780259851693,0,0,0,0
43,1780259859493,0,0,0,0
44,1780259863776,0,0,0,0
45,1780259864526,0,0,0,0
46,1780259866510,0,0,0,0
47,1780259867660,0,0,0,0
48,1780259869259,0,0,0,0
49,1780259873012,0,0,0,0
50,1780259875659,0,0,0,0
