index,date,ERROR_ID,STACK,CELL,VOLTAGE,1,2,3,4
0,1768832239936,2,1,3,2.41,0,0,0,0
1,1768832240225,2,1,3,2.41,0,0,0,0
2,1768832240520,2,1,4,3.22,0,0,0,0
3,1768832240769,2,1,4,3.23,0,0,0,0
4,1768832241086,2,1,4,3.23,0,0,0,0
5,1768832241104,2,1,4,3.23,0,0,0,0
6,1768832241354,2,1,4,3.23,0,0,0,0
7,1768832241672,2,1,4,3.23,0,0,0,0
8,1768832242020,2,1,4,3.23,0,0,0,0
9,1768832242253,2,1,4,3.23,0,0,0,0
10,1768832242288,2,1,4,3.23,0,0,0,0
11,1768832242621,2,1,4,3.23,0,0,0,0
12,1768832242888,2,1,4,3.23,0,0,0,0
13,1768832243157,2,1,4,3.23,0,0,0,0
14,1768832243506,2,1,4,3.23,0,0,0,0
15,1768832243738,2,1,4,3.23,0,0,0,0
16,1768832243807,2,1,4,3.23,0,0,0,0
17,1768832244090,2,1,4,3.23,0,0,0,0
18,1768832244387,2,1,4,3.23,0,0,0,0
19,1768832244637,2,1,4,3.23,0,0,0,0
20,1768832244972,2,1,4,3.23,0,0,0,0
21,1768832245224,2,1,4,3.23,0,0,0,0
22,1768832245522,2,1,4,3.23,0,0,0,0
23,1768832245854,2,1,4,3.23,0,0,0,0
24,1768832246105,2,1,4,3.23,0,0,0,0
25,1768832246121,2,1,4,3.24,0,0,0,0
26,1768832246439,2,1,4,3.24,0,0,0,0
27,1768832246690,2,1,4,3.24,0,0,0,0
28,1768832246955,2,1,4,3.24,0,0,0,0
29,1768832247237,2,1,4,3.24,0,0,0,0
30,1768832247303,2,1,4,3.24,0,0,0,0
31,1768832247554,2,1,4,3.24,0,0,0,0
32,1768832247891,2,1,4,3.24,0,0,0,0
33,1768832248186,2,1,4,3.24,0,0,0,0
34,1768832248756,2,1,4,3.24,0,0,0,0
35,1768832249022,2,1,4,3.24,0,0,0,0
36,1768832249385,2,1,4,3.24,0,0,0,0
37,1768832249657,2,1,4,3.24,0,0,0,0
38,1768832249903,2,1,4,3.24,0,0,0,0
39,1768832250237,2,1,4,3.24,0,0,0,0
40,1768832250504,2,1,4,3.24,0,0,0,0
41,1768832250804,2,1,4,3.24,0,0,0,0
42,1768832251073,2,1,4,3.24,0,0,0,0
43,1768832251355,2,1,4,3.24,0,0,0,0
44,1768832251704,2,1,4,3.24,0,0,0,0
45,1768832251972,2,1,4,3.24,0,0,0,0
46,1768832252288,2,1,4,3.24,0,0,0,0
47,1768832252570,2,1,4,3.24,0,0,0,0
48,1768832252872,2,1,4,3.24,0,0,0,0
49,1768832253220,2,1,4,3.24,0,0,0,0
50,1768832253541,2,1,4,3.24,0,0,0,0
51,1768832253804,2,1,4,3.24,0,0,0,0
52,1768832254122,2,1,4,3.24,0,0,0,0
53,1768832254404,2,1,4,3.24,0,0,0,0
54,1768832254720,2,1,4,3.24,0,0,0,0
55,1768832255071,2,1,4,3.24,0,0,0,0
56,1768832255321,2,1,4,3.24,0,0,0,0
57,1768832255638,2,1,4,3.24,0,0,0,0
58,1768832412034,2,1,4,0.0,0,0,0,0
59,1768832412385,2,1,4,0.0,0,0,0,0
60,1768832412669,2,1,4,0.0,0,0,0,0
61,1768832412986,2,1,4,0.0,0,0,0,0
62,1768832413236,2,1,4,0.0,0,0,0,0
63,1768832413569,2,1,4,0.0,0,0,0,0
64,1768832413935,2,1,4,0.0,0,0,0,0
65,1768832414169,2,1,4,0.0,0,0,0,0
66,1768832414502,2,1,4,0.0,0,0,0,0
67,1768832414769,2,1,4,0.0,0,0,0,0
68,1768832415053,2,1,4,0.0,0,0,0,0
69,1768832415384,2,1,4,0.0,0,0,0,0
70,1768832415651,2,1,4,0.0,0,0,0,0
71,1768832416001,2,1,4,0.0,0,0,0,0
72,1768832416303,2,1,4,0.0,0,0,0,0
73,1768832416553,2,1,4,0.0,0,0,0,0
74,1768832416868,2,1,4,0.0,0,0,0,0
75,1768832417484,2,1,4,0.0,0,0,0,0
76,1768832417784,2,1,4,0.0,0,0,0,0
77,1768832418036,2,1,4,0.0,0,0,0,0
78,1768832418069,2,1,4,0.0,0,0,0,0
79,1768832418384,2,1,4,0.0,0,0,0,0
80,1768832418636,2,1,4,0.0,0,0,0,0
81,1768832418919,2,1,4,0.0,0,0,0,0
82,1768832419203,2,1,4,0.0,0,0,0,0
83,1768832419268,2,1,4,0.0,0,0,0,0
84,1768832419503,2,1,4,0.0,0,0,0,0
85,1768832419868,2,1,4,0.0,0,0,0,0
86,1768832420119,2,1,4,0.0,0,0,0,0
87,1768832420401,2,1,4,0.0,0,0,0,0
88,1768832420718,2,1,4,0.0,0,0,0,0
89,1768832420986,2,1,4,0.0,0,0,0,0
90,1768832421485,2,1,4,0.0,0,0,0,0
91,1768832421669,2,1,4,0.0,0,0,0,0
92,1768832421919,2,1,4,0.0,0,0,0,0
93,1768832422252,2,1,4,0.0,0,0,0,0
94,1768832422501,2,1,4,0.0,0,0,0,0
95,1768832422834,2,1,4,0.0,0,0,0,0
96,1768832423200,2,1,4,0.0,0,0,0,0
97,1768832423419,2,1,4,0.0,0,0,0,0
98,1768832423735,2,1,4,0.0,0,0,0,0
99,1768832424002,2,1,4,0.0,0,0,0,0
100,1768832424301,2,1,4,0.0,0,0,0,0
101,1768832424635,2,1,4,0.0,0,0,0,0
102,1768832424883,2,1,4,0.0,0,0,0,0
103,1768832425219,2,1,4,0.0,0,0,0,0
104,1768832425537,2,1,4,0.0,0,0,0,0
105,1768832426118,2,1,4,0.0,0,0,0,0
106,1768832426386,2,1,4,0.0,0,0,0,0
107,1768832426704,2,1,4,0.0,0,0,0,0
108,1768832427034,2,1,4,0.0,0,0,0,0
