index,date,MODE
241,1780262834088,2
242,1780262835772,2
243,1780262855704,2
244,1780262862373,2
245,1780262863954,2
246,1780262869672,2
247,1780262870337,2
248,1780262877269,2
249,1780262879252,2
250,1780262886669,2
251,1780262888935,2
252,1780262891052,2
253,1780262902052,2
254,1780262911618,2
255,1780262912734,2
256,1780262912984,2
257,1780262914601,2
258,1780262916451,2
259,1780262919217,2
260,1780262921851,2
261,1780262927750,2
262,1780262928667,2
263,1780262930800,2
264,1780262931133,2
265,1780262958499,2
266,1780262959164,2
267,1780262963448,2
268,1780262965214,2
269,1780262968731,2
270,1780262973598,2
271,1780262980864,2
272,1780262984697,2
273,1780262985197,2
274,1780262987715,2
275,1780263001079,2
276,1780263002546,2
277,1780263009429,2
278,1780263010746,2
279,1780263011662,2
280,1780263013845,2
281,1780263016645,2
282,1780263018412,2
283,1780263018962,2
284,1780263022780,2
285,1780263025529,2
286,1780263027945,2
287,1780263031194,2
288,1780263032644,2
289,1780263033311,2
290,1780263034979,2
291,1780263048277,2
292,1780263054326,2
293,1780263057110,2
