index,date,MODE_ID,TORQUE_GAIN_ID,ODOM_DISTANCE_P,ODOM_DISTANCE_T,1,2,3,4
0,1765218500010,1,10,1207,0,0,0,0,0
1,1765218500293,1,10,1208,0,0,0,0,0
2,1765218500726,1,10,1211,0,0,0,0,0
3,1765218501010,1,10,1212,0,0,0,0,0
4,1765218501111,1,10,1215,0,0,0,0,0
5,1765218501410,1,10,1216,0,0,0,0,0
6,1765218501843,1,10,1222,0,0,0,0,0
7,1765218502127,1,10,1224,0,0,0,0,0
8,1765218502543,1,10,1234,0,0,0,0,0
9,1765218502827,1,10,1236,0,0,0,0,0
10,1765218502960,1,10,1244,0,0,0,0,0
11,1765218503293,1,10,1247,0,0,0,0,0
12,1765218503710,1,10,1261,0,0,0,0,0
13,1765218504010,1,10,1263,0,0,0,0,0
14,1765218504393,1,10,1278,0,0,0,0,0
15,1765218504693,1,10,1281,0,0,0,0,0
16,1765218505126,1,10,1293,0,0,0,0,0
17,1765218505410,1,10,1296,0,0,0,0,0
18,1765218505509,1,10,1307,0,0,0,0,0
19,1765218505843,1,10,1310,0,0,0,0,0
20,1765218506226,1,10,1320,0,0,0,0,0
21,1765218506560,1,10,1322,0,0,0,0,0
22,1765218506976,1,10,1333,0,0,0,0,0
23,1765218507276,1,10,1334,0,0,0,0,0
24,1765218507377,1,10,1338,0,0,0,0,0
25,1765218507694,1,10,1338,0,0,0,0,0
26,1765218508110,1,10,1338,0,0,0,0,0
27,1765218508427,1,10,1338,0,0,0,0,0
28,1765218508827,1,10,1338,0,0,0,0,0
29,1765218509144,1,10,1338,0,0,0,0,0
30,1765218509260,1,10,1338,0,0,0,0,0
31,1765218509543,1,10,1338,0,0,0,0,0
32,1765218509993,1,10,1338,0,0,0,0,0
33,1765218510278,1,10,1338,0,0,0,0,0
34,1765218510661,1,10,1338,0,0,0,0,0
35,1765218510978,1,10,1338,0,0,0,0,0
36,1765218511114,1,10,1338,0,0,0,0,0
37,1765218511393,1,10,1338,0,0,0,0,0
38,1765218511845,1,10,1338,0,0,0,0,0
