index,date,INVERSOR_STATE,FAILURE,ALARM,1,2,3,4,5
0,1765218499660,1,0,0,0,0,0,0,0
1,1765218500110,1,0,0,0,0,0,0,0
2,1765218500394,1,0,0,0,0,0,0,0
3,1765218500511,1,0,0,0,0,0,0,0
4,1765218500810,1,0,0,0,0,0,0,0
5,1765218501210,1,0,0,0,0,0,0,0
6,1765218501560,1,0,0,0,0,0,0,0
7,1765218501943,1,0,0,0,0,0,0,0
8,1765218502227,1,0,0,0,0,0,0,0
9,1765218502343,1,0,0,0,0,0,0,0
10,1765218502643,1,0,0,0,0,0,0,0
11,1765218503060,1,0,0,0,0,0,0,0
12,1765218503393,1,0,0,0,0,0,0,0
13,1765218503793,1,0,0,0,0,0,0,0
14,1765218504109,1,0,0,0,0,0,0,0
15,1765218504210,1,0,0,0,0,0,0,0
16,1765218504493,1,0,0,0,0,0,0,0
17,1765218504927,1,0,0,0,0,0,0,0
18,1765218505243,1,0,0,0,0,0,0,0
19,1765218505626,1,0,0,0,0,0,0,0
20,1765218505926,1,0,0,0,0,0,0,0
21,1765218506326,1,0,0,0,0,0,0,0
22,1765218506660,1,0,0,0,0,0,0,0
23,1765218506776,1,0,0,0,0,0,0,0
24,1765218507060,1,0,0,0,0,0,0,0
25,1765218507510,1,0,0,0,0,0,0,0
26,1765218507793,1,0,0,0,0,0,0,0
27,1765218508243,1,0,0,0,0,0,0,0
28,1765218508544,1,0,0,0,0,0,0,0
29,1765218508644,0,0,0,0,0,0,0,0
30,1765218508943,0,0,0,0,0,0,0,0
31,1765218509361,0,0,0,0,0,0,0,0
32,1765218509643,0,0,0,0,0,0,0,0
33,1765218510094,0,0,0,0,0,0,0,0
34,1765218510378,0,0,0,0,0,0,0,0
35,1765218510494,0,0,0,0,0,0,0,0
36,1765218510811,0,0,0,0,0,0,0,0
37,1765218511194,0,0,0,0,0,0,0,0
38,1765218511510,0,0,0,0,0,0,0,0
39,1765218511945,0,0,0,0,0,0,0,0
40,1765218512227,0,0,0,0,0,0,0,0
41,1765218512343,0,0,0,0,0,0,0,0
42,1765218512644,0,0,0,0,0,0,0,0
43,1765218512928,0,0,0,0,0,0,0,0
44,1765218513060,0,0,0,0,0,0,0,0
45,1765218513379,0,0,0,0,0,0,0,0
46,1765218513793,0,0,0,0,0,0,0,0
47,1765218514111,0,0,0,0,0,0,0,0
48,1765218514211,0,0,0,0,0,0,0,0
49,1765218514527,0,0,0,0,0,0,0,0
50,1765218514943,0,0,0,0,0,0,0,0
51,1765218515293,0,0,0,0,0,0,0,0
52,1765218515410,0,0,0,0,0,0,0,0
53,1765218515710,0,0,0,0,0,0,0,0
54,1765218516027,0,0,0,0,0,0,0,0
55,1765218516128,0,0,0,0,0,0,0,0
56,1765218516410,0,0,0,0,0,0,0,0
57,1765218516877,0,0,0,0,0,0,0,0
58,1765218517160,0,0,0,0,0,0,0,0
59,1765218517560,0,0,0,0,0,0,0,0
60,1765218517876,0,0,0,0,0,0,0,0
61,1765218517993,0,0,0,0,0,0,0,0
62,1765218518277,0,0,0,0,0,0,0,0
63,1765218518744,0,0,0,0,0,0,0,0
64,1765218519026,0,0,0,0,0,0,0,0
65,1765218519160,0,0,0,0,0,0,0,0
66,1765218519476,0,0,0,0,0,0,0,0
67,1765218519759,0,0,0,0,0,0,0,0
68,1765218520243,0,0,0,0,0,0,0,0
69,1765218520360,0,0,0,0,0,0,0,0
70,1765218520943,1,0,0,0,0,0,0,0
71,1765218521060,1,0,0,0,0,0,0,0
72,1765218521793,1,0,0,0,0,0,0,0
73,1765218522293,1,0,0,0,0,0,0,0
74,1765218523027,1,0,0,0,0,0,0,0
75,1765218523327,1,0,0,0,0,0,0,0
76,1765218523777,1,0,0,0,0,0,0,0
77,1765218524193,1,0,0,0,0,0,0,0
78,1765218524476,1,0,0,0,0,0,0,0
79,1765218524910,1,0,0,0,0,0,0,0
80,1765218525193,1,0,0,0,0,0,0,0
81,1765218525326,1,0,0,0,0,0,0,0
82,1765218525660,1,0,0,0,0,0,0,0
83,1765218526076,1,0,0,0,0,0,0,0
84,1765218526393,1,0,0,0,0,0,0,0
85,1765218526543,1,0,0,0,0,0,0,0
86,1765218526811,1,0,0,0,0,0,0,0
87,1765218527260,1,0,0,0,0,0,0,0
88,1765218527593,1,0,0,0,0,0,0,0
89,1765218527726,1,0,0,0,0,0,0,0
90,1765218528009,1,0,0,0,0,0,0,0
91,1765218528343,1,0,0,0,0,0,0,0
92,1765218528476,1,0,0,0,0,0,0,0
93,1765218528760,1,0,0,0,0,0,0,0
94,1765218529210,1,0,0,0,0,0,0,0
95,1765218529510,1,0,0,0,0,0,0,0
96,1765218529661,1,0,0,0,0,0,0,0
97,1765218529943,1,0,0,0,0,0,0,0
98,1765218530343,1,0,0,0,0,0,0,0
99,1765218530627,1,0,0,0,0,0,0,0
100,1765218531078,1,0,0,0,0,0,0,0
101,1765218531362,1,0,0,0,0,0,0,0
102,1765218531494,1,0,0,0,0,0,0,0
103,1765218531811,1,0,0,0,0,0,0,0
104,1765218532095,1,0,0,0,0,0,0,0
105,1765218532211,1,0,0,0,0,0,0,0
106,1765218532543,1,0,0,0,0,0,0,0
107,1765218532943,0,0,0,0,0,0,0,0
108,1765218533243,0,0,0,0,0,0,0,0
109,1765218533343,0,0,0,0,0,0,0,0
110,1765218533644,0,0,0,0,0,0,0,0
111,1765218533927,0,0,0,0,0,0,0,0
112,1765218534061,0,0,0,0,0,0,0,0
113,1765218534377,0,0,0,0,0,0,0,0
114,1765218534795,0,0,0,0,0,0,0,0
115,1765218535111,0,0,0,0,0,0,0,0
116,1765218535211,0,0,0,0,0,0,0,0
117,1765218535511,0,0,0,0,0,0,0,0
118,1765218535978,0,0,0,0,0,0,0,0
119,1765218536244,0,0,0,0,0,0,0,0
120,1765218536678,0,0,0,0,0,0,0,0
121,1765218536996,0,0,0,0,0,0,0,0
122,1765218537110,0,0,0,0,0,0,0,0
123,1765218537377,0,0,0,0,0,0,0,0
124,1765218537845,0,0,0,0,0,0,0,0
125,1765218538128,0,0,0,0,0,0,0,0
126,1765218538545,0,0,0,0,0,0,0,0
127,1765218538845,0,0,0,0,0,0,0,0
128,1765218538962,0,0,0,0,0,0,0,0
129,1765218539294,0,0,0,0,0,0,0,0
130,1765218539695,0,0,0,0,0,0,0,0
131,1765218539994,0,0,0,0,0,0,0,0
132,1765218540428,0,0,0,0,0,0,0,0
133,1765218540711,0,0,0,0,0,0,0,0
134,1765218540845,0,0,0,0,0,0,0,0
135,1765218541179,0,0,0,0,0,0,0,0
136,1765218541595,0,0,0,0,0,0,0,0
137,1765218541910,0,0,0,0,0,0,0,0
138,1765218542026,0,0,0,0,0,0,0,0
139,1765218542310,0,0,0,0,0,0,0,0
140,1765218542643,0,0,0,0,0,0,0,0
141,1765218542726,0,0,0,0,0,0,0,0
142,1765218543043,0,0,0,0,0,0,0,0
143,1765218543442,0,0,0,0,0,0,0,0
144,1765218543777,0,0,0,0,0,0,0,0
145,1765218543910,0,0,0,0,0,0,0,0
146,1765218544193,0,0,0,0,0,0,0,0
147,1765218544660,0,0,0,0,0,0,0,0
148,1765218544927,0,0,0,0,0,0,0,0
149,1765218545377,0,0,0,0,0,0,0,0
150,1765218545643,0,0,0,0,0,0,0,0
151,1765218546043,0,0,0,0,0,0,0,0
152,1765218546376,0,0,0,0,0,0,0,0
153,1765218546511,0,0,0,0,0,0,0,0
154,1765218546778,0,0,0,0,0,0,0,0
155,1765218547211,0,0,0,0,0,0,0,0
156,1765218547494,0,0,0,0,0,0,0,0
157,1765218547978,0,0,0,0,0,0,0,0
158,1765218548242,0,0,0,0,0,0,0,0
159,1765218548361,0,0,0,0,0,0,0,0
160,1765218548678,0,0,0,0,0,0,0,0
161,1765218549094,0,0,0,0,0,0,0,0
162,1765218549394,0,0,0,0,0,0,0,0
163,1765218549511,0,0,0,0,0,0,0,0
164,1765218549861,0,0,0,0,0,0,0,0
165,1765218550260,0,0,0,0,0,0,0,0
166,1765218550560,0,0,0,0,0,0,0,0
167,1765218550960,0,0,0,0,0,0,0,0
168,1765218551309,0,0,0,0,0,0,0,0
169,1765218551427,0,0,0,0,0,0,0,0
170,1765218551692,0,0,0,0,0,0,0,0
171,1765218552127,0,0,0,0,0,0,0,0
172,1765218552427,0,0,0,0,0,0,0,0
173,1765218552844,0,0,0,0,0,0,0,0
174,1765218553178,0,0,0,0,0,0,0,0
175,1765218553311,0,0,0,0,0,0,0,0
176,1765218553593,0,0,0,0,0,0,0,0
177,1765218554044,0,0,0,0,0,0,0,0
178,1765218554327,0,0,0,0,0,0,0,0
179,1765218554460,0,0,0,0,0,0,0,0
180,1765218554809,0,0,0,0,0,0,0,0
181,1765218555243,0,0,0,0,0,0,0,0
182,1765218555527,0,0,0,0,0,0,0,0
183,1765218555959,0,0,0,0,0,0,0,0
