index,date,MODE_ID,TORQUE_GAIN_ID,ODOM_DISTANCE_P,ODOM_DISTANCE_T,1,2,3,4
0,1765227022630,2,15,1483,0,0,0,0,0
1,1765227022746,2,15,1502,0,0,0,0,0
2,1765227023035,2,15,1507,0,0,0,0,0
3,1765227023314,2,15,1509,0,0,0,0,0
4,1765227023471,2,15,1522,0,0,0,0,0
5,1765227023779,2,15,1524,0,0,0,0,0
6,1765227024190,2,15,1530,0,0,0,0,0
7,1765227024531,2,15,1530,0,0,0,0,0
8,1765227024663,2,15,1531,0,0,0,0,0
9,1765227024937,2,12303,1531,0,0,0,0,0
10,1765227025397,2,15,1537,0,0,0,0,0
11,1765227025681,2,15,1538,0,0,0,0,0
12,1765227025822,2,15,1544,0,0,0,0,0
13,1765227026138,2,15,1546,0,0,0,0,0
14,1765227026564,2,15,1553,0,0,0,0,0
15,1765227026864,2,15,1553,0,0,0,0,0
16,1765227027322,2,15,1553,0,0,0,0,0
17,1765227027605,2,15,1553,0,0,0,0,0
18,1765227027780,2,15,1553,0,0,0,0,0
19,1765227028105,2,15,1553,0,0,0,0,0
20,1765227028272,2,15,1553,0,0,0,0,0
21,1765227028563,2,15,1553,0,0,0,0,0
22,1765227029004,2,15,1553,0,0,0,0,0
23,1765227029296,2,15,1553,0,0,0,0,0
24,1765227029463,2,15,1553,0,0,0,0,0
25,1765227029747,2,15,1553,0,0,0,0,0
26,1765227030223,2,15,1553,0,0,0,0,0
27,1765227030522,2,15,1553,0,0,0,0,0
28,1765227030957,2,15,1553,0,0,0,0,0
29,1765227031238,2,15,1553,0,0,0,0,0
30,1765227031363,2,15,1553,0,0,0,0,0
31,1765227031689,2,15,1553,0,0,0,0,0
32,1765227032113,2,15,1553,0,0,0,0,0
33,1765227032421,2,15,1553,0,0,0,0,0
34,1765227032829,2,15,1553,0,0,0,0,0
35,1765227033104,2,15,1553,0,0,0,0,0
36,1765227033229,2,15,1553,0,0,0,0,0
37,1765227033581,2,15,1553,0,0,0,0,0
38,1765227033962,2,15,1553,0,0,0,0,0
39,1765227034297,2,15,1553,0,0,0,0,0
40,1765227034413,2,15,1553,0,0,0,0,0
41,1765227034695,2,15,1553,0,0,0,0,0
42,1765227035146,2,15,1553,0,0,0,0,0
43,1765227035428,2,15,1553,0,0,0,0,0
44,1765227035846,2,15,1553,0,0,0,0,0
45,1765227036162,2,15,1553,0,0,0,0,0
46,1765227036280,2,15,1553,0,0,0,0,0
47,1765227036562,2,15,1553,0,0,0,0,0
48,1765227037034,2,15,1553,0,0,0,0,0
49,1765227037312,2,15,1553,0,0,0,0,0
50,1765227037754,2,15,1553,0,0,0,0,0
51,1765227038053,2,15,1553,0,0,0,0,0
52,1765227038163,2,15,1553,0,0,0,0,0
53,1765227038487,2,15,1553,0,0,0,0,0
54,1765227038913,2,15,1553,0,0,0,0,0
55,1765227039206,2,15,1553,0,0,0,0,0
56,1765227039645,2,15,1553,0,0,0,0,0
57,1765227039920,2,15,1553,0,0,0,0,0
58,1765227040039,2,15,1553,0,0,0,0,0
59,1765227040371,2,15,1553,0,0,0,0,0
60,1765227040770,2,15,1553,0,0,0,0,0
61,1765227041104,2,15,1553,0,0,0,0,0
62,1765227041503,2,15,1553,0,0,0,0,0
63,1765227041911,2,15,1553,0,0,0,0,0
64,1765227042245,2,15,1553,0,0,0,0,0
65,1765227042654,2,15,1553,0,0,0,0,0
66,1765227042967,2,15,1553,0,0,0,0,0
67,1765227043092,2,15,1553,0,0,0,0,0
68,1765227043387,2,15,1553,0,0,0,0,0
69,1765227043845,2,15,1553,0,0,0,0,0
70,1765227044128,2,15,1553,0,0,0,0,0
71,1765227044522,2,15,1553,0,0,0,0,0
