index,date,CELL1,CELL2,CELL3,CELL4
0,1782674144476,3.2400000000000002,3.25,3.2599999999999998,3.25
1,1782674146109,3.2400000000000002,3.25,3.2599999999999998,3.25
2,1782674154576,3.2400000000000002,3.25,3.2599999999999998,3.25
3,1782674158159,3.2400000000000002,3.25,3.2599999999999998,3.25
4,1782674165693,3.2400000000000002,3.25,3.2599999999999998,3.25
5,1782674172959,3.2400000000000002,3.25,3.2599999999999998,3.25
6,1782676989652,3.2200000000000002,3.21,3.23,3.2599999999999998
7,1782676994535,3.2200000000000002,3.21,3.23,3.2599999999999998
8,1782676995669,3.2200000000000002,3.21,3.23,3.2599999999999998
9,1782676997485,3.2200000000000002,3.21,3.23,3.2599999999999998
10,1782676999952,3.2200000000000002,3.21,3.23,3.2599999999999998
11,1782677002485,3.2200000000000002,3.21,3.23,3.2599999999999998
12,1782677005468,3.2200000000000002,3.21,3.23,3.2599999999999998
13,1782677008103,3.2200000000000002,3.21,3.23,3.2599999999999998
14,1782677012386,3.2200000000000002,3.21,3.23,3.2599999999999998
15,1782677016903,3.2200000000000002,3.21,3.23,3.2599999999999998
16,1782677017719,3.2200000000000002,3.21,3.23,3.2599999999999998
17,1782677021769,3.2200000000000002,3.21,3.23,3.2599999999999998
18,1782677025869,3.2200000000000002,3.21,3.23,3.2599999999999998
