index,date,ADDR_CELL_VOLT_MAX,ADDR_STACK_VOLT_MAX,MAX_VOLTAGE
0,1782674144410,0,0,0
1,1782674146075,0,0,0
2,1782674147328,0,0,0
3,1782674153409,0,0,0
4,1782674154609,0,0,0
5,1782674155275,0,0,0
6,1782674156492,0,12288,0
7,1782674166127,0,0,0
8,1782674169627,0,0,0
9,1782674175176,0,0,0
10,1782676987319,0,0,0
11,1782676995035,0,0,0
12,1782676997935,0,0,0
13,1782677000386,0,0,0
14,1782677001885,0,0,0
15,1782677002885,0,0,0
16,1782677006719,0,0,0
17,1782677007885,0,0,0
18,1782677012386,0,0,0
19,1782677012469,0,0,0
20,1782677014385,0,0,0
21,1782677017535,0,0,0
22,1782677021269,0,0,0
23,1782677022569,0,0,0
