index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
0,1782565775810,0,0
1,1782565776376,0,0
2,1782565779808,0,0
3,1782565780041,0,0
4,1782565780290,0,0
5,1782565780557,0,0
6,1782565780857,0,0
7,1782565781089,0,0
8,1782565781372,0,0
9,1782565782572,0,0
10,1782565783088,0,0
11,1782565783438,0,0
12,1782565783688,0,0
13,1782565784203,0,0
14,1782565784337,0,0
15,1782565786119,0,0
16,1782565786386,0,0
17,1782565786685,0,0
18,1782565786801,0,0
19,1782565788217,0,0
20,1782565788467,0,0
21,1782565788801,0,0
22,1782565789051,0,0
23,1782565794478,0,0
24,1782565795061,0,0
25,1782565796977,0,0
26,1782565797560,0,0
27,1782565797859,0,0
28,1782565798125,0,0
29,1782565798408,0,0
30,1782565799008,0,0
31,1782565799158,0,0
32,1782565806518,0,0
33,1782565806668,0,0
34,1782565806935,0,0
35,1782565807484,0,0
36,1782565807768,0,0
37,1782565809166,0,0
38,1782565809432,0,0
39,1782565809649,0,0
40,1782565809915,0,0
41,1782565811681,0,0
42,1782565812097,0,0
43,1782565812430,0,0
44,1782565812763,0,0
45,1782565813097,0,0
46,1782565813280,0,0
47,1782565813630,0,0
48,1782565815160,0,0
49,1782565816010,0,0
50,1782565818841,0,0
51,1782565819058,0,0
52,1782565819374,0,0
53,1782565819557,0,0
54,1782565820706,0,0
55,1782565820973,0,0
56,1782565826385,0,0
57,1782565826703,0,0
58,1782565826935,0,0
59,1782565827201,0,0
60,1782565827500,0,0
61,1782565827833,0,0
62,1782565828067,0,0
63,1782565828418,0,0
64,1782565828535,0,0
65,1782565829084,0,0
66,1782565829667,0,0
67,1782565830332,0,0
68,1782565830632,0,0
69,1782565830765,0,0
70,1782565833063,0,0
71,1782565836010,0,0
72,1782565836110,0,0
73,1782565836394,0,0
74,1782565836943,0,0
75,1782565837243,0,0
76,1782565838608,0,0
77,1782565838908,0,0
78,1782565839191,0,0
79,1782565839392,0,0
80,1782565839640,0,0
81,1782565839857,0,0
82,1782565841323,0,0
83,1782565841622,0,0
84,1782565841772,0,0
85,1782565842039,0,0
86,1782565842288,0,0
87,1782565842572,0,0
88,1782565844037,0,0
89,1782565845719,0,0
90,1782565845869,0,0
91,1782565846185,0,0
92,1782565846468,0,0
93,1782565846701,0,0
94,1782565847067,0,0
95,1782565847385,0,0
96,1782565847950,0,0
97,1782565849815,0,0
98,1782565850099,0,0
99,1782565853163,0,0
100,1782565853546,0,0
101,1782565853795,0,0
102,1782565854061,0,0
103,1782565854395,0,0
104,1782565854678,0,0
105,1782565855227,0,0
106,1782565855377,0,0
107,1782565855910,0,0
108,1782565856543,0,0
109,1782565856810,0,0
110,1782565857142,0,0
111,1782565857393,0,0
112,1782565857675,0,0
113,1782565969215,0,0
114,1782565969832,0,0
115,1782565970414,0,0
116,1782565970480,0,0
117,1782565971113,0,0
118,1782565971813,0,0
119,1782565971896,0,0
120,1782565977292,0,0
121,1782565977491,0,0
122,1782565977858,0,0
123,1782565978141,0,0
124,1782565978457,0,0
125,1782565978707,0,0
126,1782565979007,0,0
127,1782565979323,0,0
128,1782565979556,0,0
129,1782565982321,0,0
130,1782565991096,0,0
131,1782565991729,0,0
132,1782565992312,0,0
133,1782565992895,0,0
134,1782565993528,0,0
135,1782565994161,0,0
136,1782565994211,0,0
137,1782565994477,0,0
138,1782565994810,0,0
139,1782565995060,0,0
140,1782565995660,0,0
141,1782565995942,0,0
142,1782565996325,0,0
143,1782565996525,0,0
144,1782565997325,0,0
145,1782565997624,0,0
146,1782566001671,0,0
147,1782566001871,0,0
148,1782566002154,0,0
149,1782566002370,0,0
150,1782566002703,0,0
151,1782566002936,0,0
152,1782566003353,0,0
153,1782566003902,0,0
154,1782566004035,0,0
155,1782566004586,0,0
156,1782566009115,0,0
157,1782566009382,0,0
158,1782566009647,0,0
159,1782566009997,0,0
160,1782566010330,0,0
161,1782566010864,0,0
162,1782566011130,0,0
163,1782566011313,0,0
164,1782566013528,0,0
165,1782566015593,0,0
166,1782566015959,0,0
167,1782566016309,0,0
168,1782566016708,1,0
169,1782566018273,2,0
170,1782566018657,2,0
171,1782566019356,2,0
172,1782566019773,2,0
173,1782566020605,3,0
174,1782566020988,3,0
175,1782566021738,3,0
176,1782566022104,3,0
177,1782566023036,3,0
178,1782566023452,3,0
179,1782566023903,3,0
180,1782566024268,3,0
181,1782566025185,3,0
182,1782566026134,3,0
183,1782566027382,5,0
184,1782566027716,6,0
185,1782566028898,11,0
186,1782566029797,16,0
187,1782566030197,18,0
188,1782566031846,31,0
189,1782566032229,33,0
190,1782566033976,49,0
191,1782566034409,49,0
192,1782566035375,58,0
193,1782566035575,61,0
194,1782566036208,65,0
195,1782566036574,68,0
196,1782566037557,76,0
197,1782566038106,81,0
198,1782566038272,83,0
199,1782566039506,94,0
200,1782566039872,96,0
201,1782566040289,97,0
202,1782566040472,99,0
203,1782566040688,103,0
204,1782566041987,115,0
205,1782566042370,117,0
206,1782566043270,0,0
207,1782566044135,0,0
208,1782566044518,0,0
209,1782566046267,0,0
210,1782566046683,0,0
211,1782566047633,0,0
212,1782566048049,0,0
213,1782566048560,0,0
214,1782566049697,0,0
215,1782566050813,0,0
216,1782566051196,0,0
217,1782566052045,0,0
218,1782566052361,0,0
219,1782566053461,0,0
220,1782566053827,0,0
221,1782566054193,0,0
222,1782566055276,0,0
223,1782566056491,0,0
224,1782566056891,0,0
225,1782566057724,0,0
226,1782566058590,0,0
227,1782566058990,0,0
228,1782566061687,0,0
229,1782566062137,0,0
230,1782566062237,0,0
231,1782566062936,0,0
232,1782566063818,0,0
233,1782566064169,0,0
234,1782566064584,0,0
235,1782566064685,0,0
236,1782566065034,0,0
237,1782566065384,0,0
238,1782566066566,0,0
239,1782566067000,0,0
240,1782566067682,0,0
241,1782566068048,0,0
242,1782566068981,0,0
243,1782566069415,0,0
244,1782566069531,0,0
245,1782566069863,0,0
246,1782566070230,0,0
247,1782566071113,0,0
248,1782566073361,0,0
249,1782566075409,0,0
250,1782566076608,0,0
251,1782566077441,0,0
252,1782566077773,0,0
253,1782566078107,0,0
254,1782566080788,0,0
255,1782566081654,0,0
256,1782566081854,0,0
257,1782566082270,0,0
258,1782566083536,0,0
259,1782566084069,0,0
260,1782566084336,0,0
261,1782566085633,0,0
262,1782566087766,0,0
263,1782566089547,0,0
264,1782566089949,0,0
265,1782566090813,0,0
266,1782566091196,0,0
267,1782566091646,0,0
268,1782566091979,0,0
269,1782566092589,0,0
270,1782566093277,0,0
271,1782566093677,0,0
272,1782566094111,0,0
273,1782566094477,0,0
274,1782566095692,0,0
275,1782566096108,0,0
276,1782566096542,0,0
277,1782566096907,0,0
278,1782566097840,0,0
279,1782566098723,0,0
280,1782566099955,0,0
281,1782566100338,0,0
282,1782566101204,0,0
283,1782566102487,0,0
284,1782566106133,0,0
285,1782566106583,0,0
286,1782566107715,0,0
287,1782566108132,0,0
288,1782566108898,0,0
289,1782566109247,0,0
290,1782566110480,0,0
291,1782566111313,0,0
292,1782566112228,0,0
293,1782566112611,0,0
294,1782566113128,0,0
295,1782566113444,0,0
296,1782566114709,0,0
297,1782566115076,0,0
298,1782566115751,0,0
299,1782566115926,0,0
300,1782566117125,0,0
301,1782566117524,0,0
302,1782566118073,0,0
303,1782566118406,0,0
304,1782566119239,0,0
305,1782566121037,0,0
306,1782566121421,0,0
307,1782566121787,0,0
308,1782566122620,0,0
309,1782566123569,0,0
310,1782566124852,0,0
311,1782566125217,0,0
312,1782566125734,0,0
313,1782566126771,0,0
314,1782566126933,0,0
315,1782566127682,0,0
316,1782566127715,0,0
317,1782566128182,0,0
318,1782566129048,0,0
319,1782566129397,0,0
320,1782566130263,0,0
321,1782566131179,0,0
322,1782566131596,0,0
323,1782566132678,0,0
324,1782566134127,0,0
325,1782566134842,0,0
326,1782566135359,0,0
327,1782566135725,0,0
328,1782566136874,0,0
329,1782566137207,0,0
330,1782566137791,0,0
331,1782566138123,0,0
332,1782566138972,0,0
333,1782566139340,0,0
334,1782566139739,0,0
335,1782566139789,0,0
336,1782566140188,0,0
337,1782566140522,0,0
338,1782566141453,0,0
339,1782566141820,0,0
340,1782566142220,0,0
341,1782566142620,0,0
342,1782566143851,0,0
343,1782566144684,0,0
344,1782566145617,0,0
345,1782566146017,0,0
346,1782566147715,0,0
347,1782566148148,0,0
348,1782566148815,0,0
349,1782566149231,0,0
350,1782566149497,0,0
351,1782566149680,0,0
352,1782566150663,0,0
353,1782566151562,0,0
354,1782566152861,0,0
355,1782566153710,0,0
356,1782566154060,0,0
357,1782566154842,0,0
358,1782566155259,0,0
359,1782566156208,0,0
360,1782566156491,0,0
361,1782566156974,0,0
362,1782566157407,0,0
363,1782566158356,0,0
364,1782566158728,0,0
365,1782566159110,0,0
366,1782566159456,0,0
367,1782566159838,0,0
368,1782566160654,0,0
369,1782566161037,0,0
370,1782566161437,0,0
371,1782566162137,0,0
372,1782566162503,0,0
373,1782566163668,0,0
374,1782566164834,0,0
375,1782566165201,0,0
376,1782566166099,0,0
377,1782566166932,0,0
378,1782566167381,1,0
379,1782566167965,2,0
380,1782566168314,3,0
381,1782566168831,5,0
382,1782566169147,6,0
383,1782566170013,11,0
384,1782566170429,13,0
385,1782566170829,14,0
386,1782566171245,18,0
387,1782566171578,20,0
388,1782566172528,27,0
389,1782566172927,30,0
390,1782566174609,45,0
391,1782566175059,48,0
392,1782566177107,64,0
393,1782566179522,81,0
394,1782566181920,104,0
395,1782566183985,120,0
396,1782566184401,122,0
397,1782566186982,137,0
398,1782566187381,138,0
399,1782566188148,144,0
400,1782566188448,146,0
401,1782566188714,148,0
402,1782566189064,151,0
403,1782566190196,160,0
404,1782566190779,163,0
405,1782566191661,170,0
406,1782566192841,175,0
407,1782566193460,181,0
408,1782566193876,183,0
409,1782566194776,189,0
410,1782566195142,191,0
411,1782566195908,196,0
412,1782566196358,197,0
413,1782566197258,203,0
414,1782566197623,204,0
415,1782566197773,206,0
416,1782566198040,206,0
417,1782566198390,207,0
418,1782566199655,209,0
419,1782566200071,209,0
420,1782566200237,209,0
421,1782566200504,209,0
422,1782566201420,209,0
423,1782566201870,209,0
424,1782566203851,209,0
425,1782566204017,209,0
426,1782566204551,209,0
427,1782566204884,209,0
428,1782566205684,209,0
429,1782566206116,209,0
430,1782566207015,209,0
431,1782566207282,209,0
432,1782566208147,209,0
433,1782566208548,209,0
434,1782566209347,209,0
435,1782566209680,209,0
436,1782566210579,209,0
437,1782566211778,209,0
438,1782566212144,209,0
439,1782566212977,209,0
440,1782566213360,209,0
441,1782566214209,209,0
442,1782566214542,209,0
443,1782566215625,209,0
444,1782566216008,209,0
445,1782566217473,209,0
446,1782566218372,209,0
447,1782566218789,209,0
448,1782566220470,209,0
449,1782566220837,209,0
450,1782566221819,209,0
451,1782566222319,209,0
452,1782566222668,209,0
453,1782566223567,209,0
454,1782566224350,209,0
455,1782566224418,209,0
456,1782566224817,209,0
457,1782566226166,209,0
458,1782566227015,209,0
459,1782566227881,209,0
460,1782566228247,209,0
461,1782566231245,209,0
462,1782566232111,209,0
463,1782566232493,209,0
464,1782566233360,209,0
465,1782566233826,209,0
466,1782566234026,209,0
467,1782566234242,209,0
468,1782566234659,209,0
469,1782566235491,209,0
470,1782566235857,209,0
471,1782566236440,209,0
472,1782566236883,209,0
473,1782566237024,209,0
474,1782566237939,209,0
475,1782566238355,209,0
476,1782566238921,209,0
477,1782566239139,209,0
478,1782566239504,209,0
479,1782566240620,209,0
480,1782566240970,209,0
481,1782566242019,209,0
482,1782566242385,209,0
483,1782566243901,209,0
484,1782566245066,209,0
485,1782566245466,209,0
486,1782566246282,209,0
487,1782566247464,209,0
488,1782566247879,209,0
489,1782566248714,209,0
490,1782566249046,209,0
491,1782566249880,209,0
492,1782566250279,209,0
493,1782566251095,209,0
494,1782566251994,209,0
495,1782566252394,209,0
496,1782566254176,209,0
497,1782566255458,209,0
498,1782566255658,209,0
499,1782566256291,209,0
500,1782566256640,209,0
501,1782566257540,209,0
502,1782566257989,209,0
503,1782566258206,209,0
504,1782566258355,209,0
505,1782566258885,209,0
506,1782566259638,209,0
507,1782566260071,209,0
508,1782566260953,209,0
509,1782566261819,209,0
510,1782566262219,209,0
511,1782566263951,209,0
512,1782566264317,209,0
513,1782566264667,209,0
514,1782566266615,209,0
515,1782566266998,209,0
516,1782566268064,209,0
517,1782566269430,209,0
518,1782566270413,209,0
519,1782566270862,209,0
520,1782566272011,209,0
521,1782566272360,209,0
522,1782566272627,209,0
523,1782566273176,209,0
524,1782566274175,209,0
525,1782566274558,209,0
526,1782566275292,209,0
527,1782566276241,209,0
528,1782566276673,209,0
529,1782566278089,209,0
530,1782566278472,209,0
531,1782566279373,209,0
532,1782566279804,209,0
533,1782566280504,209,0
534,1782566280920,209,0
535,1782566281487,209,0
536,1782566281936,209,0
537,1782566282502,209,0
538,1782566282752,209,0
539,1782566283984,209,0
540,1782566284917,209,0
541,1782566285233,209,0
542,1782566286149,209,0
543,1782566286515,209,0
544,1782566288230,209,0
545,1782566289497,209,0
546,1782566290045,209,0
547,1782566290462,209,0
548,1782566291345,209,0
549,1782566291922,209,0
550,1782566292061,209,0
551,1782566292510,209,0
552,1782566292860,209,0
553,1782566296041,209,0
554,1782566296440,209,0
555,1782566296756,209,0
556,1782566296940,209,0
557,1782566297123,209,0
558,1782566297507,209,0
559,1782566298705,209,0
560,1782566299088,209,0
561,1782566299338,209,0
562,1782566299554,209,0
563,1782566299970,209,0
564,1782566300870,209,0
565,1782566301236,209,0
566,1782566301836,209,0
567,1782566302036,209,0
568,1782566303368,209,0
569,1782566304533,209,0
570,1782566305482,209,0
571,1782566307514,209,0
572,1782566307913,209,0
573,1782566308796,209,0
574,1782566309995,209,0
575,1782566310894,209,0
576,1782566311328,210,0
577,1782566312160,211,0
578,1782566312511,212,0
579,1782566313392,216,0
580,1782566313942,218,0
581,1782566314209,221,0
582,1782566314592,222,0
583,1782566315458,229,0
584,1782566315808,231,0
585,1782566316240,232,0
586,1782566316290,235,0
587,1782566316690,237,0
588,1782566317573,246,0
589,1782566317923,248,0
590,1782566319055,258,0
591,1782566319437,260,0
592,1782566320553,268,0
593,1782566320969,269,0
594,1782566322119,277,0
595,1782566322402,279,0
596,1782566323850,290,0
597,1782566325315,303,0
598,1782566325931,307,0
599,1782566326481,314,0
600,1782566327363,322,0
601,1782566327746,324,0
602,1782566328411,329,0
603,1782566328562,330,0
604,1782566328878,332,0
605,1782566330145,342,0
606,1782566330861,347,0
607,1782566331927,357,0
608,1782566332310,360,0
609,1782566333493,369,0
610,1782566334042,373,0
611,1782566335357,383,0
612,1782566336173,390,0
613,1782566336557,392,0
614,1782566337523,401,0
615,1782566338171,406,0
616,1782566339020,413,0
617,1782566339454,416,0
618,1782566341485,434,0
619,1782566341868,435,0
620,1782566343917,455,0
621,1782566344300,458,0
622,1782566346365,473,0
623,1782566346965,475,0
624,1782566348663,491,0
625,1782566348979,493,0
626,1782566349395,495,0
627,1782566350212,501,0
628,1782566350461,503,0
629,1782566350827,505,0
630,1782566351943,513,0
631,1782566352344,515,0
632,1782566353109,521,0
633,1782566353475,523,0
634,1782566354058,529,0
635,1782566354441,532,0
636,1782566354841,535,0
637,1782566354975,537,0
638,1782566355257,539,0
639,1782566355674,542,0
640,1782566356589,550,0
641,1782566357522,557,0
642,1782566358705,564,0
643,1782566359304,567,0
644,1782566359704,567,0
645,1782566360153,568,0
646,1782566360636,568,0
647,1782566361535,569,0
648,1782566362318,570,0
649,1782566362784,570,0
650,1782566363666,570,0
651,1782566364050,570,0
652,1782566364866,570,0
653,1782566366082,570,0
654,1782566367247,570,0
655,1782566368230,570,0
656,1782566368968,570,0
657,1782566369578,570,0
658,1782566369779,570,0
659,1782566370711,570,0
660,1782566371160,570,0
661,1782566372293,570,0
662,1782566373092,570,0
663,1782566373475,570,0
664,1782566373775,570,0
665,1782566374125,570,0
666,1782566374291,570,0
667,1782566374808,570,0
668,1782566375223,570,0
669,1782566376356,570,0
670,1782566378138,570,0
671,1782566380303,570,0
672,1782566381252,570,0
673,1782566382068,570,0
674,1782566382485,570,0
675,1782566383034,570,0
676,1782566383501,570,0
677,1782566384916,570,0
678,1782566385865,570,0
679,1782566386264,570,0
680,1782566387031,570,0
681,1782566387397,570,0
682,1782566388613,570,0
683,1782566389445,570,0
684,1782566389880,570,0
685,1782566390980,570,0
686,1782566391177,570,0
687,1782566391610,570,0
688,1782566391943,570,0
689,1782566392826,570,0
690,1782566393309,570,0
691,1782566393775,570,0
692,1782566394108,570,0
693,1782566394990,570,0
694,1782566395357,570,0
695,1782566397139,570,0
696,1782566397554,570,0
697,1782566398953,570,0
698,1782566400368,570,0
699,1782566400735,570,0
700,1782566402116,570,0
701,1782566402500,570,0
702,1782566403432,570,0
703,1782566403516,570,0
704,1782566403915,570,0
705,1782566405081,570,0
706,1782566405513,570,0
707,1782566406049,570,0
708,1782566406246,570,0
709,1782566407181,570,0
710,1782566407597,570,0
711,1782566410977,0,0
712,1782566411593,0,0
713,1782566412193,0,0
714,1782566412792,0,0
715,1782566413408,0,0
716,1782566414058,0,0
717,1782566414108,0,0
718,1782566414374,0,0
719,1782566414724,0,0
720,1782566414974,0,0
721,1782566415224,0,0
722,1782566415573,0,0
723,1782566416089,0,0
724,1782566416223,0,0
725,1782566416423,0,0
726,1782566420952,0,0
727,1782566421418,0,0
728,1782566421668,0,0
729,1782566421985,0,0
