index,date,SET_POINT_LONGITUDINAL,SET_POINT_LATERAL
854,1782566509460,0,0
855,1782566510377,0,0
856,1782566510760,0,0
857,1782566513141,0,0
858,1782566513924,0,0
859,1782566514173,0,0
860,1782566514523,0,0
861,1782566515656,0,0
862,1782566516055,0,0
863,1782566517804,0,0
864,1782566518820,0,0
865,1782566519269,0,0
866,1782566520152,0,0
867,1782566520568,0,0
868,1782566521334,0,0
869,1782566522301,0,0
870,1782566523300,0,0
871,1782566524132,0,0
872,1782566525115,0,0
873,1782566525498,0,0
874,1782566526030,0,0
875,1782566526314,0,0
876,1782566527579,0,0
877,1782566529411,0,0
878,1782566531542,0,0
879,1782566532541,0,0
880,1782566532925,0,0
881,1782566533308,0,0
882,1782566534340,0,0
883,1782566536438,0,0
884,1782566536838,0,0
885,1782566537704,0,0
886,1782566539536,0,0
887,1782566539835,0,0
888,1782566540568,0,0
889,1782566541249,0,0
890,1782566542101,0,0
891,1782566542466,0,0
892,1782566542783,0,0
893,1782566543565,0,0
894,1782566544815,0,0
895,1782566545181,0,0
896,1782566545980,0,0
897,1782566546413,0,0
898,1782566547262,0,0
899,1782566547613,0,0
900,1782566548095,0,0
901,1782566548528,0,0
902,1782566549461,0,0
903,1782566550327,0,0
904,1782566551209,0,0
905,1782566551559,0,0
906,1782566552259,0,0
907,1782566552708,0,0
908,1782566553042,0,0
909,1782566553941,0,0
910,1782566554589,0,0
911,1782566555422,0,0
912,1782566555856,0,0
913,1782566556205,0,0
914,1782566557038,0,0
915,1782566557887,0,0
916,1782566558303,0,0
917,1782566559252,0,0
918,1782566559619,0,0
919,1782566559885,0,0
920,1782566560086,0,0
921,1782566560452,0,0
922,1782566561284,0,0
923,1782566562566,0,0
924,1782566563399,0,0
925,1782566563815,0,0
926,1782566564997,0,0
927,1782566566413,0,0
928,1782566566829,0,0
929,1782566567012,0,0
930,1782566567578,0,0
931,1782566567929,0,0
932,1782566569094,0,0
933,1782566570560,0,0
934,1782566570909,0,0
935,1782566572075,0,0
936,1782566572941,0,0
937,1782566573307,0,0
938,1782566575389,0,0
939,1782566575739,0,0
940,1782566576937,0,0
941,1782566577737,0,0
942,1782566578104,0,0
943,1782566579886,0,0
944,1782566580285,0,0
945,1782566581167,0,0
946,1782566582350,0,0
947,1782566582749,0,0
948,1782566583582,0,0
949,1782566584747,0,0
950,1782566585277,0,0
951,1782566586080,0,0
952,1782566586330,0,0
953,1782566586913,0,0
954,1782566587263,0,0
955,1782566588128,0,0
956,1782566588828,0,0
957,1782566588945,0,0
958,1782566589377,0,0
959,1782566590276,0,0
960,1782566590677,0,0
961,1782566591459,0,0
962,1782566591842,0,0
963,1782566592641,0,0
964,1782566592974,0,0
965,1782566593374,0,0
966,1782566594390,0,0
967,1782566597337,0,0
968,1782566597721,0,0
969,1782566598619,0,0
970,1782566598886,0,0
971,1782566599767,0,0
972,1782566600183,0,0
973,1782566601083,0,0
974,1782566602182,0,0
975,1782566602631,0,0
976,1782566604313,0,0
977,1782566604746,0,0
978,1782566606444,0,0
979,1782566606794,0,0
980,1782566607711,0,0
981,1782566608076,0,0
982,1782566608576,0,0
983,1782566608976,0,0
984,1782566609842,0,0
985,1782566610225,0,0
986,1782566610624,0,0
987,1782566611074,0,0
988,1782566612006,0,0
989,1782566612389,0,0
990,1782566613241,0,0
991,1782566614073,0,0
992,1782566614539,0,0
993,1782566615921,0,0
994,1782566616322,0,0
995,1782566617270,0,0
996,1782566617637,0,0
997,1782566617870,0,0
998,1782566619102,0,0
999,1782566621085,0,0
1000,1782566621483,0,0
1001,1782566624048,0,0
1002,1782566624464,0,0
1003,1782566625297,0,0
1004,1782566625596,0,0
1005,1782566626146,0,0
1006,1782566626546,0,0
1007,1782566628344,0,0
1008,1782566628727,0,0
1009,1782566629594,0,0
1010,1782566629861,0,0
1011,1782566630426,0,0
1012,1782566630842,0,0
1013,1782566631791,0,0
1014,1782566632141,0,0
1015,1782566632424,0,0
1016,1782566632558,0,0
1017,1782566632940,0,0
1018,1782566633307,0,0
1019,1782566633807,0,0
1020,1782566634240,0,0
1021,1782566634606,0,0
1022,1782566634889,0,0
1023,1782566634955,0,0
1024,1782566635372,0,0
1025,1782566635955,0,0
1026,1782566636405,0,0
1027,1782566637070,0,0
1028,1782566637853,0,0
1029,1782566638269,0,0
1030,1782566639202,0,0
1031,1782566639752,0,0
1032,1782566640334,0,0
1033,1782566641034,0,0
1034,1782566641400,0,0
1035,1782566643116,0,0
1036,1782566646079,0,0
1037,1782566646762,0,0
1038,1782566647445,0,0
1039,1782566647728,0,0
1040,1782566648128,0,0
1041,1782566648510,0,0
1042,1782566649927,0,0
1043,1782566650443,0,0
1044,1782566650859,0,0
1045,1782566651975,0,0
1046,1782566652907,0,0
1047,1782566653857,0,0
