index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECRASE_L
196,1782566024735,848,848,0
197,1782566025134,903,903,0
198,1782566025750,933,933,0
199,1782566026600,892,892,0
200,1782566026900,875,875,0
201,1782566028198,903,903,0
202,1782566028914,886,886,0
203,1782566029281,899,899,0
204,1782566030630,500,500,0
205,1782566031079,485,485,0
206,1782566031796,509,509,0
207,1782566032694,622,622,0
208,1782566033111,553,553,0
209,1782566033227,620,620,0
210,1782566033543,660,660,0
211,1782566033893,563,563,0
212,1782566034476,518,518,0
213,1782566034876,674,674,0
214,1782566037007,869,869,0
215,1782566039041,906,906,0
216,1782566039456,960,960,0
217,1782566041520,983,983,0
218,1782566042486,0,0,0
219,1782566043636,0,0,0
220,1782566044918,0,0,0
221,1782566045218,0,0,0
222,1782566045785,0,0,0
223,1782566047150,0,0,0
224,1782566047965,0,0,0
225,1782566049280,0,0,0
226,1782566050347,0,0,0
227,1782566051629,0,0,0
228,1782566052661,0,0,0
229,1782566053112,0,0,0
230,1782566054577,0,0,0
231,1782566055359,0,0,0
232,1782566055693,0,0,0
233,1782566056059,0,0,0
234,1782566056925,0,0,0
235,1782566057258,0,0,0
236,1782566058140,0,0,0
237,1782566058523,0,0,0
238,1782566059576,0,0,0
239,1782566059806,0,0,0
240,1782566060322,0,0,0
241,1782566061221,0,0,0
242,1782566061638,0,0,0
243,1782566062486,0,0,0
244,1782566063353,0,0,0
245,1782566063736,0,0,0
246,1782566065717,0,0,0
247,1782566066133,0,0,0
248,1782566067283,0,0,0
249,1782566067616,0,0,0
250,1782566068515,0,0,0
251,1782566070663,0,0,0
252,1782566071612,0,0,0
253,1782566072429,0,0,0
254,1782566072794,0,0,0
255,1782566073727,0,0,0
256,1782566074143,0,0,0
257,1782566074343,0,0,0
258,1782566074593,0,0,0
259,1782566074959,0,0,0
260,1782566075825,0,0,0
261,1782566076291,0,0,0
262,1782566076857,0,0,0
263,1782566077074,0,0,0
264,1782566078557,0,0,0
265,1782566078890,0,0,0
266,1782566079958,0,0,0
267,1782566080305,0,0,0
268,1782566082636,0,0,0
269,1782566083053,0,0,0
270,1782566085168,0,0,0
271,1782566086100,0,0,0
272,1782566086333,0,0,0
273,1782566086949,0,0,0
274,1782566087299,0,0,0
275,1782566088181,0,0,0
276,1782566088898,0,0,0
277,1782566089048,0,0,0
278,1782566089463,0,0,0
279,1782566090380,0,0,0
280,1782566090763,0,0,0
281,1782566091579,0,0,0
282,1782566092845,0,0,0
283,1782566094927,0,0,0
284,1782566095276,0,0,0
285,1782566097391,0,0,0
286,1782566098290,0,0,0
287,1782566099106,0,0,0
288,1782566099522,0,0,0
289,1782566100372,0,0,0
290,1782566100838,0,0,0
291,1782566101953,0,0,0
292,1782566102903,0,0,0
