index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECREASE_L
225,1782566065700,10,0,0
226,1782566066517,10,0,0
227,1782566066950,10,0,0
228,1782566067632,10,0,0
229,1782566067982,10,0,0
230,1782566068948,10,0,0
231,1782566069381,10,0,0
232,1782566069480,10,0,0
233,1782566069814,10,0,0
234,1782566070197,10,0,0
235,1782566071046,10,0,0
236,1782566072095,10,0,0
237,1782566073294,10,0,0
238,1782566075359,10,0,0
239,1782566075793,10,0,0
240,1782566076575,10,0,0
241,1782566077740,10,0,0
242,1782566078090,10,0,0
243,1782566079356,10,0,0
244,1782566079555,10,0,0
245,1782566080721,10,0,0
246,1782566081154,10,0,0
247,1782566081573,10,0,0
248,1782566081621,10,0,0
249,1782566082220,10,0,0
250,1782566082587,10,0,0
251,1782566083453,10,0,0
252,1782566083869,10,0,0
253,1782566084035,10,0,0
254,1782566084268,10,0,0
255,1782566084718,10,0,0
256,1782566085600,10,0,0
257,1782566086599,10,0,0
258,1782566086833,10,0,0
259,1782566087715,10,0,0
260,1782566088148,10,0,0
261,1782566089897,10,0,0
262,1782566090780,10,0,0
263,1782566091129,10,0,0
264,1782566091945,10,0,0
265,1782566092362,10,0,0
266,1782566093244,10,0,0
267,1782566093662,10,0,0
268,1782566094044,10,0,0
269,1782566094443,10,0,0
270,1782566094810,10,0,0
271,1782566095659,10,0,0
272,1782566096059,10,0,0
273,1782566096508,10,0,0
274,1782566096874,10,0,0
275,1782566097791,10,0,0
276,1782566098689,10,0,0
277,1782566099039,10,0,0
278,1782566099922,10,0,0
279,1782566100305,10,0,0
280,1782566101154,10,0,0
281,1782566102404,10,0,0
282,1782566105435,10,0,0
283,1782566105783,10,0,0
284,1782566105850,10,0,0
285,1782566106516,10,0,0
286,1782566106882,10,0,0
287,1782566108081,10,0,0
288,1782566108848,10,0,0
289,1782566109231,10,0,0
290,1782566110430,10,0,0
291,1782566111263,10,0,0
292,1782566111713,10,0,0
293,1782566112561,10,0,0
294,1782566112978,10,0,0
295,1782566113078,10,0,0
296,1782566113394,10,0,0
297,1782566113827,10,0,0
298,1782566114660,10,0,0
299,1782566115042,10,0,0
300,1782566115751,10,0,0
301,1782566115876,10,0,0
302,1782566116208,10,0,0
303,1782566117092,10,0,0
304,1782566117474,10,0,0
305,1782566118024,10,0,0
306,1782566118373,10,0,0
307,1782566119190,10,0,0
308,1782566119622,10,0,0
309,1782566121753,10,0,0
310,1782566123519,10,0,0
311,1782566124452,10,0,0
312,1782566124834,10,0,0
313,1782566125168,10,0,0
314,1782566125684,10,0,0
315,1782566126883,10,0,0
316,1782566127316,10,0,0
317,1782566127632,10,0,0
318,1782566128099,10,0,0
319,1782566128981,10,0,0
320,1782566129380,10,0,0
321,1782566130197,10,0,0
322,1782566131545,10,0,0
323,1782566131878,10,0,0
324,1782566132644,10,0,0
325,1782566134076,10,0,0
326,1782566134576,10,0,0
327,1782566134809,10,0,0
328,1782566135309,10,0,0
329,1782566136824,10,0,0
330,1782566137190,10,0,0
331,1782566138057,10,0,0
332,1782566138922,10,0,0
333,1782566139305,10,0,0
